Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.9279512,0.8361279,-1.266607,0.9302854,-0.3552673,0.07965638,-0.04482308
1,-0.9281495,0.8348671,-1.267846,0.9308749,-0.3531706,0.08084502,-0.04697376
2,-0.9281985,0.8336064,-1.269061,0.931581,-0.3507075,0.08185121,-0.04961404
3,-0.9282625,0.8326963,-1.269713,0.9320934,-0.3490115,0.08236454,-0.05107895
4,-0.9284042,0.8316711,-1.270435,0.9328423,-0.3466431,0.08284465,-0.05273155
5,-0.9287893,0.8303627,-1.271423,0.9337101,-0.344007,0.08306228,-0.05427079
6,-0.9287893,0.8303627,-1.271423,0.9337101,-0.344007,0.08306228,-0.05427079
7,-0.9287893,0.8303627,-1.271423,0.9337101,-0.344007,0.08306228,-0.05427079
8,-0.9287893,0.8303627,-1.271423,0.9337101,-0.344007,0.08306228,-0.05427079
9,-0.9287893,0.8303627,-1.271423,0.9337101,-0.344007,0.08306228,-0.05427079
10,-0.9287893,0.8303627,-1.271423,0.9337101,-0.344007,0.08306228,-0.05427079
11,-0.9287893,0.8303627,-1.271423,0.9337101,-0.344007,0.08306228,-0.05427079
12,-0.9287168,0.8302768,-1.271435,0.9335598,-0.344429,0.08286911,-0.05447428
13,-0.9286845,0.8303314,-1.271401,0.9334702,-0.3445229,0.08346236,-0.05451037
14,-0.928546,0.8305736,-1.271576,0.9331304,-0.3450779,0.08499689,-0.05444527
15,-0.9284971,0.8309505,-1.271916,0.9327431,-0.3455919,0.0862093,-0.05589727
16,-0.9284581,0.8314172,-1.272526,0.9325626,-0.3456078,0.08559018,-0.05963681
17,-0.9286572,0.8319782,-1.273363,0.932622,-0.3453806,0.08360898,-0.0627534
18,-0.9289806,0.8325572,-1.274133,0.9325345,-0.3460581,0.08077956,-0.06401444
19,-0.9294678,0.8334357,-1.275914,0.9325621,-0.3470178,0.07734712,-0.06264241
20,-0.9300762,0.8344176,-1.27852,0.9322663,-0.3491393,0.0744811,-0.05859909
21,-0.9306201,0.8344243,-1.28055,0.9322762,-0.3498673,0.07410844,-0.05442255
22,-0.9310684,0.8325881,-1.283543,0.9332423,-0.3473967,0.07593833,-0.05106568
23,-0.931104,0.8305233,-1.286696,0.9343495,-0.3437918,0.0788596,-0.05078785
24,-0.9310483,0.8282109,-1.289819,0.9358637,-0.3385442,0.08225972,-0.05272943
25,-0.9309621,0.8254662,-1.292663,0.9377035,-0.3320661,0.0849305,-0.05684271
26,-0.9309148,0.8236769,-1.294511,0.9389315,-0.3278885,0.08522379,-0.06028074
27,-0.9315604,0.8192073,-1.297377,0.9425676,-0.3175519,0.08318704,-0.0617006
28,-0.9321786,0.8166823,-1.298539,0.9444105,-0.3129066,0.08138475,-0.05962257
29,-0.9329876,0.8124076,-1.300216,0.9468554,-0.3063721,0.08056576,-0.05576796
30,-0.9332119,0.8075916,-1.301511,0.9490118,-0.2995547,0.08246462,-0.05332112
31,-0.9327195,0.8021766,-1.302229,0.9510618,-0.2917144,0.08543867,-0.05553663
32,-0.9322473,0.798125,-1.302429,0.9528553,-0.2847837,0.08814424,-0.05652844
33,-0.9320512,0.7913952,-1.301945,0.9561387,-0.2721668,0.09197842,-0.05713217
34,-0.9320472,0.7838967,-1.300661,0.9594011,-0.2589341,0.09391643,-0.06068208
35,-0.9325976,0.7787699,-1.299593,0.9614942,-0.2507182,0.09321097,-0.06309453
36,-0.9339396,0.7710551,-1.297835,0.9639838,-0.2400649,0.09203478,-0.06807157
37,-0.9353786,0.7634811,-1.295605,0.9658918,-0.231112,0.08966702,-0.07483408
38,-0.9368827,0.7562129,-1.292492,0.9678326,-0.2239728,0.08307322,-0.07896195
39,-0.9387678,0.7490301,-1.288337,0.970314,-0.2181673,0.07494809,-0.07264025
40,-0.9399099,0.744369,-1.284891,0.9717391,-0.2159509,0.06995162,-0.0647692
41,-0.9425722,0.7348799,-1.276285,0.9732939,-0.2167895,0.05712291,-0.04937861
42,-0.9436306,0.7300315,-1.270982,0.9739437,-0.2156409,0.05177537,-0.04745663
43,-0.9439569,0.7220172,-1.261588,0.9749734,-0.2094644,0.04959841,-0.05560085
44,-0.9435804,0.714202,-1.250528,0.9751981,-0.2032368,0.05441927,-0.06871637
45,-0.9427004,0.707212,-1.23802,0.9742723,-0.1988416,0.05946842,-0.08785789
46,-0.943152,0.7014194,-1.222983,0.9745901,-0.1939104,0.05492079,-0.09775782
47,-0.9449484,0.6986588,-1.211459,0.975931,-0.1907311,0.0457394,-0.09533136
48,-0.9491518,0.6967251,-1.191606,0.9779742,-0.1894029,0.02483763,-0.08411876
49,-0.9542815,0.697847,-1.169843,0.9775295,-0.1949471,-0.002312902,-0.08016451
50,-0.9581314,0.7022512,-1.145494,0.9746389,-0.2043602,-0.02815885,-0.08673575
51,-0.9600499,0.7067015,-1.128162,0.9727835,-0.2125978,-0.04205619,-0.08201008
52,-0.9634747,0.7200124,-1.090796,0.9681991,-0.2358519,-0.06566997,-0.05149718
53,-0.9650218,0.7290672,-1.070988,0.964731,-0.2485546,-0.07882699,-0.03607048
54,-0.9669998,0.7453653,-1.040648,0.9594221,-0.2649836,-0.0958915,-0.009891463
55,-0.9684305,0.7654066,-1.009372,0.9536843,-0.2798807,-0.1095156,0.01262351
56,-0.9688258,0.7907028,-0.9786193,0.9466036,-0.298912,-0.1188792,0.02147119
57,-0.968097,0.8111181,-0.9583955,0.9417824,-0.313181,-0.1207836,0.01936191
58,-0.9654108,0.8449706,-0.9295012,0.9344106,-0.3347885,-0.1213009,0.008921996
59,-0.961369,0.8830651,-0.9018326,0.9280449,-0.3536814,-0.1167679,-0.002713148
60,-0.958316,0.9098289,-0.8843892,0.9240767,-0.3659299,-0.1100451,-0.00822504
61,-0.952774,0.9514467,-0.8603678,0.9185535,-0.3839395,-0.09294554,-0.01452739
62,-0.9466274,0.9948764,-0.8384097,0.9121392,-0.402984,-0.07286984,-0.01720239
63,-0.941223,1.039457,-0.8198853,0.9038836,-0.4245679,-0.05193342,-0.006281582
64,-0.9373983,1.085016,-0.8055891,0.8944026,-0.4456688,-0.03208499,0.01984422
65,-0.9359074,1.115762,-0.7977169,0.8873705,-0.4586449,-0.02291445,0.04115037
66,-0.935523,1.16099,-0.7897679,0.8770056,-0.4750349,-0.01737348,0.07000794
67,-0.9359314,1.219844,-0.7858688,0.8640673,-0.4929667,-0.0187524,0.1000992
68,-0.9360974,1.248253,-0.7865294,0.8569531,-0.502923,-0.01755225,0.1113186
69,-0.9349313,1.290386,-0.7908578,0.8446906,-0.5206442,-0.006333556,0.1240454
70,-0.9327435,1.330932,-0.7992593,0.8298488,-0.5421937,0.01355887,0.1311231
71,-0.9304552,1.369044,-0.8116663,0.8132434,-0.5660748,0.03609196,0.1299689
72,-0.9291006,1.39324,-0.82142,0.8022966,-0.581438,0.05152315,0.1248811
73,-0.9271584,1.438464,-0.843838,0.7809753,-0.6107035,0.07444916,0.1075927
74,-0.9271107,1.448864,-0.8497546,0.7761974,-0.6171248,0.07704039,0.1036306
75,-0.9279149,1.47817,-0.8683107,0.7616518,-0.6366022,0.07757837,0.09276731
76,-0.9300781,1.513499,-0.893366,0.7414671,-0.6605527,0.07675045,0.08947682
77,-0.9310493,1.529272,-0.9065797,0.7311609,-0.6716076,0.07880832,0.09020092
78,-0.9326304,1.55098,-0.9264582,0.7157037,-0.6866432,0.08729973,0.09310269
79,-0.933799,1.57055,-0.9470922,0.7007476,-0.7013077,0.09548052,0.08946397
80,-0.9348883,1.587855,-0.9683924,0.6875703,-0.7147704,0.09750807,0.08271926
81,-0.9353796,1.598112,-0.9826183,0.680415,-0.7218465,0.09929664,0.07818701
82,-0.9360533,1.612113,-1.003608,0.6703302,-0.7311662,0.101815,0.07541314
83,-0.9366608,1.620645,-1.0175,0.6627994,-0.7382192,0.1006434,0.07483512
84,-0.9374732,1.635326,-1.04591,0.6458417,-0.7540251,0.09376834,0.07444561
85,-0.9378497,1.643995,-1.067028,0.6307526,-0.7663419,0.09510421,0.07633144
86,-0.9376932,1.64891,-1.081139,0.6189329,-0.7748955,0.1020987,0.07768423
87,-0.9368928,1.656823,-1.109045,0.5967161,-0.7911093,0.1118419,0.07461512
88,-0.9366799,1.659725,-1.122435,0.5890508,-0.7976516,0.1094163,0.06927638
89,-0.9359992,1.6625,-1.14196,0.58171,-0.8055459,0.09813591,0.05548515
90,-0.9348146,1.663955,-1.160286,0.5776224,-0.8103279,0.08936869,0.04164575
91,-0.933623,1.663971,-1.177588,0.5734208,-0.8141933,0.08615514,0.02924253
92,-0.9326698,1.662613,-1.189444,0.5682493,-0.818241,0.08520534,0.01772964
93,-0.9320279,1.65857,-1.206802,0.5612291,-0.823409,0.08361696,0.00527663
94,-0.9328544,1.653271,-1.223487,0.5573327,-0.8268604,0.07531526,0.003118174
95,-0.9343713,1.649066,-1.234313,0.5549488,-0.829217,0.06626445,0.006334144
96,-0.9379333,1.64175,-1.250479,0.5488285,-0.8341502,0.05180299,0.01724003
97,-0.9417016,1.633056,-1.266012,0.5399371,-0.84048,0.03732019,0.02585327
98,-0.9447472,1.623897,-1.280539,0.5289637,-0.8476846,0.02486776,0.03177851
99,-0.9474171,1.613447,-1.293784,0.5172452,-0.8548363,0.01516499,0.03850201
