Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.6997724,0.9716556,-1.616572,0.6069294,-0.3236534,0.642381,0.337982
1,-0.7000856,0.9715984,-1.616518,0.6067145,-0.324466,0.6420525,0.3382127
2,-0.7003239,0.9715153,-1.6165,0.6068755,-0.3252402,0.6416849,0.3378777
3,-0.7011923,0.9716153,-1.615988,0.6079271,-0.3278757,0.6389289,0.3386619
4,-0.7006989,0.9713366,-1.616254,0.6074392,-0.326041,0.6408581,0.3376623
5,-0.7006989,0.9713366,-1.616254,0.6074392,-0.326041,0.6408581,0.3376623
6,-0.7006989,0.9713366,-1.616254,0.6074392,-0.326041,0.6408581,0.3376623
7,-0.7006989,0.9713366,-1.616254,0.6074392,-0.326041,0.6408581,0.3376623
8,-0.7006989,0.9713366,-1.616254,0.6074392,-0.326041,0.6408581,0.3376623
9,-0.7006989,0.9713366,-1.616254,0.6074392,-0.326041,0.6408581,0.3376623
10,-0.7006989,0.9713366,-1.616254,0.6074392,-0.326041,0.6408581,0.3376623
11,-0.7006686,0.9713517,-1.616306,0.6075184,-0.3263695,0.6405665,0.3377555
12,-0.7006562,0.9713377,-1.616301,0.6075349,-0.3264347,0.6405366,0.3377196
13,-0.7006979,0.9714788,-1.616421,0.6074795,-0.3264926,0.6405083,0.3378172
14,-0.7007293,0.9715332,-1.616455,0.6075698,-0.326738,0.6405098,0.3374143
15,-0.7009205,0.9716911,-1.616368,0.6078975,-0.3270157,0.6401291,0.3372775
16,-0.7011405,0.9718133,-1.616188,0.6087736,-0.3278844,0.6392058,0.3366045
17,-0.7012224,0.9718088,-1.615969,0.6102244,-0.3283276,0.6383108,0.3352409
18,-0.7012689,0.9717901,-1.615741,0.6113871,-0.3283832,0.6377164,0.3341977
19,-0.7013013,0.9716891,-1.615422,0.6115749,-0.3270633,0.638232,0.3341641
20,-0.7013488,0.971475,-1.615338,0.6108684,-0.3263535,0.6388486,0.3349712
21,-0.7015898,0.9712728,-1.615366,0.6099699,-0.3271206,0.6394042,0.3348
22,-0.7019855,0.9711699,-1.615388,0.6098779,-0.32783,0.6388036,0.3354196
23,-0.7022519,0.9710116,-1.615193,0.6094122,-0.3267741,0.638809,0.337281
24,-0.7027613,0.9708256,-1.614972,0.6084369,-0.3256208,0.6389028,0.3399688
25,-0.7032168,0.970786,-1.614924,0.6076766,-0.3263898,0.6387686,0.3408425
26,-0.7036374,0.9706787,-1.615034,0.6075081,-0.3286442,0.6384147,0.3396372
27,-0.7038779,0.9704962,-1.615093,0.6075921,-0.3293852,0.6383349,0.3389185
28,-0.7042165,0.9700733,-1.615059,0.6071346,-0.3280491,0.6393331,0.3391526
29,-0.7044158,0.969821,-1.61493,0.6072888,-0.3275051,0.6395157,0.3390582
30,-0.7049074,0.9694635,-1.614722,0.6081042,-0.3276545,0.6390406,0.3383473
31,-0.7054313,0.9689482,-1.61454,0.6086828,-0.3276133,0.6387323,0.3379289
32,-0.7060274,0.9682117,-1.614571,0.6085873,-0.3276299,0.6395726,0.3364924
33,-0.7064918,0.9675045,-1.614712,0.6083747,-0.3277283,0.6406147,0.3347943
34,-0.7076066,0.9658555,-1.61482,0.6081107,-0.3275587,0.6422053,0.3323838
35,-0.7082621,0.9648212,-1.614852,0.6081953,-0.3272274,0.6425663,0.3318573
36,-0.7090441,0.9636599,-1.614929,0.6079506,-0.3271229,0.6431717,0.3312353
37,-0.7102597,0.9615362,-1.615241,0.6070415,-0.3273066,0.6445053,0.3301271
38,-0.7115376,0.9588459,-1.615446,0.6053455,-0.3260821,0.6463732,0.3308004
39,-0.7127366,0.9555771,-1.615728,0.6033509,-0.3236126,0.649214,0.3313059
40,-0.71376,0.9515483,-1.615865,0.6038328,-0.3212615,0.6513782,0.3284561
41,-0.7142832,0.9468811,-1.616146,0.6059785,-0.3194838,0.6532694,0.3224271
42,-0.7145858,0.9418696,-1.616324,0.6094742,-0.3180917,0.6541964,0.3152554
43,-0.7139351,0.9367023,-1.61618,0.6145842,-0.3134813,0.654582,0.3090924
44,-0.7129176,0.9334195,-1.61593,0.6186678,-0.3083661,0.6544635,0.30633
45,-0.7106037,0.9291441,-1.615335,0.6248575,-0.3009183,0.6531631,0.3039396
46,-0.7073671,0.9263234,-1.614878,0.629639,-0.2975466,0.650593,0.3029017
47,-0.7032007,0.9247681,-1.615415,0.6329574,-0.2996145,0.6481298,0.2992054
48,-0.6994286,0.9243401,-1.615826,0.6342831,-0.2990224,0.6475287,0.2982903
49,-0.6922079,0.9247859,-1.616519,0.6372262,-0.2967371,0.6464443,0.2966473
50,-0.6834751,0.9266468,-1.617501,0.6413354,-0.2973475,0.6437212,0.2930808
51,-0.676616,0.9285185,-1.618424,0.6432889,-0.2986067,0.6415947,0.2921809
52,-0.6615019,0.9344025,-1.620521,0.6449087,-0.2947885,0.6396817,0.2966476
53,-0.6484662,0.9407079,-1.622284,0.6434669,-0.2877915,0.6408207,0.3040973
54,-0.6394188,0.9459145,-1.623409,0.6423997,-0.2840226,0.6402739,0.3109715
55,-0.6247854,0.9555291,-1.624654,0.6415273,-0.2819368,0.6376425,0.3199475
56,-0.614743,0.9625257,-1.625613,0.6411892,-0.2810533,0.6355961,0.3254274
57,-0.5934589,0.9786004,-1.627809,0.6372401,-0.2775417,0.6326028,0.3416277
58,-0.5768704,0.9921714,-1.629877,0.6303819,-0.2702951,0.6348236,0.3557503
59,-0.5659263,1.001912,-1.631503,0.6243019,-0.2653448,0.6378247,0.3647177
60,-0.5501231,1.018002,-1.634466,0.6151332,-0.2624072,0.6430965,0.3730691
61,-0.5362734,1.035275,-1.637502,0.6045496,-0.2603359,0.6504853,0.3789642
62,-0.5285333,1.047833,-1.639394,0.5961,-0.2615194,0.6553994,0.3830456
63,-0.5177255,1.0746,-1.642384,0.5808102,-0.2726261,0.6620356,0.3873543
