Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.006893,0.9010212,-1.203434,0.9019365,-0.431845,0.004516602,0
1,-1.006663,0.9008626,-1.203383,0.9015558,-0.4326347,0.004804363,-0.001098633
2,-1.006455,0.9008597,-1.203404,0.9011132,-0.4335445,0.005275924,-0.002501697
3,-1.0064,0.9008458,-1.203369,0.9009369,-0.4339045,0.005514823,-0.003027245
4,-1.006353,0.9008975,-1.203437,0.9006617,-0.434466,0.005884751,-0.003621191
5,-1.006353,0.9008975,-1.203437,0.9006617,-0.434466,0.005884751,-0.003621191
6,-1.006266,0.9006513,-1.203432,0.9004453,-0.4349056,0.006016221,-0.004375842
7,-1.006367,0.900563,-1.203452,0.9003943,-0.4350126,0.005679878,-0.00467228
8,-1.006562,0.9002297,-1.203626,0.9003941,-0.4350189,0.005180443,-0.004694552
9,-1.006566,0.9002348,-1.203625,0.9003752,-0.4350578,0.005179005,-0.004721455
10,-1.006705,0.8998693,-1.203706,0.900213,-0.4353989,0.004716719,-0.004700896
11,-1.006731,0.8997401,-1.203743,0.9001814,-0.4354675,0.00445682,-0.004649902
12,-1.006603,0.8991205,-1.203415,0.9010806,-0.4335972,0.005675941,-0.003871765
13,-1.006739,0.8993165,-1.203859,0.900367,-0.4350865,0.004606436,-0.004221586
14,-1.006739,0.8993165,-1.203859,0.900367,-0.4350865,0.004606436,-0.004221586
15,-1.006739,0.8993165,-1.203859,0.900367,-0.4350865,0.004606436,-0.004221586
16,-1.006739,0.8993165,-1.203859,0.900367,-0.4350865,0.004606436,-0.004221586
17,-1.006739,0.8993165,-1.203859,0.900367,-0.4350865,0.004606436,-0.004221586
18,-1.006739,0.8993165,-1.203859,0.900367,-0.4350865,0.004606436,-0.004221586
19,-1.006739,0.8993165,-1.203859,0.900367,-0.4350865,0.004606436,-0.004221586
20,-1.006776,0.8993038,-1.203863,0.9004055,-0.4350082,0.00455602,-0.004126988
21,-1.006827,0.8993502,-1.203871,0.9003667,-0.4350919,0.004514952,-0.003805776
22,-1.006974,0.899479,-1.20391,0.9002674,-0.4353038,0.004421575,-0.003097797
23,-1.007043,0.899585,-1.203958,0.9001784,-0.4354891,0.00422335,-0.003190218
24,-1.007082,0.899664,-1.204045,0.9000566,-0.4357376,0.004230401,-0.003602626
25,-1.007107,0.8997051,-1.204079,0.8998418,-0.4361733,0.004235682,-0.004421575
26,-1.007229,0.8997478,-1.204127,0.8997496,-0.4363608,0.004098,-0.00480126
27,-1.007285,0.899745,-1.204157,0.8997256,-0.4364093,0.004202127,-0.004813658
