Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.9864416,0.8801707,-1.222915,0.9174915,-0.3902062,0.07580803,0.01419956
1,-0.9863436,0.8798512,-1.222971,0.9175689,-0.3899937,0.07592881,0.01438618
2,-0.986068,0.8791643,-1.222963,0.9179861,-0.3889647,0.07613352,0.01454841
3,-0.9859704,0.8785501,-1.222774,0.9183877,-0.3880329,0.07608379,0.01434417
4,-0.9858822,0.8782423,-1.222683,0.9186665,-0.3874019,0.07602286,0.013857
5,-0.9856055,0.8776364,-1.222472,0.9193526,-0.385776,0.07617628,0.01283829
6,-0.9856055,0.8776364,-1.222472,0.9193526,-0.385776,0.07617628,0.01283829
7,-0.9856055,0.8776364,-1.222472,0.9193526,-0.385776,0.07617628,0.01283829
8,-0.9856055,0.8776364,-1.222472,0.9193526,-0.385776,0.07617628,0.01283829
9,-0.9856055,0.8776364,-1.222472,0.9193526,-0.385776,0.07617628,0.01283829
10,-0.9856055,0.8776364,-1.222472,0.9193526,-0.385776,0.07617628,0.01283829
11,-0.9856055,0.8776364,-1.222472,0.9193526,-0.385776,0.07617628,0.01283829
12,-0.9855902,0.8775941,-1.222409,0.9194493,-0.3855094,0.07633934,0.01295326
13,-0.9857064,0.8777686,-1.22252,0.919377,-0.3857439,0.07606352,0.01272755
14,-0.985704,0.8777999,-1.222561,0.919471,-0.3855383,0.07603991,0.01229703
15,-0.9856384,0.877798,-1.222593,0.9195898,-0.3852656,0.07607331,0.01174225
16,-0.9854594,0.8777996,-1.222668,0.9197219,-0.3849449,0.07632373,0.01018245
17,-0.9851716,0.8778843,-1.222817,0.9197701,-0.384831,0.07661125,0.007669086
18,-0.9850531,0.8779008,-1.222923,0.9199734,-0.3843687,0.07660445,0.006437401
19,-0.9849336,0.8778144,-1.223006,0.9203349,-0.3835835,0.07628877,0.005236233
20,-0.9848648,0.8777403,-1.223192,0.9204089,-0.3836196,0.07525741,0.004450128
21,-0.9848862,0.8772862,-1.223268,0.9205089,-0.3833939,0.07504545,0.006372258
22,-0.9847763,0.8767965,-1.223239,0.9204436,-0.3833236,0.0760011,0.00839361
23,-0.9846205,0.8758626,-1.223108,0.9204873,-0.3827919,0.07760984,0.01225211
24,-0.9846286,0.8753759,-1.22291,0.9208872,-0.3819376,0.07711347,0.01199648
