Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.8863499,0.9510599,-1.108975,0.8742602,-0.4843333,0.03266333,0.004833738
1,-0.886229,0.9510808,-1.109308,0.8738981,-0.4849401,0.03331603,0.005015293
2,-0.8860821,0.9510077,-1.109548,0.8736874,-0.4852937,0.03368234,0.005087565
3,-0.8857403,0.9507122,-1.110149,0.8732784,-0.4859921,0.03414327,0.005533705
4,-0.8855431,0.9504098,-1.110463,0.8732175,-0.4860964,0.03418514,0.005734707
5,-0.8856273,0.9502579,-1.110956,0.8726206,-0.4872366,0.03317282,0.005776132
6,-0.8855748,0.9501619,-1.110834,0.8729294,-0.4866472,0.03366331,0.005963981
7,-0.8855748,0.9501619,-1.110834,0.8729294,-0.4866472,0.03366331,0.005963981
8,-0.8855748,0.9501619,-1.110834,0.8729294,-0.4866472,0.03366331,0.005963981
9,-0.8855748,0.9501619,-1.110834,0.8729294,-0.4866472,0.03366331,0.005963981
10,-0.8855748,0.9501619,-1.110834,0.8729294,-0.4866472,0.03366331,0.005963981
11,-0.8855748,0.9501619,-1.110834,0.8729294,-0.4866472,0.03366331,0.005963981
12,-0.8855748,0.9501619,-1.110834,0.8729294,-0.4866472,0.03366331,0.005963981
13,-0.8857135,0.9502944,-1.110774,0.8728045,-0.4868929,0.0333567,0.00591254
14,-0.8857086,0.950459,-1.110691,0.8725865,-0.4873033,0.03306776,0.005892343
15,-0.8859271,0.951023,-1.110774,0.8720664,-0.4882879,0.03220598,0.006153361
16,-0.8861104,0.9515715,-1.110855,0.871697,-0.4889803,0.03161126,0.006587274
17,-0.8864419,0.9530808,-1.111111,0.8706427,-0.4908988,0.03066298,0.007702047
18,-0.8866408,0.9540615,-1.111475,0.8697324,-0.4925329,0.03009473,0.008437876
19,-0.886892,0.9557521,-1.11217,0.8681621,-0.495306,0.02954228,0.009682108
20,-0.8870269,0.9576102,-1.112914,0.8667248,-0.4977427,0.03010735,0.0115658
21,-0.8870144,0.9587799,-1.113595,0.8656992,-0.4994237,0.03110135,0.01317681
22,-0.8862411,0.9577349,-1.114989,0.866121,-0.4985067,0.03414087,0.01264474
23,-0.8856963,0.9569976,-1.115777,0.8664085,-0.4980441,0.03450662,0.009881665
24,-0.8849456,0.955541,-1.116737,0.8674507,-0.496289,0.03439958,0.00657822
25,-0.8842625,0.9535888,-1.11764,0.8689755,-0.4935695,0.03524029,0.005369707
26,-0.8836317,0.9513355,-1.11874,0.8702403,-0.4912638,0.03611425,0.006125449
27,-0.8831873,0.9488178,-1.119736,0.8718988,-0.4882422,0.03674965,0.007842008
28,-0.8824491,0.9461159,-1.120724,0.8735085,-0.485197,0.03873228,0.008159558
29,-0.8818848,0.9443822,-1.121575,0.8741235,-0.4839549,0.04050417,0.007427254
30,-0.8812149,0.942569,-1.122549,0.8746958,-0.4828183,0.04187546,0.006334732
