Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,0.3426211,1.248883,-0.2238475,0.9114106,-0.4093818,0.01217097,-0.03986432
1,0.34253,1.248773,-0.2238698,0.9112646,-0.4097054,0.01203368,-0.03991793
2,0.3424714,1.248556,-0.2240231,0.9109644,-0.4103642,0.01157739,-0.04013924
3,0.3423173,1.248266,-0.2241421,0.9108638,-0.4105614,0.01086151,-0.040601
4,0.342092,1.247768,-0.2241939,0.9109985,-0.4102084,0.009427907,-0.04149547
5,0.3419473,1.247408,-0.2239046,0.9114886,-0.4091096,0.009134905,-0.04164656
6,0.3418183,1.2475,-0.2239954,0.9115027,-0.4090761,0.009209637,-0.04165121
7,0.3418183,1.2475,-0.2239954,0.9115027,-0.4090761,0.009209637,-0.04165121
8,0.3418183,1.2475,-0.2239954,0.9115027,-0.4090761,0.009209637,-0.04165121
9,0.3418183,1.2475,-0.2239954,0.9115027,-0.4090761,0.009209637,-0.04165121
10,0.3418183,1.2475,-0.2239954,0.9115027,-0.4090761,0.009209637,-0.04165121
11,0.3418183,1.2475,-0.2239954,0.9115027,-0.4090761,0.009209637,-0.04165121
12,0.3418183,1.2475,-0.2239954,0.9115027,-0.4090761,0.009209637,-0.04165121
13,0.3418133,1.247497,-0.2239834,0.9114749,-0.4091417,0.009057913,-0.04164691
14,0.341784,1.247492,-0.2239624,0.9115536,-0.4089929,0.00891949,-0.04141639
15,0.3416748,1.247456,-0.2239724,0.9117042,-0.4087005,0.008554508,-0.04106446
16,0.3416295,1.247482,-0.2240427,0.9117509,-0.4085912,0.008386506,-0.0411491
17,0.3416719,1.247579,-0.224154,0.9117382,-0.4084382,0.007608614,-0.04305519
18,0.3417835,1.24769,-0.2244443,0.9112989,-0.4091642,0.006581617,-0.04555906
19,0.3418298,1.247792,-0.2248075,0.910865,-0.4100923,0.006521343,-0.04589941
20,0.3417506,1.24795,-0.2253286,0.9104034,-0.4112821,0.006943,-0.04432262
21,0.3415918,1.248088,-0.2259088,0.9100099,-0.4122903,0.006907497,-0.04302385
22,0.3411562,1.247603,-0.2260772,0.9104515,-0.4113458,0.005812136,-0.04288283
23,0.3408914,1.247161,-0.2261482,0.9109026,-0.4102447,0.005081704,-0.04392954
24,0.3404622,1.246233,-0.2261834,0.9120004,-0.4074377,0.00457723,-0.04721045
25,0.3402572,1.245748,-0.2262083,0.9127052,-0.4058131,0.00507143,-0.04753067
26,0.3400905,1.24516,-0.2261586,0.9135379,-0.4038631,0.005457785,-0.04809772
27,0.3399968,1.244578,-0.2262486,0.9135585,-0.4037259,0.005006371,-0.04889918
28,0.3397987,1.244335,-0.2266681,0.9129035,-0.4052913,0.004578857,-0.04822025
29,0.3395112,1.244024,-0.2270627,0.9122722,-0.4069508,0.003548448,-0.04623791
30,0.3393829,1.24385,-0.2272027,0.911971,-0.4077339,0.002939842,-0.04531522
31,0.3392398,1.243368,-0.2272912,0.9117436,-0.4084305,0.003107403,-0.04357141
32,0.3391981,1.242663,-0.2272854,0.9116836,-0.4087415,0.004560923,-0.04174448
33,0.3392582,1.241805,-0.2272662,0.911872,-0.4082901,0.00550265,-0.04193253
34,0.3392248,1.241099,-0.2269639,0.9124535,-0.4069815,0.005648308,-0.04198562
35,0.3393137,1.239929,-0.2267076,0.9132093,-0.4052581,0.005587301,-0.04223086
36,0.3396115,1.238762,-0.2265241,0.9139036,-0.4035766,0.005886017,-0.04326097
