Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.695452,1.001024,-1.17746,0.8809691,-0.4232742,0.1964371,0.07838901
1,-0.6942506,1.001051,-1.177147,0.8807232,-0.4235717,0.1969705,0.07820679
2,-0.6928557,1.001047,-1.176909,0.8803086,-0.4242109,0.1974953,0.07808675
3,-0.6914965,1.001029,-1.176497,0.8801149,-0.4244046,0.1979994,0.07794043
4,-0.6888183,1.001011,-1.175218,0.8801336,-0.4242422,0.1983377,0.07775246
5,-0.6893939,1.000729,-1.175686,0.8798633,-0.4247885,0.1982423,0.07807253
6,-0.6872551,1.000515,-1.17466,0.8799513,-0.4243561,0.1987681,0.07809495
7,-0.6842854,1.000331,-1.172806,0.8802342,-0.4234332,0.1992125,0.07878133
8,-0.6832825,0.9999545,-1.172023,0.8805878,-0.4222594,0.1998397,0.07953731
9,-0.6833575,1.000006,-1.172074,0.8804879,-0.4226542,0.1994871,0.0794312
10,-0.6833575,1.000006,-1.172074,0.8804879,-0.4226542,0.1994871,0.0794312
11,-0.6833575,1.000006,-1.172074,0.8804879,-0.4226542,0.1994871,0.0794312
12,-0.6833575,1.000006,-1.172074,0.8804879,-0.4226542,0.1994871,0.0794312
13,-0.6833575,1.000006,-1.172074,0.8804879,-0.4226542,0.1994871,0.0794312
14,-0.6833575,1.000006,-1.172074,0.8804879,-0.4226542,0.1994871,0.0794312
15,-0.6833575,1.000006,-1.172074,0.8804879,-0.4226542,0.1994871,0.0794312
16,-0.6830124,1.00016,-1.172059,0.8803571,-0.4227409,0.1997952,0.07964505
17,-0.6830388,1.000177,-1.172207,0.8803569,-0.4227744,0.1996738,0.07977404
18,-0.6831789,1.00021,-1.172663,0.8802816,-0.4232894,0.1990762,0.07936664
19,-0.6830744,1.00034,-1.173566,0.8801116,-0.4240114,0.1991622,0.07715153
20,-0.6830052,1.000271,-1.174227,0.8800522,-0.4240342,0.1998839,0.07582522
21,-0.6829019,1.000242,-1.174986,0.8799691,-0.4238846,0.2009716,0.07474352
22,-0.6829132,1.000146,-1.176377,0.8797174,-0.4238837,0.2025495,0.0734413
23,-0.6826949,1.000265,-1.177819,0.8798022,-0.4239933,0.2026677,0.07143867
24,-0.6831192,0.9998919,-1.179641,0.8801131,-0.4240966,0.2017875,0.06946165
25,-0.6822523,0.9992782,-1.178302,0.8811919,-0.4219039,0.2005577,0.07262609
26,-0.6816148,0.9983194,-1.176865,0.8823728,-0.4195153,0.1988642,0.07666958
27,-0.6808307,0.9976513,-1.175387,0.882965,-0.4187753,0.1964815,0.07996882
28,-0.6801574,0.9968915,-1.173941,0.8827001,-0.4184439,0.1959752,0.0856678
29,-0.6797183,0.9962265,-1.172892,0.8828114,-0.4177242,0.1952218,0.08965971
30,-0.6785862,0.9951537,-1.170771,0.8837306,-0.4153766,0.1938384,0.0943879
31,-0.6773081,0.994083,-1.168636,0.8841861,-0.4135274,0.1935952,0.09864558
32,-0.6754149,0.992911,-1.166473,0.8842535,-0.4127084,0.1945515,0.09958506
33,-0.6739496,0.9923491,-1.165063,0.8840432,-0.412586,0.1962486,0.09862473
34,-0.6712856,0.9916531,-1.163026,0.8835377,-0.4134167,0.1990664,0.09391683
35,-0.6684198,0.9910401,-1.160499,0.8833923,-0.4136484,0.200928,0.09022747
36,-0.6666619,0.9906957,-1.158519,0.8832918,-0.4133672,0.2022953,0.0894414
37,-0.6642613,0.9904374,-1.155412,0.8826461,-0.4134543,0.2044265,0.09056021
38,-0.6619238,0.9906269,-1.151706,0.8826975,-0.4133956,0.2043541,0.09049033
39,-0.6596456,0.9908265,-1.147526,0.8832923,-0.4131525,0.2026586,0.08960493
40,-0.6580577,0.991075,-1.144537,0.8836092,-0.4133381,0.2012041,0.08890013
41,-0.6543319,0.991697,-1.137846,0.8843375,-0.4119692,0.2003914,0.08984325
42,-0.6522006,0.9918737,-1.134096,0.8849213,-0.4098262,0.2016781,0.09100937
43,-0.647555,0.992777,-1.126224,0.8856283,-0.4074119,0.2038598,0.09010666
44,-0.644999,0.9933071,-1.122147,0.8857972,-0.4078666,0.2038265,0.08638784
45,-0.6415962,0.9947878,-1.116092,0.8850957,-0.4095396,0.203877,0.08554064
46,-0.6395156,0.9960815,-1.112049,0.8836821,-0.4114659,0.2049238,0.08836255
47,-0.6351745,0.99893,-1.10334,0.8809919,-0.4137569,0.2077991,0.09735465
48,-0.6331711,1.000252,-1.098562,0.8807977,-0.4135078,0.2080129,0.09968661
49,-0.630026,1.00193,-1.090542,0.8823386,-0.4108543,0.2064639,0.1002492
50,-0.6272396,1.003228,-1.081692,0.8850242,-0.4060768,0.2040521,0.1009773
51,-0.6251618,1.004206,-1.075522,0.8867525,-0.4031778,0.2024454,0.1006652
52,-0.6220924,1.006066,-1.06645,0.888047,-0.4009889,0.2014304,0.1000315
53,-0.6179287,1.009115,-1.054795,0.8870046,-0.4018533,0.2037762,0.1010544
54,-0.6160452,1.010719,-1.04884,0.886037,-0.4024782,0.2055298,0.1034757
55,-0.6134166,1.013207,-1.039906,0.8847991,-0.4041381,0.2074967,0.1036733
56,-0.6117189,1.014934,-1.033905,0.8841498,-0.406112,0.2080179,0.1004022
57,-0.6079774,1.017912,-1.021088,0.8860496,-0.406341,0.2054345,0.08717658
58,-0.6061445,1.019187,-1.014295,0.8875104,-0.4043843,0.2051173,0.08200954
59,-0.6038452,1.021319,-1.004274,0.8881835,-0.4021295,0.2074132,0.08001009
60,-0.6019412,1.023871,-0.9945631,0.8865588,-0.4019208,0.2126587,0.08514376
61,-0.601126,1.02569,-0.9882418,0.8848709,-0.4023543,0.2164986,0.0907902
62,-0.6002746,1.028372,-0.9785169,0.883804,-0.4016771,0.219477,0.09682892
63,-0.6002229,1.030794,-0.9680271,0.8853294,-0.4003111,0.2161819,0.09596008
64,-0.6011199,1.033283,-0.95725,0.8864598,-0.3995637,0.2124232,0.09702716
65,-0.602657,1.03572,-0.9466118,0.8871135,-0.4000124,0.2078861,0.09901077
66,-0.6046444,1.038298,-0.9360923,0.8881664,-0.4017065,0.2004986,0.09794194
67,-0.6065595,1.039872,-0.9290749,0.8883502,-0.4028358,0.1969073,0.09891688
68,-0.6090561,1.04229,-0.9187375,0.8873066,-0.4029177,0.1966799,0.1079873
69,-0.6126093,1.044317,-0.9090184,0.8846101,-0.4030289,0.2013281,0.1204145
70,-0.6143944,1.045943,-0.9025913,0.8829365,-0.4038262,0.2043671,0.1248266
71,-0.6163735,1.047546,-0.8959785,0.8823012,-0.4048021,0.2058541,0.1237093
