Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.152181,0.8777423,-1.030565,0.8811484,-0.4542623,-0.1164802,-0.06046166
1,-1.152221,0.8773664,-1.030879,0.881271,-0.4535342,-0.1177738,-0.06162351
2,-1.152366,0.8770013,-1.031048,0.8814974,-0.4526414,-0.1189101,-0.06275815
3,-1.152613,0.8761652,-1.031018,0.8821555,-0.4504454,-0.1209219,-0.06541044
4,-1.153087,0.8755488,-1.030491,0.882809,-0.4481959,-0.1230437,-0.06803644
5,-1.153124,0.87555,-1.030489,0.8828192,-0.44815,-0.1231479,-0.06801748
6,-1.154166,0.8748764,-1.029296,0.8833885,-0.4455681,-0.126802,-0.07081751
7,-1.15586,0.8741766,-1.027085,0.8839089,-0.4428556,-0.1319957,-0.07184085
8,-1.156034,0.8742044,-1.027203,0.8835295,-0.4433798,-0.1326972,-0.07198289
9,-1.156034,0.8742044,-1.027203,0.8835295,-0.4433798,-0.1326972,-0.07198289
10,-1.156034,0.8742044,-1.027203,0.8835295,-0.4433798,-0.1326972,-0.07198289
11,-1.156034,0.8742044,-1.027203,0.8835295,-0.4433798,-0.1326972,-0.07198289
12,-1.156034,0.8742044,-1.027203,0.8835295,-0.4433798,-0.1326972,-0.07198289
13,-1.156034,0.8742044,-1.027203,0.8835295,-0.4433798,-0.1326972,-0.07198289
14,-1.156034,0.8742044,-1.027203,0.8835295,-0.4433798,-0.1326972,-0.07198289
15,-1.156002,0.8741837,-1.027169,0.8836431,-0.4432053,-0.132462,-0.07209551
16,-1.155832,0.874137,-1.027591,0.8838413,-0.4426097,-0.1323856,-0.07345175
17,-1.155676,0.8738444,-1.028379,0.8844209,-0.4405477,-0.1337047,-0.07642245
18,-1.155749,0.8736087,-1.029063,0.8849953,-0.4386246,-0.1352077,-0.07817019
19,-1.156591,0.8732815,-1.031296,0.8854963,-0.4362372,-0.1400234,-0.07737486
20,-1.157433,0.8732555,-1.032933,0.8849991,-0.4366498,-0.1434917,-0.07432148
21,-1.158892,0.8735017,-1.035961,0.8822068,-0.4416693,-0.1485231,-0.06767761
22,-1.161496,0.8741152,-1.04144,0.8757192,-0.4557134,-0.151382,-0.05024599
23,-1.162948,0.8742768,-1.044173,0.8728114,-0.4618104,-0.1518854,-0.04315233
24,-1.165453,0.8740921,-1.04319,0.8711299,-0.4643391,-0.1541873,-0.04180975
25,-1.167661,0.8734621,-1.039274,0.8724982,-0.4590683,-0.1587169,-0.05303025
26,-1.169583,0.872363,-1.033979,0.8757235,-0.4490454,-0.1630311,-0.06991081
27,-1.170972,0.8715432,-1.029863,0.8782455,-0.4418511,-0.1649055,-0.07911098
28,-1.173104,0.8704685,-1.023581,0.8809326,-0.4335817,-0.1675159,-0.08889896
29,-1.17513,0.8696856,-1.017372,0.8811657,-0.4311292,-0.1701338,-0.09342965
30,-1.176542,0.8693929,-1.013434,0.8804589,-0.4328237,-0.1708128,-0.09098751
31,-1.178747,0.8690277,-1.007563,0.8786578,-0.4379854,-0.1717217,-0.08149242
32,-1.18085,0.8689672,-1.001658,0.8757698,-0.4450505,-0.172865,-0.07123899
33,-1.183018,0.8689057,-0.9954567,0.8735742,-0.4498349,-0.1751578,-0.06193935
34,-1.184122,0.8687521,-0.9905812,0.8736654,-0.4489595,-0.1774053,-0.06059312
35,-1.185434,0.8686615,-0.9798091,0.8758459,-0.4435006,-0.1797816,-0.06228721
36,-1.185529,0.8688529,-0.974107,0.8778005,-0.4405917,-0.1774082,-0.06222114
37,-1.184946,0.869725,-0.9657209,0.8802509,-0.4376095,-0.1725551,-0.06229714
38,-1.183762,0.8713157,-0.9579476,0.8800467,-0.4390539,-0.1696061,-0.06311295
39,-1.182919,0.8725228,-0.9530103,0.879319,-0.4411547,-0.1687278,-0.06092214
40,-1.181118,0.8753643,-0.9433972,0.877052,-0.4475694,-0.1674747,-0.04912902
41,-1.179831,0.8769339,-0.9389135,0.8749198,-0.4528147,-0.1665937,-0.04148236
42,-1.176919,0.8795849,-0.932296,0.8719546,-0.4611091,-0.1617731,-0.03005261
43,-1.17316,0.88212,-0.9253317,0.871013,-0.466195,-0.1538715,-0.01794973
44,-1.168994,0.8845001,-0.9181614,0.8711488,-0.4686081,-0.1463952,-0.008648921
45,-1.164054,0.8870008,-0.9111248,0.8724188,-0.4679538,-0.1409303,-0.006587274
46,-1.16017,0.8886901,-0.9067109,0.8738894,-0.4659994,-0.1381326,-0.009005943
47,-1.153568,0.8913485,-0.9000307,0.8767347,-0.4620505,-0.1327392,-0.01502953
48,-1.145995,0.8939329,-0.8939412,0.879628,-0.4588515,-0.123836,-0.01935344
49,-1.14063,0.8956939,-0.8904231,0.8805693,-0.4588411,-0.1170044,-0.01930294
50,-1.132297,0.8983659,-0.8862245,0.8801965,-0.4624703,-0.1056077,-0.01491557
51,-1.124092,0.9009614,-0.8830374,0.878665,-0.4678096,-0.09508509,-0.007792447
52,-1.115786,0.903306,-0.88043,0.8770829,-0.4725412,-0.08619763,-0.0005320922
53,-1.107467,0.9052004,-0.8779259,0.8765801,-0.4748996,-0.07760476,0.007430262
54,-1.10198,0.9061391,-0.8763211,0.8770796,-0.4747565,-0.07189652,0.01298027
55,-1.090082,0.9079353,-0.8737935,0.8788905,-0.4726237,-0.0629878,0.01452278
56,-1.086884,0.9083539,-0.8734021,0.879454,-0.4719118,-0.06069497,0.0132709
57,-1.076817,0.9095112,-0.8725581,0.8811431,-0.469776,-0.05316215,0.00843611
58,-1.06625,0.9105064,-0.8725517,0.8818554,-0.4694527,-0.04387303,0.004514952
59,-1.059125,0.9110208,-0.8729174,0.8820334,-0.469712,-0.03693388,0.004858337
60,-1.048498,0.9114555,-0.8741192,0.8817572,-0.4708881,-0.0262366,0.008957832
61,-1.03812,0.9115953,-0.8761051,0.8807854,-0.4729988,-0.01381499,0.0172737
62,-1.028111,0.9112688,-0.8785471,0.8802152,-0.473831,-0.001926237,0.0264887
63,-1.015335,0.9100174,-0.882159,0.8819242,-0.4699898,0.01125366,0.03453511
64,-1.00906,0.9091058,-0.8842139,0.8830537,-0.4676314,0.01672096,0.03546117
65,-0.9998448,0.9076751,-0.8883418,0.8840451,-0.4657212,0.02279285,0.03237925
66,-0.9906697,0.9058793,-0.8932236,0.8848965,-0.4639411,0.02943945,0.02915769
67,-0.9822026,0.9036032,-0.8983898,0.8853875,-0.4624717,0.0360428,0.030161
68,-0.9744563,0.9009646,-0.9038898,0.885587,-0.4611305,0.04290333,0.03540733
69,-0.9673384,0.897999,-0.9094908,0.8860417,-0.459205,0.04854517,0.04128305
70,-0.9630331,0.8957703,-0.9133614,0.886527,-0.4575039,0.05191534,0.04544001
71,-0.9571287,0.89223,-0.9191451,0.8879033,-0.4535944,0.05650168,0.0518408
72,-0.9536179,0.8899112,-0.9230484,0.8891796,-0.4502011,0.05934162,0.05618829
73,-0.9474635,0.8852859,-0.9315991,0.8912516,-0.4448848,0.0629884,0.06148649
74,-0.9446876,0.8831019,-0.9364662,0.8920735,-0.4429436,0.0642156,0.06230694
75,-0.9421666,0.8808633,-0.9415476,0.8928053,-0.4411498,0.06584254,0.06285128
76,-0.9388561,0.8774759,-0.9495668,0.893065,-0.4399934,0.06892088,0.06395867
77,-0.9369106,0.8751408,-0.9550968,0.8931754,-0.4394129,0.07074625,0.06441335
78,-0.9342536,0.8700615,-0.9659564,0.8946207,-0.4357047,0.0724056,0.0676209
79,-0.9334478,0.8672632,-0.9711708,0.8951995,-0.4338927,0.07315394,0.07073498
80,-0.9327707,0.8615041,-0.9811441,0.8970461,-0.4293643,0.07205448,0.07591252
81,-0.9327857,0.8599333,-0.9835249,0.8979853,-0.4271907,0.07155601,0.07752618
82,-0.9336989,0.8518736,-0.994209,0.90352,-0.4150687,0.06758794,0.08247022
83,-0.9341627,0.8489141,-0.9989378,0.9048235,-0.4127156,0.06638078,0.08095489
84,-0.9351563,0.8434856,-1.008733,0.906526,-0.4097693,0.06586698,0.07720916
85,-0.9356498,0.8408087,-1.013626,0.9077522,-0.4074084,0.06598191,0.07517093
86,-0.9365939,0.8382297,-1.018552,0.9087983,-0.4047542,0.06679589,0.07614497
87,-0.9384457,0.8344685,-1.025854,0.9102982,-0.4011845,0.06717251,0.07678591
88,-0.9407523,0.8307692,-1.033234,0.911932,-0.3979317,0.06732031,0.07415136
89,-0.9433477,0.8272036,-1.040404,0.9138905,-0.3947509,0.06585476,0.06811053
90,-0.9467896,0.8235271,-1.047371,0.9158847,-0.3910288,0.06406715,0.06439819
91,-0.9506902,0.8197845,-1.053723,0.9182497,-0.3870028,0.05945037,0.05926259
92,-0.9552864,0.815902,-1.059678,0.9204655,-0.3830726,0.05318821,0.05629996
93,-0.9604586,0.8119543,-1.065189,0.922478,-0.3790434,0.04704492,0.0561007
94,-0.9660956,0.8079939,-1.070035,0.9252115,-0.3731948,0.04005878,0.05571945
95,-0.9701374,0.8052189,-1.07304,0.9273341,-0.3683865,0.03523204,0.05569056
96,-0.9764608,0.8012636,-1.07713,0.9303549,-0.361454,0.02856654,0.0545418
97,-0.9825893,0.7977868,-1.08103,0.9329975,-0.355638,0.02358644,0.04981067
98,-0.9861614,0.7958558,-1.083857,0.9344885,-0.3528097,0.02155742,0.04232884
99,-0.9913578,0.7935585,-1.087905,0.9360691,-0.3500739,0.01998116,0.02869847
100,-0.9965971,0.7917932,-1.091471,0.9368042,-0.3489774,0.01876987,0.01613592
101,-1.002287,0.7906665,-1.094623,0.9371219,-0.3486172,0.01549956,0.00532652
102,-1.00868,0.7898206,-1.09733,0.9372377,-0.3485288,0.009929803,-0.003803818
103,-1.015664,0.7894388,-1.100085,0.9364072,-0.3506863,0.002893865,-0.01233937
104,-1.020457,0.7894286,-1.101853,0.9355807,-0.3527009,-0.001364788,-0.01700199
105,-1.028111,0.7899231,-1.104619,0.9336905,-0.3573109,-0.007804867,-0.02213482
106,-1.036089,0.7910033,-1.107425,0.9307116,-0.3644569,-0.01479772,-0.02698196
107,-1.044411,0.7923672,-1.109824,0.9280663,-0.3701698,-0.02365898,-0.03328023
108,-1.052922,0.7935679,-1.111354,0.9262853,-0.3726159,-0.03497437,-0.04392937
109,-1.058921,0.7942481,-1.111995,0.9254535,-0.3730947,-0.04390647,-0.04907424
110,-1.068276,0.7951533,-1.112349,0.9243904,-0.373002,-0.05866809,-0.0541292
111,-1.077776,0.796183,-1.112328,0.9227094,-0.3732567,-0.07507503,-0.06041889
112,-1.086811,0.7972133,-1.111842,0.9209159,-0.3734728,-0.08840343,-0.06794669
113,-1.094954,0.7983105,-1.110776,0.9191567,-0.3730746,-0.09887906,-0.07867145
114,-1.099985,0.7993766,-1.109934,0.9176618,-0.3739974,-0.1041849,-0.08466569
115,-1.107242,0.8014598,-1.108371,0.9150309,-0.3771147,-0.1102189,-0.09140393
116,-1.111864,0.8032761,-1.107185,0.9126883,-0.3803757,-0.1145852,-0.09583694
117,-1.118979,0.806489,-1.105289,0.9083661,-0.3864073,-0.1233981,-0.1016525
118,-1.126252,0.8102419,-1.103372,0.9032771,-0.3943152,-0.1338697,-0.1033678
119,-1.1339,0.8145378,-1.101176,0.897933,-0.4035009,-0.1453762,-0.09883904
120,-1.141852,0.8187836,-1.098333,0.8919697,-0.4122307,-0.1599203,-0.09424152
121,-1.149701,0.8229064,-1.095176,0.8847731,-0.4217853,-0.1753831,-0.09227345
122,-1.154427,0.8255594,-1.092662,0.8803018,-0.4266502,-0.1849352,-0.09400722
123,-1.160118,0.8292868,-1.08759,0.8758134,-0.4298041,-0.1957282,-0.09954832
124,-1.164525,0.8330497,-1.081589,0.8722093,-0.4337457,-0.2010411,-0.1034313
125,-1.167936,0.8372933,-1.075156,0.8687032,-0.4410173,-0.2005876,-0.1030688
126,-1.170342,0.8419307,-1.06877,0.8636847,-0.4510683,-0.2000855,-0.1027228
127,-1.172379,0.8467077,-1.062386,0.8578423,-0.4619518,-0.2014332,-0.1006572
128,-1.174949,0.8508751,-1.055089,0.8536977,-0.4685867,-0.2059067,-0.09606864
129,-1.176514,0.8533027,-1.049754,0.8512085,-0.4714369,-0.2101896,-0.09492939
130,-1.177756,0.8554813,-1.044019,0.8495625,-0.4725052,-0.2143031,-0.09516675
131,-1.179372,0.8584976,-1.034479,0.8499097,-0.4711709,-0.2169869,-0.09256456
132,-1.17997,0.8615805,-1.024572,0.8506368,-0.4718715,-0.2144211,-0.08819193
133,-1.179193,0.8648181,-1.015214,0.8491721,-0.4774687,-0.2092069,-0.08463356
134,-1.177815,0.8682138,-1.006355,0.8469191,-0.4846822,-0.2032431,-0.08064409
135,-1.175962,0.8714888,-0.997135,0.8467656,-0.4880381,-0.1970156,-0.07740625
136,-1.173789,0.8745319,-0.9878205,0.8474934,-0.4890719,-0.1920773,-0.07529928
137,-1.17177,0.8773264,-0.9784918,0.8493004,-0.4877491,-0.1889013,-0.07145609
138,-1.170145,0.8790908,-0.9720966,0.8514653,-0.4852376,-0.1863561,-0.06944572
139,-1.167165,0.8820435,-0.9630888,0.853168,-0.4843278,-0.1822423,-0.06571681
140,-1.16358,0.8853679,-0.9554293,0.8519878,-0.4888068,-0.1774586,-0.06077042
141,-1.160716,0.88772,-0.9506909,0.8507047,-0.4926457,-0.1737711,-0.05835491
142,-1.15435,0.8922845,-0.9415858,0.8486803,-0.500038,-0.1643366,-0.05193529
143,-1.151017,0.8942051,-0.9370273,0.8482336,-0.5030794,-0.1587874,-0.04687659
144,-1.145712,0.8969501,-0.9301857,0.8481951,-0.5058298,-0.1518628,-0.04048403
145,-1.142046,0.8983849,-0.9255761,0.8484908,-0.506817,-0.1482601,-0.03491222
146,-1.134994,0.9005357,-0.916746,0.8494368,-0.5076208,-0.1428058,-0.01961404
147,-1.131111,0.9013782,-0.9123295,0.8505653,-0.5067275,-0.1399826,-0.01307321
148,-1.124477,0.9025458,-0.9061324,0.8526134,-0.5052921,-0.1330552,-0.005150876
149,-1.116833,0.903554,-0.9006424,0.8543683,-0.5048181,-0.1233432,8.631674E-05
150,-1.111126,0.9043069,-0.8974031,0.8555051,-0.5047666,-0.1154069,0.001704619
151,-1.098808,0.9058925,-0.8914152,0.8586812,-0.503226,-0.09709617,0.001553701
152,-1.092416,0.9066088,-0.8888039,0.8600244,-0.50255,-0.08830047,0.002135358
153,-1.083168,0.9072406,-0.8857017,0.8611417,-0.5024698,-0.07691026,0.006626181
154,-1.074362,0.907436,-0.8833025,0.8618839,-0.5022947,-0.06807366,0.01490458
155,-1.06578,0.9074188,-0.8812162,0.8627923,-0.5013161,-0.06152253,0.0220598
156,-1.056857,0.9072337,-0.8795103,0.8642063,-0.4994509,-0.05516498,0.02555734
157,-1.050654,0.9071499,-0.8787501,0.864948,-0.498668,-0.04969529,0.02693594
158,-1.044162,0.9070933,-0.8781078,0.8658885,-0.4975881,-0.0425686,0.02882798
159,-1.034024,0.9069803,-0.8773939,0.8672745,-0.4959439,-0.02949205,0.0317007
160,-1.023473,0.9067147,-0.8777748,0.8673769,-0.4962415,-0.01663698,0.03354047
161,-1.012871,0.9061823,-0.8790271,0.8671613,-0.4967699,-0.005653582,0.03491275
162,-1.002548,0.9053936,-0.8805471,0.8679338,-0.4951036,0.004476836,0.03928446
163,-0.9923744,0.9042622,-0.8820884,0.8695799,-0.4914855,0.0141354,0.04553124
164,-0.9822929,0.903115,-0.883976,0.8710202,-0.4879864,0.02491222,0.05071944
165,-0.9756934,0.9023088,-0.8854995,0.8718588,-0.485709,0.03320761,0.05335017
166,-0.9660271,0.9012398,-0.8884309,0.8721679,-0.4840738,0.045295,0.05426008
167,-0.9569147,0.9002013,-0.8920316,0.8721479,-0.4831981,0.05593858,0.05242689
168,-0.9485911,0.899013,-0.8957753,0.8734289,-0.4796481,0.06582488,0.05221799
169,-0.9411213,0.8976563,-0.9000112,0.8749786,-0.4754688,0.07331885,0.05446333
170,-0.9346124,0.896219,-0.9052197,0.8761221,-0.4724397,0.07653614,0.05790496
171,-0.9307242,0.8951077,-0.9091049,0.8764842,-0.471249,0.07751253,0.06075926
172,-0.9253531,0.893436,-0.9154527,0.8754741,-0.4719924,0.07901741,0.06726429
173,-0.9205284,0.8915403,-0.9224277,0.8730699,-0.4738851,0.08318615,0.07913236
174,-0.9160863,0.8892477,-0.9292815,0.8713853,-0.4739021,0.08816494,0.09127668
175,-0.9120374,0.8865958,-0.9357716,0.8716177,-0.4705409,0.09388167,0.1002998
176,-0.9094549,0.884738,-0.9402938,0.8724537,-0.4679184,0.09721366,0.1021101
177,-0.9057394,0.8820015,-0.9475182,0.8742348,-0.46485,0.1002213,0.09789628
178,-0.902405,0.8791283,-0.9551077,0.8762699,-0.4616514,0.1029776,0.09178519
179,-0.8996251,0.8760786,-0.9632025,0.8778509,-0.4584686,0.1061542,0.08896925
180,-0.8979958,0.8725814,-0.9713719,0.8793852,-0.4541803,0.1095618,0.0916409
181,-0.8972345,0.8701024,-0.9768427,0.8804079,-0.451777,0.1105828,0.09247074
182,-0.8966558,0.8651814,-0.9883572,0.8814718,-0.4490817,0.1107347,0.09524144
183,-0.8972351,0.8612435,-0.9967583,0.8816479,-0.4480616,0.1088801,0.100414
184,-0.8981541,0.8585489,-1.002156,0.8821,-0.4457049,0.1083346,0.1072867
185,-0.8990302,0.8556062,-1.007441,0.8833541,-0.4424358,0.1073922,0.1113685
186,-0.9019011,0.8501475,-1.017874,0.8858759,-0.4361496,0.1059029,0.1173972
187,-0.9044376,0.846024,-1.026048,0.8875814,-0.4329719,0.1060695,0.1161196
188,-0.9063139,0.8433814,-1.031451,0.88907,-0.4311999,0.1044065,0.1127854
189,-0.909362,0.8392875,-1.039104,0.8920165,-0.4278032,0.100195,0.1060745
190,-0.9128917,0.8349925,-1.046366,0.8955402,-0.4232152,0.09320818,0.1010396
191,-0.915503,0.8320048,-1.050968,0.8975753,-0.4198762,0.08838303,0.1012475
192,-0.9182852,0.8290081,-1.055593,0.8991485,-0.416546,0.08471873,0.1041349
193,-0.922501,0.8246156,-1.06231,0.9005807,-0.4125566,0.08191955,0.1097297
194,-0.925279,0.8218178,-1.066942,0.9012668,-0.4104553,0.0822417,0.1117183
195,-0.9303064,0.8163862,-1.076237,0.9033602,-0.4059923,0.08917125,0.1056361
196,-0.9326345,0.8137422,-1.080598,0.9054399,-0.4027505,0.0927785,0.09676173
197,-0.9364619,0.8093964,-1.086504,0.9098199,-0.3953797,0.09628122,0.08144093
198,-0.9410939,0.8047835,-1.091579,0.914915,-0.3861256,0.09648506,0.06729153
199,-0.9489382,0.7991844,-1.097323,0.9211452,-0.3744755,0.09043318,0.05551086
200,-0.9557388,0.7955683,-1.101304,0.9253178,-0.3665388,0.08443278,0.04803432
201,-0.9604151,0.7934427,-1.103649,0.927807,-0.3614385,0.08137523,0.04375535
202,-0.9702658,0.7901911,-1.107806,0.9314598,-0.354515,0.07353224,0.03598135
203,-0.9754267,0.7891084,-1.109835,0.9323397,-0.3535839,0.06856343,0.03194163
204,-0.9831401,0.7883319,-1.112826,0.9324297,-0.3552118,0.06142139,0.025039
205,-0.9905598,0.7878556,-1.115062,0.9321689,-0.3573869,0.05475326,0.01838081
206,-0.9954102,0.7876604,-1.11633,0.9316678,-0.3593407,0.0513684,0.01518831
207,-1.002575,0.787407,-1.117698,0.9305037,-0.363087,0.04738011,0.009268505
208,-1.009401,0.7869982,-1.118263,0.9302601,-0.3644318,0.04243028,-0.002309679
209,-1.016476,0.7860243,-1.117555,0.9322598,-0.3596543,0.03718479,-0.01256079
210,-1.021576,0.7851841,-1.116629,0.9341457,-0.3549071,0.03294904,-0.01808784
211,-1.032396,0.7841359,-1.114752,0.9368935,-0.3477165,0.01964157,-0.03062725
212,-1.037857,0.7842895,-1.113893,0.9372241,-0.3465119,0.0117695,-0.03744277
213,-1.046003,0.7853888,-1.112814,0.9362822,-0.3483127,0.0001726335,-0.04532147
214,-1.054015,0.7875969,-1.112153,0.9337859,-0.3544752,-0.01001274,-0.04786526
215,-1.059317,0.7893795,-1.111687,0.9316944,-0.3596229,-0.01705144,-0.04823029
216,-1.069779,0.7931647,-1.110537,0.9263369,-0.371945,-0.03217659,-0.05021528
217,-1.077437,0.7957401,-1.109128,0.923002,-0.3788444,-0.04355499,-0.05145057
218,-1.082354,0.7973475,-1.107942,0.9211519,-0.3822215,-0.05118328,-0.05259446
219,-1.089498,0.799702,-1.105734,0.9184952,-0.3865553,-0.06202409,-0.05562751
220,-1.094062,0.8011309,-1.103987,0.9170751,-0.3884071,-0.06909568,-0.05778299
221,-1.100772,0.8031346,-1.100839,0.9157748,-0.389006,-0.07940727,-0.06103467
222,-1.107065,0.8052247,-1.09729,0.9151937,-0.3876943,-0.08915354,-0.06453919
223,-1.112762,0.8078238,-1.09388,0.913708,-0.388838,-0.09700466,-0.06732662
224,-1.115855,0.8101112,-1.092028,0.9117563,-0.3921841,-0.1003512,-0.0694387
225,-1.120922,0.8155762,-1.089215,0.905553,-0.4039669,-0.1055114,-0.07517886
226,-1.124185,0.8198447,-1.08736,0.8998194,-0.4153529,-0.1084706,-0.07772458
227,-1.126224,0.8223839,-1.085891,0.8959244,-0.4224457,-0.1111479,-0.0806543
228,-1.12957,0.8255421,-1.083299,0.8911805,-0.4310874,-0.1155952,-0.08123226
229,-1.133248,0.827855,-1.079903,0.889106,-0.4345245,-0.1213739,-0.0771183
230,-1.135879,0.8289864,-1.077278,0.8884382,-0.4347002,-0.1272068,-0.07437579
231,-1.140636,0.8309693,-1.071534,0.8871844,-0.4351475,-0.1367675,-0.06960684
232,-1.142491,0.832042,-1.068758,0.8861002,-0.4370688,-0.1389285,-0.06705339
233,-1.144472,0.8339572,-1.064728,0.884129,-0.441644,-0.1387475,-0.06336801
234,-1.145642,0.8361217,-1.060825,0.8821142,-0.4465118,-0.1363752,-0.06247854
235,-1.146356,0.8380828,-1.05673,0.8797451,-0.4509369,-0.135058,-0.06681173
236,-1.14669,0.8392656,-1.053803,0.8786701,-0.4525397,-0.1346007,-0.07091834
237,-1.147449,0.8406347,-1.049115,0.8789026,-0.4524055,-0.1328576,-0.07216906
238,-1.14869,0.8417192,-1.043843,0.8801343,-0.4507775,-0.1310496,-0.07063453
239,-1.149664,0.8422729,-1.040277,0.8811603,-0.4488424,-0.131048,-0.07016792
240,-1.151168,0.8430393,-1.035124,0.8825779,-0.4459429,-0.1321549,-0.06874792
241,-1.152575,0.8440703,-1.030621,0.8827379,-0.4456596,-0.1332766,-0.06632306
242,-1.15242,0.8618261,-1.004069,0.8756446,-0.4648916,-0.1178144,-0.05693896
243,-1.152259,0.8622988,-1.003789,0.8755596,-0.4652238,-0.117219,-0.05676178
244,-1.152174,0.8626018,-1.003632,0.8755161,-0.4654203,-0.116827,-0.05663037
245,-1.151915,0.863403,-1.003148,0.8755672,-0.4656511,-0.1159884,-0.05565817
