Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.7343698,0.9988384,-1.631773,0.6245389,-0.3104945,0.6275894,0.3459421
1,-0.7328451,0.9984494,-1.632168,0.6241456,-0.3090526,0.6290166,0.3453504
2,-0.7308456,0.9980112,-1.632773,0.6232414,-0.3077258,0.6309377,0.3446631
3,-0.7296951,0.9979655,-1.633008,0.6229541,-0.3071906,0.6316332,0.3443859
4,-0.7296162,0.9979436,-1.633046,0.6228817,-0.3070047,0.6318664,0.3442547
5,-0.7296162,0.9979436,-1.633046,0.6228817,-0.3070047,0.6318664,0.3442547
6,-0.7296162,0.9979436,-1.633046,0.6228817,-0.3070047,0.6318664,0.3442547
7,-0.7296162,0.9979436,-1.633046,0.6228817,-0.3070047,0.6318664,0.3442547
8,-0.7296162,0.9979436,-1.633046,0.6228817,-0.3070047,0.6318664,0.3442547
9,-0.7296162,0.9979436,-1.633046,0.6228817,-0.3070047,0.6318664,0.3442547
10,-0.7296162,0.9979436,-1.633046,0.6228817,-0.3070047,0.6318664,0.3442547
11,-0.7296295,0.9979569,-1.632975,0.6227495,-0.30667,0.6320856,0.3443897
12,-0.7298343,0.9978675,-1.633016,0.6228062,-0.3065231,0.6321254,0.344345
13,-0.7304871,0.997717,-1.633178,0.6228552,-0.3067587,0.6320501,0.3441848
14,-0.7314919,0.9975326,-1.633538,0.623186,-0.3083547,0.6314113,0.3433313
15,-0.7329707,0.996856,-1.634421,0.6244833,-0.3106627,0.630272,0.3409786
16,-0.7332767,0.9965957,-1.634703,0.6248125,-0.3106695,0.6301604,0.3405756
17,-0.7340126,0.9954404,-1.635815,0.6267922,-0.3102947,0.6295367,0.3384263
18,-0.7345103,0.9937818,-1.637393,0.6295896,-0.3089464,0.6288406,0.3357509
19,-0.7339526,0.9911648,-1.640121,0.6301801,-0.3016808,0.630707,0.3377432
20,-0.7315505,0.990481,-1.641262,0.6276743,-0.2958671,0.6341668,0.3410573
21,-0.7277513,0.9898201,-1.64307,0.6226208,-0.2871994,0.6405672,0.3457359
22,-0.7252933,0.9897076,-1.644332,0.6193792,-0.2833924,0.6443265,0.3477091
23,-0.7202297,0.9900761,-1.64663,0.6149929,-0.2820941,0.6497601,0.3464369
24,-0.7176176,0.9905225,-1.647759,0.6132247,-0.2833082,0.6520538,0.3442639
25,-0.7136819,0.9914978,-1.649238,0.6103554,-0.2873869,0.654987,0.3403925
26,-0.7096081,0.9928901,-1.650468,0.6073275,-0.2926955,0.657559,0.3363017
27,-0.7066876,0.9938228,-1.651049,0.605209,-0.2953524,0.6597065,0.333581
28,-0.7002091,0.9958448,-1.651311,0.6023682,-0.2977253,0.6626001,0.3308675
29,-0.6966903,0.9970104,-1.650662,0.6024228,-0.2980961,0.6624141,0.3308067
30,-0.6915727,0.9989129,-1.649014,0.602681,-0.2970769,0.6608412,0.3343796
31,-0.6868581,1.001105,-1.646383,0.6010634,-0.2934645,0.6596431,0.3427424
32,-0.6824274,1.003776,-1.643858,0.5988301,-0.2924311,0.658965,0.348786
33,-0.6796386,1.005777,-1.642261,0.5971292,-0.2943052,0.6591099,0.3498504
34,-0.6756353,1.009174,-1.639845,0.5944818,-0.3003442,0.6590641,0.3493126
35,-0.6716654,1.012756,-1.636834,0.5926518,-0.3084426,0.6584942,0.3464279
36,-0.6691167,1.015005,-1.63441,0.5922725,-0.3139996,0.6575435,0.3438811
37,-0.6648586,1.018136,-1.629868,0.5936738,-0.3200023,0.6553066,0.3401811
38,-0.6603807,1.020955,-1.624303,0.5969671,-0.3231806,0.6519373,0.3378791
39,-0.6573998,1.022919,-1.61998,0.5989918,-0.3245204,0.6497657,0.3371943
40,-0.6532722,1.02595,-1.613384,0.6007957,-0.3278218,0.6474822,0.3351779
41,-0.6506586,1.027969,-1.608805,0.6016363,-0.3307444,0.646162,0.3333414
42,-0.6470903,1.031279,-1.601459,0.603836,-0.3367631,0.6421878,0.3310099
43,-0.643754,1.034676,-1.593118,0.6077944,-0.3414752,0.635924,0.3310307
44,-0.6398913,1.039425,-1.58063,0.6119912,-0.3450768,0.6269565,0.3366219
45,-0.6372119,1.042492,-1.570985,0.6149276,-0.3481433,0.6214172,0.3383797
46,-0.6343453,1.045283,-1.56138,0.6199895,-0.3517357,0.6157164,0.3358397
47,-0.6324235,1.046932,-1.554757,0.6244708,-0.3539601,0.611646,0.3326223
48,-0.6299462,1.049278,-1.54471,0.6304246,-0.3571526,0.606531,0.3273026
49,-0.628258,1.051513,-1.534383,0.6358768,-0.3607798,0.6014538,0.3221053
50,-0.6273586,1.053505,-1.523763,0.6420316,-0.36634,0.5948142,0.31589
51,-0.6271154,1.055181,-1.512877,0.6485347,-0.3714258,0.5878947,0.3095571
52,-0.6272871,1.056233,-1.505409,0.6532215,-0.3733886,0.5830708,0.3064491
53,-0.6283414,1.057809,-1.493592,0.6605335,-0.3746823,0.5744177,0.3055373
54,-0.6300921,1.059339,-1.481372,0.6682116,-0.375423,0.5638796,0.3075558
55,-0.6328495,1.060772,-1.469187,0.6750283,-0.3765875,0.5526996,0.3115152
