Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.8985799,0.917731,-1.028735,0.8788248,-0.4721558,0.05622169,0.03968525
1,-0.8985615,0.9178371,-1.028595,0.8787578,-0.4723301,0.0559511,0.03947649
2,-0.8985879,0.9179128,-1.028513,0.8787202,-0.4724016,0.05605779,0.03930854
3,-0.8984955,0.9179624,-1.028443,0.8785604,-0.4726739,0.05636715,0.03916308
4,-0.8985971,0.9178674,-1.028443,0.8784582,-0.4728605,0.05649653,0.03901631
5,-0.8985127,0.9178363,-1.028443,0.8783531,-0.4730314,0.0567871,0.03889065
6,-0.8985198,0.9178278,-1.02842,0.8783885,-0.472972,0.05672738,0.03890004
7,-0.8984395,0.9177775,-1.02801,0.878511,-0.4727257,0.05698683,0.03874843
8,-0.8984443,0.9177667,-1.02801,0.8785233,-0.4726922,0.05703676,0.03880377
9,-0.8983916,0.9174221,-1.027187,0.878969,-0.471877,0.05697258,0.03872516
10,-0.8984299,0.9172896,-1.02696,0.8790992,-0.4716721,0.05682632,0.03848101
11,-0.8983545,0.9170712,-1.026464,0.8793727,-0.4712179,0.05671253,0.03796151
12,-0.89826,0.9169025,-1.026386,0.8793742,-0.4712063,0.05675495,0.03800682
13,-0.89826,0.9169025,-1.026386,0.8793742,-0.4712063,0.05675495,0.03800682
14,-0.89826,0.9169025,-1.026386,0.8793742,-0.4712063,0.05675495,0.03800682
15,-0.89826,0.9169025,-1.026386,0.8793742,-0.4712063,0.05675495,0.03800682
16,-0.89826,0.9169025,-1.026386,0.8793742,-0.4712063,0.05675495,0.03800682
17,-0.89826,0.9169025,-1.026386,0.8793742,-0.4712063,0.05675495,0.03800682
18,-0.89826,0.9169025,-1.026386,0.8793742,-0.4712063,0.05675495,0.03800682
19,-0.8982814,0.9169106,-1.02633,0.8793909,-0.4711757,0.05674694,0.03801251
20,-0.8983518,0.9168561,-1.02653,0.8793659,-0.4712665,0.0566618,0.03758953
21,-0.8983678,0.9169726,-1.02669,0.8793342,-0.4712607,0.05707907,0.03777124
22,-0.8983293,0.9170402,-1.026829,0.8792933,-0.4712638,0.05763089,0.03784849
23,-0.8982831,0.9171015,-1.027026,0.8791132,-0.4715612,0.05803246,0.0377134
24,-0.8983049,0.9172086,-1.027452,0.8787766,-0.4722332,0.05808751,0.03705874
25,-0.8983399,0.9173074,-1.027848,0.8785135,-0.4728255,0.05790651,0.03601322
26,-0.8984229,0.917392,-1.028264,0.8782664,-0.4732802,0.05789171,0.03609114
27,-0.8986327,0.9174163,-1.028938,0.8783802,-0.4728848,0.05844122,0.03758775
28,-0.899262,0.9169426,-1.028638,0.879172,-0.4712504,0.05758614,0.0407861
29,-0.8995766,0.916653,-1.02838,0.879642,-0.4704125,0.05664549,0.04163349
30,-0.9000247,0.9161509,-1.028043,0.8801457,-0.4697646,0.05425226,0.04148954
31,-0.9001946,0.9159586,-1.027988,0.8801974,-0.4696819,0.05389249,0.04179745
32,-0.9000917,0.9156718,-1.027962,0.8801441,-0.46958,0.05522019,0.04232848
33,-0.8998214,0.915352,-1.027873,0.8800218,-0.4697434,0.05629758,0.0416351
34,-0.8994388,0.9150001,-1.027718,0.8797603,-0.470198,0.05691266,0.04119055
