Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.9686525,0.954175,-1.08995,0.9017027,-0.431673,-0.0070209,-0.02326649
1,-0.9685172,0.9539165,-1.089734,0.9018427,-0.4313858,-0.006990058,-0.0231789
2,-0.9682087,0.9532773,-1.088998,0.9022661,-0.4305032,-0.00716377,-0.02305546
3,-0.9680795,0.9529953,-1.088635,0.9024653,-0.4300863,-0.007286483,-0.02300143
4,-0.9677724,0.9523852,-1.087494,0.9030735,-0.4288096,-0.007535803,-0.02288713
5,-0.9675083,0.9519534,-1.08649,0.9040712,-0.4267579,-0.006304078,-0.02221042
6,-0.9676301,0.9521543,-1.086827,0.9033959,-0.4281456,-0.007337431,-0.0226581
7,-0.9676301,0.9521543,-1.086827,0.9033959,-0.4281456,-0.007337431,-0.0226581
8,-0.9676301,0.9521543,-1.086827,0.9033959,-0.4281456,-0.007337431,-0.0226581
9,-0.9676301,0.9521543,-1.086827,0.9033959,-0.4281456,-0.007337431,-0.0226581
10,-0.9676301,0.9521543,-1.086827,0.9033959,-0.4281456,-0.007337431,-0.0226581
11,-0.9676301,0.9521543,-1.086827,0.9033959,-0.4281456,-0.007337431,-0.0226581
12,-0.9676301,0.9521543,-1.086827,0.9033959,-0.4281456,-0.007337431,-0.0226581
13,-0.967677,0.9522197,-1.086845,0.9036884,-0.4275445,-0.00693441,-0.02246923
14,-0.9676007,0.9521177,-1.086988,0.9037179,-0.4274743,-0.006985793,-0.02260411
15,-0.9675208,0.9518592,-1.087257,0.9038328,-0.427242,-0.006857701,-0.02244103
16,-0.9674174,0.9515454,-1.08757,0.9041463,-0.4266098,-0.006536178,-0.02192683
17,-0.9672545,0.9511375,-1.088087,0.90446,-0.4259862,-0.006304078,-0.02117313
18,-0.9670162,0.9507099,-1.088726,0.9047765,-0.4253367,-0.00641305,-0.02066561
19,-0.9665856,0.9501523,-1.089349,0.9052215,-0.4243801,-0.006346482,-0.02086546
20,-0.9661918,0.9498059,-1.089805,0.905368,-0.4240396,-0.006188375,-0.02146842
21,-0.9652613,0.9492238,-1.090458,0.9057085,-0.4232562,-0.006040939,-0.02257839
22,-0.9646393,0.9491577,-1.089335,0.9058048,-0.4230199,-0.006388606,-0.02304415
23,-0.9643236,0.9492174,-1.088345,0.9058543,-0.422904,-0.006614364,-0.02315993
24,-0.963701,0.9493723,-1.086874,0.9058413,-0.4229379,-0.006034769,-0.02320877
