Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.8913248,0.8957089,-0.9980997,0.9041695,-0.4255326,0.01261702,0.03521829
1,-0.8907009,0.8951135,-0.9975664,0.9044977,-0.4249049,0.01360578,0.03397921
2,-0.8892229,0.8937142,-0.995952,0.9052649,-0.4233231,0.01621928,0.03209497
3,-0.8892906,0.8937488,-0.9958335,0.9052532,-0.4233492,0.01617005,0.03210449
4,-0.8879489,0.8926651,-0.9940799,0.9056602,-0.4224249,0.01836661,0.03161598
5,-0.8866493,0.8918347,-0.9918652,0.9059657,-0.421645,0.02074872,0.03179809
6,-0.8862577,0.8917176,-0.9911976,0.9060472,-0.421427,0.02155466,0.0318304
7,-0.8849947,0.8913904,-0.9884209,0.9060819,-0.4212834,0.02395286,0.03101859
8,-0.8849766,0.8913652,-0.9883198,0.9061826,-0.4210549,0.02410634,0.03106204
9,-0.8849766,0.8913652,-0.9883198,0.9061826,-0.4210549,0.02410634,0.03106204
10,-0.8849766,0.8913652,-0.9883198,0.9061826,-0.4210549,0.02410634,0.03106204
11,-0.8849766,0.8913652,-0.9883198,0.9061826,-0.4210549,0.02410634,0.03106204
12,-0.8849766,0.8913652,-0.9883198,0.9061826,-0.4210549,0.02410634,0.03106204
13,-0.8849766,0.8913652,-0.9883198,0.9061826,-0.4210549,0.02410634,0.03106204
14,-0.8849766,0.8913652,-0.9883198,0.9061826,-0.4210549,0.02410634,0.03106204
15,-0.8849643,0.8913549,-0.988497,0.90609,-0.4212551,0.02398456,0.03114133
16,-0.8848077,0.8911058,-0.988818,0.9062005,-0.4209523,0.02437222,0.03171597
17,-0.8845698,0.8906975,-0.9893779,0.9064801,-0.4203581,0.02436824,0.03160938
18,-0.8842883,0.8903452,-0.9899926,0.9067979,-0.4197201,0.02422903,0.03107403
19,-0.883512,0.8894494,-0.991554,0.9076853,-0.4179925,0.02387154,0.02863167
20,-0.882841,0.8889934,-0.9926813,0.9079561,-0.4175994,0.02362337,0.02585327
21,-0.8812765,0.8881912,-0.9945685,0.9085525,-0.4165894,0.02420381,0.01999495
22,-0.8790978,0.8872844,-0.996628,0.9091471,-0.4152443,0.02762271,0.01614239
23,-0.876466,0.8862818,-0.9987235,0.9098688,-0.4133229,0.0326122,0.01547262
24,-0.8751338,0.8864217,-0.997247,0.9094602,-0.4138953,0.03564119,0.01739063
25,-0.8734229,0.8870237,-0.9947005,0.9080927,-0.4165275,0.03802368,0.02065551
26,-0.8722257,0.8878881,-0.9917588,0.906674,-0.419267,0.03909015,0.02508627
27,-0.8714175,0.8884692,-0.9895381,0.9059281,-0.4206806,0.03980971,0.02715372
28,-0.8703641,0.8896543,-0.9861455,0.9044639,-0.4234232,0.04157816,0.03048142
29,-0.8695006,0.8909844,-0.9821286,0.9032566,-0.4256565,0.04332499,0.03266493
30,-0.8689094,0.8923175,-0.9774787,0.902616,-0.4268805,0.04451401,0.03280172
31,-0.8687719,0.8936971,-0.9722862,0.9022263,-0.4277119,0.04495769,0.03207919
32,-0.8688737,0.8951058,-0.9667477,0.9019918,-0.4282435,0.04547492,0.03082487
33,-0.8691578,0.896843,-0.9610151,0.9012303,-0.4301282,0.04450899,0.02815461
34,-0.8695866,0.898137,-0.9571236,0.9003708,-0.4319922,0.04433439,0.02737942
35,-0.8705527,0.9002651,-0.9511249,0.8982745,-0.4361542,0.04507982,0.02898547
36,-0.8720827,0.9026586,-0.945023,0.895166,-0.4422227,0.04547852,0.0323804
37,-0.8742356,0.9050131,-0.9385158,0.8924003,-0.4476294,0.04509982,0.0348662
38,-0.8759288,0.9065063,-0.9337038,0.8915629,-0.4493825,0.04406992,0.03505225
39,-0.8787678,0.9083339,-0.9258381,0.8923381,-0.448413,0.04061788,0.03175917
40,-0.8821028,0.9100032,-0.9174976,0.8937823,-0.4462157,0.03618041,0.02712462
41,-0.8858557,0.9118187,-0.9091129,0.8943746,-0.4456291,0.03189471,0.02217114
42,-0.8899165,0.9140089,-0.9010111,0.8936034,-0.4474179,0.02976614,0.02010124
