Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.8933939,1.164599,-0.1733912,0.8830613,-0.4653269,-0.0305749,0.05233372
1,-0.8933673,1.164587,-0.1733916,0.8830901,-0.465287,-0.03058732,0.0521933
2,-0.8919821,1.162563,-0.1709719,0.8835823,-0.4642959,-0.02721757,0.05450545
3,-0.8913264,1.161907,-0.1695226,0.8845252,-0.4625815,-0.0254589,0.05463775
4,-0.8913206,1.16191,-0.1696408,0.8844919,-0.4626384,-0.02539063,0.05472727
5,-0.8913206,1.16191,-0.1696408,0.8844919,-0.4626384,-0.02539063,0.05472727
6,-0.8913206,1.16191,-0.1696408,0.8844919,-0.4626384,-0.02539063,0.05472727
7,-0.8913206,1.16191,-0.1696408,0.8844919,-0.4626384,-0.02539063,0.05472727
8,-0.8913206,1.16191,-0.1696408,0.8844919,-0.4626384,-0.02539063,0.05472727
9,-0.8913206,1.16191,-0.1696408,0.8844919,-0.4626384,-0.02539063,0.05472727
10,-0.8913206,1.16191,-0.1696408,0.8844919,-0.4626384,-0.02539063,0.05472727
11,-0.8913841,1.161893,-0.1699703,0.8838916,-0.4637645,-0.02646478,0.05438558
12,-0.8913345,1.161655,-0.1704295,0.8841236,-0.4632481,-0.0260668,0.0552013
13,-0.8913486,1.161374,-0.1711509,0.8840268,-0.4633366,-0.02619482,0.05594284
14,-0.8911436,1.160735,-0.172516,0.8841591,-0.463156,-0.02661553,0.05514296
15,-0.8904729,1.159828,-0.1742542,0.8850836,-0.4617848,-0.02695516,0.05152958
16,-0.8892394,1.158645,-0.1763054,0.8866937,-0.4592961,-0.02756493,0.04540408
17,-0.8877398,1.157225,-0.1787126,0.8883699,-0.4564,-0.02854697,0.04102562
18,-0.8866546,1.15621,-0.1804914,0.8890111,-0.4550864,-0.02856471,0.0417093
19,-0.8841733,1.154205,-0.183429,0.889526,-0.4534239,-0.02679826,0.0493161
20,-0.8828952,1.153894,-0.1817876,0.8893246,-0.453551,-0.02541585,0.05241552
21,-0.8809284,1.153678,-0.1788151,0.888538,-0.4549439,-0.02358517,0.05449725
22,-0.8791554,1.153468,-0.1750071,0.8877639,-0.4559548,-0.02173914,0.05922801
23,-0.8779931,1.153399,-0.17205,0.8877238,-0.455726,-0.0200106,0.06212743
24,-0.8762091,1.153335,-0.1666304,0.8882135,-0.4546731,-0.01684349,0.06376079
25,-0.8743001,1.15333,-0.1606584,0.8895395,-0.4526217,-0.01421163,0.06042419
26,-0.8720391,1.1535,-0.1541384,0.8914841,-0.4497078,-0.01076574,0.05387963
27,-0.8701522,1.154259,-0.1475108,0.8914953,-0.449987,-0.005448221,0.05213588
28,-0.8684958,1.155409,-0.1410489,0.8897777,-0.4531243,0.004076125,0.0543827
29,-0.8675302,1.156611,-0.1367316,0.8882643,-0.455885,0.01097208,0.05509078
30,-0.8667295,1.1593,-0.1274917,0.8853452,-0.4607868,0.02203766,0.05791281
31,-0.867293,1.160623,-0.1221079,0.8845012,-0.462035,0.02474025,0.05974316
32,-0.8691965,1.162753,-0.1133921,0.8841869,-0.4626551,0.02343527,0.06012195
33,-0.8718957,1.164937,-0.1045525,0.8842883,-0.4628032,0.01888819,0.05908304
34,-0.8738275,1.166496,-0.09845805,0.8843064,-0.4631673,0.01603866,0.05675298
35,-0.8772278,1.16903,-0.08929467,0.8836278,-0.4644732,0.01335039,0.05734382
36,-0.8814886,1.171363,-0.08064663,0.8818385,-0.4668134,0.01112114,0.06574571
37,-0.8848014,1.172901,-0.07494342,0.880681,-0.4678964,0.009852217,0.07332657
38,-0.890321,1.175148,-0.06647801,0.8790371,-0.4696191,0.00756048,0.0818199
39,-0.8981386,1.17838,-0.05599964,0.8769187,-0.4736608,0.005434528,0.08142209
40,-0.904134,1.180966,-0.0482887,0.8768553,-0.475185,0.006018698,0.07271713
41,-0.9061403,1.181854,-0.04559469,0.8772947,-0.474967,0.006477783,0.06869056
42,-0.9152613,1.185297,-0.03488207,0.8794606,-0.4724974,0.009054623,0.05668717
43,-0.9208515,1.187011,-0.02972317,0.8804515,-0.4708443,0.009273327,0.0549982
44,-0.930568,1.189777,-0.02247596,0.8815846,-0.4690007,0.005493164,0.05307195
45,-0.9417328,1.192798,-0.01626408,0.8821955,-0.4683639,-0.003295898,0.04853473
46,-0.9534732,1.196091,-0.01120543,0.882292,-0.4688473,-0.0153978,0.03880511
47,-0.961391,1.198453,-0.008459568,0.8821377,-0.4691893,-0.02294759,0.03417554
48,-0.9777064,1.203353,-0.004266739,0.8810692,-0.4706913,-0.03436447,0.0313989
49,-0.9855437,1.206146,-0.002868414,0.8801335,-0.4722631,-0.03880857,0.02874931
50,-0.9972687,1.210603,-0.001858592,0.8774126,-0.4770458,-0.04597888,0.02145661
51,-1.008758,1.215047,-0.001936197,0.8743505,-0.4824089,-0.05122359,0.01300149
52,-1.020135,1.219278,-0.002513885,0.871606,-0.4868921,-0.05678605,0.003803818
53,-1.031652,1.223081,-0.003745198,0.8694756,-0.4896822,-0.06476518,-0.005384948
54,-1.039406,1.225406,-0.004792809,0.8684221,-0.4906733,-0.07040283,-0.01123511
55,-1.0509,1.228471,-0.006979704,0.8666029,-0.4922371,-0.0796124,-0.01907541
56,-1.065782,1.231944,-0.01145887,0.8627752,-0.4962984,-0.09262121,-0.02698334
57,-1.072928,1.233483,-0.01406193,0.8610046,-0.4981692,-0.09790762,-0.03021012
58,-1.083087,1.235694,-0.01847529,0.858574,-0.5008699,-0.1036249,-0.03524039
59,-1.089433,1.236913,-0.02166033,0.8566759,-0.5031854,-0.1063806,-0.03992623
60,-1.101555,1.238586,-0.0282017,0.8542231,-0.5052084,-0.1107473,-0.05293807
