Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.042349,1.3869,-0.9112436,0.2030896,0.5253772,-0.3617502,-0.7428796
1,-1.042889,1.386492,-0.9109879,0.2027789,0.5266091,-0.3594395,-0.7432139
2,-1.043145,1.386336,-0.9108164,0.2029051,0.5270847,-0.3583067,-0.7433892
3,-1.043396,1.386185,-0.9106712,0.2031617,0.5275312,-0.3573468,-0.7434645
4,-1.044014,1.38587,-0.9103516,0.2043045,0.5283861,-0.3554675,-0.7434451
5,-1.044367,1.385661,-0.9101136,0.2049496,0.5289067,-0.3545301,-0.743345
6,-1.044349,1.385483,-0.9098369,0.2050602,0.5290161,-0.3540913,-0.7434459
7,-1.04478,1.385252,-0.9094212,0.2056064,0.5291929,-0.3529292,-0.7437216
8,-1.044916,1.38508,-0.9089254,0.20571,0.5286261,-0.3519534,-0.744558
9,-1.045005,1.385149,-0.908596,0.2061953,0.5275083,-0.3514995,-0.7454305
10,-1.044871,1.385168,-0.9079747,0.20686,0.5259857,-0.3508637,-0.7466208
11,-1.04478,1.38527,-0.9077929,0.2073897,0.5252017,-0.3504693,-0.7472108
12,-1.044446,1.385561,-0.9073836,0.2085389,0.5234572,-0.3491926,-0.7487113
13,-1.044152,1.385364,-0.9073005,0.2084124,0.5233798,-0.3487556,-0.7490042
20,-1.044321,1.385084,-0.9072843,0.2085188,0.523007,-0.3491557,-0.7490487
21,-1.044478,1.384898,-0.9071747,0.2083212,0.5225734,-0.3498324,-0.7490905
22,-1.044794,1.384627,-0.9071009,0.2071619,0.5224857,-0.3510696,-0.7488944
23,-1.04592,1.383031,-0.9068996,0.2056615,0.5231111,-0.3543833,-0.7473089
24,-1.046857,1.381757,-0.9066113,0.206474,0.5227954,-0.3558308,-0.7466176
25,-1.048814,1.37897,-0.9059046,0.2081781,0.5219303,-0.3581288,-0.7456503
26,-1.05229,1.373921,-0.904778,0.2074495,0.5206115,-0.3626627,-0.7445832
27,-1.053402,1.372481,-0.9046459,0.2066954,0.5200473,-0.3645372,-0.7442718
28,-1.058797,1.366083,-0.9043059,0.1996009,0.5196257,-0.3726285,-0.7424935
29,-1.060094,1.363638,-0.9044879,0.1970302,0.519675,-0.3716713,-0.7436245
30,-1.060818,1.362037,-0.9044046,0.2011415,0.5149612,-0.3727057,-0.7452835
31,-1.06155,1.359924,-0.9040303,0.2131023,0.5058868,-0.3739513,-0.747547
32,-1.061788,1.357716,-0.9038475,0.2246883,0.5007321,-0.3733388,-0.7479309
33,-1.062508,1.356191,-0.9041706,0.2336887,0.4987132,-0.3697345,-0.7483122
34,-1.062624,1.355171,-0.9042245,0.2430839,0.4972405,-0.3657943,-0.7482357
35,-1.062141,1.354117,-0.9040316,0.2602634,0.4931204,-0.3573976,-0.7492411
36,-1.061367,1.35443,-0.9037759,0.2691219,0.4906815,-0.3471472,-0.752525
37,-1.057666,1.352706,-0.9012314,0.2729491,0.4886363,-0.3414447,-0.755082
38,-1.055864,1.355841,-0.9010259,0.2765399,0.4853566,-0.3307316,-0.7606387
39,-1.053172,1.36146,-0.900912,0.2659048,0.4852908,-0.307328,-0.7741686
40,-1.051418,1.365214,-0.9011295,0.2621657,0.4829812,-0.2963143,-0.7811505
41,-1.048137,1.372395,-0.9014353,0.2629632,0.4758426,-0.2812836,-0.7907615
42,-1.044211,1.380305,-0.9023195,0.264636,0.4697708,-0.2609962,-0.8007272
43,-1.041278,1.386299,-0.903614,0.2664969,0.4674511,-0.2456308,-0.8063092
44,-1.036778,1.396286,-0.9065706,0.2680823,0.4721579,-0.2182176,-0.810913
45,-1.030473,1.40582,-0.9111347,0.2683836,0.4846148,-0.1845312,-0.8118294
46,-1.023071,1.417616,-0.9171014,0.2617995,0.4988354,-0.1504595,-0.8123953
47,-1.013966,1.43175,-0.9244388,0.2545702,0.5125416,-0.121544,-0.8110008
48,-1.006505,1.443145,-0.9293444,0.2505699,0.5220779,-0.1056005,-0.8083922
49,-0.9980069,1.45496,-0.9348779,0.2458665,0.53348,-0.08880206,-0.8044022
50,-0.983938,1.474612,-0.9439405,0.2330884,0.5559711,-0.0632478,-0.7953399
51,-0.9676287,1.496986,-0.9532589,0.2159999,0.5850297,-0.03991802,-0.7806989
