Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.9553285,1.058437,-2.122625,0.3067001,0.8772514,-0.07157943,-0.3622725
1,-0.9544133,1.059209,-2.122302,0.3057122,0.8782791,-0.07269971,-0.3603895
2,-0.9542463,1.059603,-2.122475,0.3048652,0.8792725,-0.07301132,-0.3586174
3,-0.9541511,1.059652,-2.122532,0.304347,0.8796615,-0.07319782,-0.3580652
4,-0.9527321,1.060762,-2.121778,0.3033539,0.8817355,-0.07290756,-0.353841
5,-0.9511483,1.061835,-2.120748,0.3032383,0.8830858,-0.07249384,-0.3506432
6,-0.9479527,1.063743,-2.117656,0.3029351,0.8846928,-0.07195328,-0.3469464
7,-0.9466491,1.065048,-2.116952,0.3018802,0.8870717,-0.07209965,-0.341722
8,-0.9466497,1.065027,-2.116919,0.301982,0.8870166,-0.07200296,-0.3417954
14,-0.9466497,1.065027,-2.116919,0.301982,0.8870166,-0.07200296,-0.3417954
15,-0.9480097,1.064441,-2.118172,0.301622,0.8870065,-0.07194924,-0.3421507
16,-0.9492693,1.063318,-2.119969,0.3007359,0.8872989,-0.07162792,-0.3422398
17,-0.9492768,1.062805,-2.120426,0.3003008,0.8875187,-0.07122706,-0.3421355
18,-0.9493195,1.06213,-2.121059,0.2998354,0.8876944,-0.07085285,-0.3421657
19,-0.949013,1.060956,-2.121617,0.2985545,0.887952,-0.07050868,-0.3426878
20,-0.949388,1.059132,-2.123086,0.2996075,0.886692,-0.07073835,-0.3449762
21,-0.9499692,1.056766,-2.124647,0.3023601,0.8838755,-0.07258464,-0.3493909
22,-0.93222,1.062822,-2.105708,0.3060004,0.8805557,-0.07471561,-0.3541229
23,-0.9331529,1.058423,-2.108234,0.3117754,0.8750693,-0.07755885,-0.3619869
24,-0.9321985,1.058021,-2.107968,0.3135003,0.8743291,-0.07623865,-0.3625655
25,-0.9266101,1.061006,-2.102639,0.3150011,0.876708,-0.07363552,-0.3559989
26,-0.9247118,1.062312,-2.101226,0.3153379,0.8786904,-0.0723289,-0.3510466
27,-0.9207982,1.064778,-2.098248,0.317336,0.8811789,-0.07109986,-0.3431711
28,-0.9177452,1.066848,-2.096311,0.3190911,0.885791,-0.0690235,-0.3298346
29,-0.9139997,1.069595,-2.093529,0.3177179,0.8914627,-0.06476989,-0.3164718
30,-0.910705,1.072986,-2.090601,0.3177778,0.8958477,-0.06189844,-0.3043727
31,-0.9060621,1.078031,-2.085145,0.3151174,0.8999786,-0.0608519,-0.2950195
32,-0.9039243,1.081784,-2.082189,0.3132463,0.9026965,-0.05978044,-0.2888634
33,-0.9018565,1.089581,-2.077505,0.3086137,0.9085359,-0.06046092,-0.2750721
34,-0.9000422,1.09441,-2.073736,0.307355,0.9104047,-0.06068687,-0.2702096
35,-0.898208,1.099417,-2.069672,0.3059421,0.9122624,-0.06076466,-0.2654888
36,-0.8956057,1.107235,-2.063583,0.3035741,0.9151422,-0.06208089,-0.2578827
37,-0.8918208,1.115788,-2.055266,0.3025565,0.9170658,-0.0673212,-0.250834
38,-0.8882461,1.126632,-2.044904,0.3040297,0.9184551,-0.07467122,-0.2417239
39,-0.8888816,1.131229,-2.042041,0.3048854,0.9188727,-0.0763289,-0.2385199
40,-0.8869201,1.137182,-2.036668,0.3033304,0.9204545,-0.07674146,-0.2342326
41,-0.8847252,1.146988,-2.029193,0.2990756,0.9235838,-0.07778916,-0.2269263
42,-0.8833716,1.157421,-2.022645,0.2901031,0.9281418,-0.07910853,-0.2193967
43,-0.8814098,1.16846,-2.015719,0.2757859,0.9346823,-0.07965001,-0.2096835
44,-0.8799114,1.17605,-2.010603,0.268473,0.9386171,-0.08084852,-0.2009568
45,-0.8789328,1.190098,-2.002999,0.2549936,0.9466323,-0.07757566,-0.181239
46,-0.8764839,1.201804,-1.995194,0.241009,0.9534864,-0.07109074,-0.1665067
47,-0.8741623,1.214011,-1.986924,0.2235918,0.9599931,-0.0668845,-0.1547466
48,-0.8727178,1.222013,-1.980922,0.2143408,0.9631878,-0.06634361,-0.1480737
49,-0.8725594,1.232943,-1.972966,0.2069376,0.965826,-0.07070253,-0.1391336
50,-0.8712769,1.245029,-1.96152,0.2061952,0.96642,-0.07690817,-0.132669
51,-0.8686352,1.258859,-1.947982,0.1978374,0.9684192,-0.08079257,-0.1284416
52,-0.8678463,1.273687,-1.936842,0.1732433,0.9732463,-0.08127032,-0.1271752
53,-0.867456,1.283844,-1.929099,0.1554804,0.9764246,-0.08053552,-0.1262339
54,-0.8677775,1.297261,-1.917583,0.1373145,0.9797904,-0.07913923,-0.1220347
55,-0.8661945,1.305008,-1.90789,0.132442,0.9812458,-0.07809725,-0.1162614
56,-0.8635355,1.319505,-1.888638,0.1285304,0.9829527,-0.08411548,-0.1010371
57,-0.8626505,1.327102,-1.878727,0.1240661,0.9833769,-0.09263793,-0.09484588
58,-0.8616765,1.339552,-1.863922,0.1109674,0.9849974,-0.100262,-0.08610397
59,-0.8603398,1.35308,-1.849079,0.08736961,0.9884577,-0.09817065,-0.0753687
60,-0.8587353,1.366687,-1.834996,0.05957644,0.9923391,-0.0894179,-0.06097788
61,-0.8572779,1.378853,-1.818958,0.0379189,0.994623,-0.08471662,-0.04593835
62,-0.8566843,1.390389,-1.802179,0.02282454,0.9954928,-0.08570562,-0.03358043
63,-0.8582023,1.401254,-1.785489,0.006407238,0.9951951,-0.09326899,-0.02909502
64,-0.8592155,1.409563,-1.773766,0.007459285,-0.9948232,0.09665888,0.03046822
65,-0.8606333,1.418065,-1.761802,0.02244999,-0.9944472,0.09697386,0.03415985
66,-0.864167,1.434988,-1.738381,0.05686918,-0.993207,0.09215678,0.04257665
67,-0.8660613,1.442508,-1.726439,0.07231891,-0.9923074,0.09024926,0.04417175
68,-0.8683319,1.452774,-1.707778,0.09199073,-0.9905524,0.09185895,0.04365221
69,-0.8700735,1.4615,-1.688311,0.1067635,-0.9887359,0.09633653,0.04150049
70,-0.8736814,1.468886,-1.671124,0.1209698,-0.9866542,0.1016592,0.03930835
71,-0.8762302,1.476124,-1.652981,0.1345107,-0.9849167,0.1023019,0.03715272
72,-0.8799348,1.483154,-1.636037,0.1493282,-0.9831724,0.0985605,0.03686382
73,-0.8818938,1.488577,-1.623314,0.1625556,-0.9814101,0.09497949,0.03726485
74,-0.8851416,1.497466,-1.604076,0.1899634,-0.9766935,0.09193134,0.03914367
75,-0.8895109,1.506075,-1.585818,0.2192397,-0.9705164,0.09191246,0.03979735
76,-0.8928001,1.512889,-1.566719,0.2430913,-0.9646708,0.09382658,0.03890233
77,-0.8951292,1.516148,-1.554315,0.2540497,-0.9617388,0.09480715,0.03910044
78,-0.8999895,1.519221,-1.537935,0.2643691,-0.9588535,0.09463953,0.04186175
79,-0.9035292,1.52217,-1.519709,0.272644,-0.9566549,0.09204943,0.04476104
80,-0.9070625,1.52521,-1.502483,0.2882001,-0.9528131,0.08483184,0.04349114
