Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.8864653,1.060438,-1.730098,0.03950177,-0.9719317,0.1310549,0.1913454
1,-0.8863438,1.060204,-1.730426,0.03893794,-0.9721059,0.1312196,0.190461
2,-0.8861405,1.059733,-1.731133,0.03799427,-0.9724723,0.1315096,0.1885719
3,-0.8863443,1.059411,-1.731487,0.03794384,-0.9725485,0.1313837,0.1882762
4,-0.8862416,1.05931,-1.731625,0.03800859,-0.9726779,0.1312725,0.1876714
5,-0.8859427,1.059114,-1.732162,0.03801094,-0.9728959,0.1310464,0.1866968
6,-0.8861511,1.058858,-1.732534,0.03806343,-0.973058,0.1306418,0.1861235
7,-0.8861023,1.058746,-1.732531,0.03809865,-0.9731933,0.1303958,0.1855806
8,-0.8860975,1.058682,-1.732491,0.03790003,-0.9732886,0.1302961,0.1851912
16,-0.8863064,1.05839,-1.732888,0.03789177,-0.9732828,0.1302383,0.1852641
17,-0.8862302,1.058274,-1.733071,0.03769602,-0.9731964,0.1306281,0.1854835
18,-0.8863522,1.057802,-1.733367,0.03778683,-0.9731683,0.1303061,0.1858385
19,-0.8863168,1.05762,-1.733482,0.03835883,-0.9730372,0.130126,0.1865324
20,-0.8863394,1.0573,-1.733791,0.03997891,-0.9725013,0.1302573,0.188881
21,-0.8868575,1.055961,-1.734979,0.04129568,-0.9713362,0.1310694,0.1939625
22,-0.8869723,1.054973,-1.735753,0.04141945,-0.9707261,0.1316837,0.1965572
23,-0.8871787,1.053164,-1.737494,0.04150103,-0.9695559,0.1336268,0.200955
24,-0.8873258,1.051658,-1.739234,0.04245872,-0.9687786,0.1343404,0.204005
25,-0.8878462,1.049849,-1.742015,0.04262475,-0.9686249,0.1347519,0.2044281
26,-0.8880067,1.047356,-1.744958,0.03890099,-0.969088,0.1348517,0.2029046
27,-0.8884387,1.043758,-1.748836,0.03152606,-0.9700149,0.1361972,0.1988152
28,-0.8880093,1.039738,-1.752487,0.02194891,-0.9714804,0.1363919,0.1927206
29,-0.8874562,1.037222,-1.754501,0.0128011,-0.9723955,0.1367827,0.1886095
30,-0.8877958,1.034283,-1.757561,0.001013992,0.9730643,-0.1410056,-0.1823795
31,-0.8880481,1.033584,-1.760432,0.005302687,0.974318,-0.1410985,-0.175407
32,-0.8878917,1.033546,-1.763527,0.004391139,0.9776906,-0.1290983,-0.1656362
33,-0.8877662,1.032962,-1.765987,0.006493865,0.9809485,-0.1139878,-0.157177
34,-0.8824407,1.034888,-1.761445,0.01127813,0.9822101,-0.1096899,-0.1520008
35,-0.8829424,1.033957,-1.761025,0.02840018,0.9825952,-0.1122812,-0.1452345
36,-0.8833923,1.033398,-1.75824,0.05237143,0.9820186,-0.1188723,-0.1369891
37,-0.8843116,1.033996,-1.753528,0.07429039,0.9812681,-0.1199132,-0.131205
38,-0.8859882,1.036206,-1.747264,0.09230913,0.980625,-0.11367,-0.1301261
39,-0.8867575,1.040328,-1.737734,0.1103285,0.9799749,-0.1015471,-0.1310154
40,-0.8875005,1.044699,-1.730235,0.1207945,0.9789413,-0.09525756,-0.1341962
41,-0.8900347,1.053697,-1.717343,0.1294862,0.9760184,-0.09994018,-0.1436436
