Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.9571388,1.04985,-1.904963,0.2101766,0.7920734,-0.1612022,-0.5499631
1,-0.956239,1.04909,-1.903758,0.2126586,0.7923781,-0.1624281,-0.5482066
2,-0.9552904,1.048257,-1.902444,0.2152918,0.7928846,-0.1628113,-0.5463294
3,-0.9552827,1.048284,-1.902492,0.2151654,0.7930166,-0.1628863,-0.5461653
4,-0.9552827,1.048284,-1.902492,0.2151654,0.7930166,-0.1628863,-0.5461653
5,-0.9552827,1.048284,-1.902492,0.2151654,0.7930166,-0.1628863,-0.5461653
6,-0.9552827,1.048284,-1.902492,0.2151654,0.7930166,-0.1628863,-0.5461653
7,-0.9552827,1.048284,-1.902492,0.2151654,0.7930166,-0.1628863,-0.5461653
8,-0.9552827,1.048284,-1.902492,0.2151654,0.7930166,-0.1628863,-0.5461653
9,-0.9552827,1.048284,-1.902492,0.2151654,0.7930166,-0.1628863,-0.5461653
10,-0.9551641,1.047993,-1.902622,0.2162193,0.7924122,-0.1637663,-0.5463632
11,-0.9552023,1.047897,-1.902656,0.2169859,0.7920671,-0.1642247,-0.5464221
12,-0.9553514,1.046935,-1.902976,0.22018,0.7904474,-0.1631173,-0.5478198
13,-0.9555296,1.046052,-1.90337,0.2195579,0.7899286,-0.1600849,-0.5497091
14,-0.9562051,1.043965,-1.904886,0.213209,0.7885232,-0.1561325,-0.5553339
15,-0.9570892,1.043005,-1.906612,0.2047466,0.7869035,-0.1600634,-0.5596797
16,-0.9578544,1.041936,-1.907896,0.1986136,0.7848403,-0.1636941,-0.5637221
17,-0.9590113,1.039287,-1.909804,0.18986,0.7808194,-0.1668611,-0.5713419
18,-0.9598024,1.036727,-1.911002,0.1852595,0.7773772,-0.1681643,-0.5771345
19,-0.9589514,1.03189,-1.909049,0.1878145,0.7739525,-0.1717569,-0.5798472
20,-0.9571856,1.028253,-1.906517,0.1965648,0.7731243,-0.1742847,-0.5772919
21,-0.9552476,1.024717,-1.903797,0.204869,0.7731433,-0.1744405,-0.5743245
22,-0.9537235,1.022842,-1.902123,0.208922,0.7732986,-0.1741036,-0.5727555
23,-0.9514253,1.021369,-1.899765,0.21505,0.7726837,-0.1780346,-0.5701026
24,-0.9487217,1.021098,-1.898065,0.2194321,0.7735406,-0.1816897,-0.5661036
25,-0.9448446,1.021101,-1.897318,0.223484,0.7807505,-0.1817395,-0.5544856
26,-0.942293,1.020811,-1.897353,0.2276589,0.7865909,-0.1801937,-0.5449555
27,-0.9361821,1.020425,-1.897274,0.2410622,0.7997276,-0.175445,-0.5210987
28,-0.9305535,1.020112,-1.897117,0.2556171,0.8117235,-0.1673804,-0.4977435
29,-0.9262691,1.020156,-1.89693,0.2672035,0.8196704,-0.1620918,-0.4800717
30,-0.9189883,1.021649,-1.89576,0.2847999,0.8296707,-0.1572552,-0.4536589
31,-0.913865,1.023459,-1.894644,0.2938512,0.8356898,-0.154999,-0.4373206
32,-0.9063474,1.028049,-1.892751,0.3020779,0.8440695,-0.150305,-0.4167781
33,-0.8982795,1.03439,-1.890536,0.3096851,0.852097,-0.1435271,-0.3967694
34,-0.8895206,1.041746,-1.887748,0.3186951,0.860337,-0.1400389,-0.3723477
35,-0.8801397,1.049692,-1.884359,0.3307338,0.8698045,-0.1391632,-0.3386576
36,-0.8694574,1.058204,-1.879774,0.3466029,0.880128,-0.133847,-0.2955099
37,-0.8625799,1.065303,-1.876053,0.3584813,0.8867261,-0.1266607,-0.2629925
38,-0.8520032,1.077922,-1.868981,0.3761118,0.8945319,-0.1144787,-0.2127141
39,-0.8424581,1.094236,-1.860405,0.3832699,0.9017941,-0.1026281,-0.1712865
40,-0.8377879,1.107818,-1.853552,0.3842416,0.9051405,-0.09967615,-0.1521309
41,-0.8345087,1.123059,-1.8455,0.3871234,0.9056381,-0.102504,-0.1394561
42,-0.8323656,1.159621,-1.82379,0.3998071,0.8987069,-0.1216577,-0.1329651
43,-0.8334028,1.179683,-1.810249,0.4065989,0.8931019,-0.1368318,-0.1353643
44,-0.8359314,1.212812,-1.789178,0.407043,0.8910249,-0.1489709,-0.1349008
45,-0.8368626,1.247356,-1.765187,0.3989008,0.8969941,-0.1424665,-0.126424
46,-0.8381038,1.284025,-1.738355,0.3783144,0.9092659,-0.1307456,-0.1141027
47,-0.8396198,1.308567,-1.718143,0.3571065,0.9200848,-0.122558,-0.1043961
48,-0.8421857,1.355787,-1.680128,0.2809524,0.95114,-0.09842569,-0.08191882
49,-0.8441978,1.388778,-1.6462,0.2272332,0.9679229,-0.08530575,-0.06490973
50,-0.8488952,1.415617,-1.599585,0.2092182,0.9721085,-0.08805129,-0.05898851
51,-0.8554443,1.430011,-1.562803,0.2113881,0.9697503,-0.1003648,-0.06947141
52,-0.8705161,1.453887,-1.498574,0.202706,0.9657343,-0.1201385,-0.1087854
53,-0.8796825,1.470772,-1.460771,0.1556076,0.9717986,-0.1153672,-0.1344774
54,-0.8767183,1.526083,-1.40875,0.1298101,-0.9879423,0.02871352,0.07933997
55,-0.8657957,1.555158,-1.366507,0.2900606,-0.9565916,-0.02352444,-0.01561737
