Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.9820758,1.515435,-0.5997799,0.1480018,0.7725773,-0.08787833,-0.6111441
1,-0.9816359,1.515711,-0.5995704,0.1469614,0.77373,-0.08763038,-0.6099715
2,-0.9799913,1.516902,-0.5986976,0.1423362,0.7776719,-0.08713559,-0.606114
3,-0.978897,1.517695,-0.5984118,0.1390557,0.7801762,-0.08715564,-0.6036494
4,-0.9774479,1.518642,-0.5981396,0.1341542,0.7831625,-0.08776329,-0.6007968
5,-0.9754257,1.519696,-0.5976648,0.1293022,0.785956,-0.08883519,-0.5980489
6,-0.9754098,1.519695,-0.5976654,0.1293512,0.7859355,-0.08890264,-0.5980552
7,-0.9754098,1.519695,-0.5976654,0.1293512,0.7859355,-0.08890264,-0.5980552
8,-0.9754098,1.519695,-0.5976654,0.1293512,0.7859355,-0.08890264,-0.5980552
9,-0.9754098,1.519695,-0.5976654,0.1293512,0.7859355,-0.08890264,-0.5980552
10,-0.9754098,1.519695,-0.5976654,0.1293512,0.7859355,-0.08890264,-0.5980552
11,-0.9754098,1.519695,-0.5976654,0.1293512,0.7859355,-0.08890264,-0.5980552
12,-0.9754098,1.519695,-0.5976654,0.1293512,0.7859355,-0.08890264,-0.5980552
13,-0.9756495,1.51959,-0.5977011,0.1289842,0.786054,-0.08877869,-0.597997
14,-0.9757197,1.519624,-0.5975299,0.1289783,0.7860515,-0.08873093,-0.5980088
15,-0.9757698,1.519708,-0.5972974,0.1291376,0.7854035,-0.0890678,-0.5987753
16,-0.9757509,1.519955,-0.5969824,0.128636,0.7844581,-0.08902387,-0.6001275
17,-0.975735,1.520427,-0.5967134,0.12648,0.7833405,-0.08878507,-0.6020778
18,-0.9753493,1.521326,-0.5961756,0.1228568,0.7818556,-0.08935706,-0.604668
19,-0.9751787,1.521704,-0.5960474,0.1211575,0.781431,-0.08943277,-0.6055478
20,-0.9745316,1.523077,-0.5958679,0.1150658,0.7807678,-0.09031042,-0.6074582
