Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.425749,1.294345,-0.9900851,0.6547986,-0.7195683,-0.21502,0.08500959
1,-1.422726,1.295748,-0.9899516,0.6540926,-0.7196672,-0.2160712,0.08692056
2,-1.417532,1.298257,-0.9899283,0.6526586,-0.7205461,-0.2160921,0.09030152
3,-1.415317,1.299676,-0.9900457,0.652066,-0.7210404,-0.2156575,0.09166507
4,-1.406055,1.304349,-0.9901595,0.649884,-0.7235392,-0.2118262,0.09628758
5,-1.40047,1.307178,-0.9902093,0.648706,-0.7250704,-0.2092278,0.09837259
6,-1.396297,1.309653,-0.9903468,0.6479632,-0.7262464,-0.2067292,0.09986481
7,-1.396297,1.309653,-0.9903468,0.6479632,-0.7262464,-0.2067292,0.09986481
8,-1.396297,1.309653,-0.9903468,0.6479632,-0.7262464,-0.2067292,0.09986481
9,-1.396297,1.309653,-0.9903468,0.6479632,-0.7262464,-0.2067292,0.09986481
10,-1.396297,1.309653,-0.9903468,0.6479632,-0.7262464,-0.2067292,0.09986481
11,-1.396297,1.309653,-0.9903468,0.6479632,-0.7262464,-0.2067292,0.09986481
12,-1.396297,1.309653,-0.9903468,0.6479632,-0.7262464,-0.2067292,0.09986481
13,-1.396425,1.309503,-0.9905776,0.6478764,-0.7263854,-0.2065029,0.09988523
14,-1.39762,1.308962,-0.9907224,0.6476959,-0.7261108,-0.2080459,0.09984948
15,-1.398951,1.308387,-0.9909726,0.6469945,-0.7262903,-0.2091465,0.1007884
16,-1.401978,1.307387,-0.9916053,0.6446878,-0.7275105,-0.2104916,0.10392
17,-1.406003,1.306164,-0.9926426,0.6410152,-0.7294987,-0.2133317,0.1068673
18,-1.410954,1.304808,-0.99375,0.6366854,-0.7311988,-0.2182752,0.1110669
19,-1.414707,1.303898,-0.9945098,0.6337464,-0.7323777,-0.2214455,0.1137991
20,-1.420881,1.302785,-0.9954938,0.6293938,-0.733924,-0.2273301,0.116362
21,-1.427451,1.30221,-0.9959656,0.6260381,-0.7341595,-0.2352892,0.1171543
22,-1.425374,1.305869,-0.9947469,0.6263322,-0.7336873,-0.2347569,0.1195832
23,-1.414161,1.313684,-0.9922205,0.6307033,-0.7319443,-0.2282218,0.11994
24,-1.405556,1.319086,-0.990451,0.6337752,-0.7307088,-0.2249396,0.1174556
25,-1.386611,1.330533,-0.9875108,0.6381513,-0.7312386,-0.2140422,0.1106298
26,-1.375873,1.336693,-0.9861839,0.6396061,-0.7325683,-0.2061236,0.1084467
27,-1.359198,1.345755,-0.9845756,0.6407434,-0.7353312,-0.192605,0.1078848
28,-1.341799,1.354796,-0.9829606,0.6407248,-0.7387161,-0.1769964,0.1115462
29,-1.323127,1.36394,-0.9815097,0.6407384,-0.7415755,-0.1597346,0.1183424
30,-1.310366,1.369809,-0.9811604,0.6404704,-0.7434029,-0.1498521,0.1212194
31,-1.289273,1.378622,-0.9808477,0.6401974,-0.7468428,-0.1323699,0.1218662
32,-1.267019,1.38746,-0.9806707,0.6411678,-0.7498096,-0.110748,0.1201014
33,-1.251791,1.393058,-0.9811155,0.6427011,-0.750963,-0.09739258,0.1162091
34,-1.227366,1.401154,-0.9814144,0.6463969,-0.7514209,-0.07794496,0.1070616
35,-1.202495,1.408827,-0.9815895,0.6501102,-0.7512118,-0.05754133,0.09862301
36,-1.177016,1.415262,-0.9821913,0.6524081,-0.7514468,-0.03476428,0.09210245
37,-1.151686,1.420423,-0.9831362,0.6546238,-0.7509013,-0.01231595,0.08639032
38,-1.125843,1.424913,-0.9845963,0.65628,-0.7505394,0.007461782,0.07701674
39,-1.099889,1.428175,-0.9862947,0.657816,-0.7493957,0.02837682,0.06985015
40,-1.083305,1.429793,-0.9874765,0.6588207,-0.7478383,0.04315155,0.06950674
41,-1.058548,1.431483,-0.9897023,0.6595564,-0.7455876,0.06381965,0.07079227
42,-1.033777,1.431908,-0.9924579,0.6578554,-0.7449596,0.08463633,0.0714019
43,-1.009318,1.430976,-0.9960951,0.6554872,-0.744902,0.1040672,0.06802689
44,-0.9839882,1.429092,-0.9999885,0.654475,-0.7436028,0.1235766,0.05870356
45,-0.9583796,1.426389,-1.002944,0.6547255,-0.7390144,0.1491146,0.05437963
46,-0.9419532,1.423949,-1.005205,0.6553043,-0.7348812,0.1666633,0.05243291
47,-0.917554,1.419537,-1.009074,0.6562324,-0.7289939,0.1884423,0.04915756
48,-0.8934965,1.414269,-1.013118,0.6562911,-0.7242796,0.2061016,0.04714999
49,-0.8708682,1.40794,-1.017946,0.655127,-0.719184,0.2264252,0.0481113
50,-0.855753,1.403361,-1.021428,0.6535093,-0.7159491,0.241108,0.04700619
51,-0.8332928,1.39553,-1.026921,0.6503808,-0.7104952,0.2653855,0.04209394
52,-0.8113195,1.387132,-1.032597,0.6478108,-0.703967,0.2891574,0.03405317
53,-0.7970645,1.381259,-1.036416,0.6457973,-0.6991772,0.3053649,0.02914337
54,-0.7701253,1.368686,-1.04372,0.6429215,-0.6875076,0.3370523,0.01951706
55,-0.757931,1.362274,-1.047444,0.6410258,-0.6806965,0.3542301,0.01609715
56,-0.7407786,1.353087,-1.053008,0.6371923,-0.6701443,0.3803827,0.01420074
57,-0.7251726,1.343981,-1.058628,0.6322051,-0.6642768,0.3987271,0.008350225
58,-0.7122375,1.33583,-1.06401,0.6275173,-0.6579074,0.41633,0.007007623
59,-0.7042805,1.331164,-1.067376,0.6243075,-0.6547723,0.4259943,0.006494152
60,-0.6902736,1.322049,-1.074089,0.6178761,-0.6524331,0.4388091,-0.00262025
61,-0.684016,1.317845,-1.077186,0.6155846,-0.6512716,0.443626,-0.009843515
62,-0.6777852,1.314342,-1.079895,0.6134353,-0.6488892,0.4498973,-0.01523986
63,-0.6700644,1.309467,-1.08384,0.6095178,-0.6437653,0.462216,-0.02026533
64,-0.6636729,1.305157,-1.087718,0.6042166,-0.6415923,0.4716745,-0.02836782
65,-0.6577945,1.301079,-1.092492,0.5940682,-0.642473,0.4825574,-0.0380762
66,-0.6565101,1.299824,-1.094221,0.5890464,-0.6421805,0.4890496,-0.0381965
67,-0.6567097,1.299577,-1.095443,0.5831155,-0.6407985,0.4983673,-0.03136263
68,-0.6578079,1.300912,-1.095106,0.5819388,-0.6411349,0.4996987,-0.02438169
69,-0.661255,1.303451,-1.093626,0.5814369,-0.6445715,0.4961645,-0.01671751
70,-0.666622,1.306775,-1.091069,0.5811093,-0.6493085,0.4905417,-0.008906324
71,-0.6728771,1.3108,-1.087769,0.5813477,-0.6555735,0.4818994,-0.005583633
72,-0.6800548,1.314714,-1.08395,0.5811191,-0.6614023,0.4741212,-0.007524919
73,-0.6884024,1.318882,-1.07917,0.5814614,-0.6653627,0.4680616,-0.01065216
74,-0.6979117,1.323791,-1.073608,0.5829288,-0.6682228,0.4620644,-0.01299024
75,-0.7051482,1.327341,-1.069483,0.5841678,-0.6704569,0.4571856,-0.01472485
76,-0.7175028,1.333362,-1.062608,0.5883312,-0.6742086,0.4461781,-0.0153048
77,-0.731485,1.340658,-1.055144,0.5943753,-0.6800655,0.4290348,-0.01257339
78,-0.7415938,1.345593,-1.050005,0.598268,-0.6843571,0.416687,-0.01013763
79,-0.758239,1.353052,-1.041998,0.6019718,-0.690818,0.4004759,-0.004406595
80,-0.7763826,1.359959,-1.034884,0.602947,-0.6977517,0.386772,0.002213103
81,-0.795259,1.367004,-1.027606,0.6057876,-0.7039481,0.3706812,0.008591416
82,-0.8151091,1.374133,-1.020007,0.6095612,-0.7099375,0.3523757,0.01597665
83,-0.8287804,1.378602,-1.015477,0.6116633,-0.714512,0.3390645,0.01938852
84,-0.84891,1.384799,-1.009367,0.6130244,-0.7222104,0.3196492,0.02091799
85,-0.869483,1.390671,-1.003369,0.6139473,-0.7291808,0.3014642,0.02198694
86,-0.8897327,1.395699,-0.9978545,0.6158525,-0.7345182,0.2843479,0.01884153
87,-0.9094979,1.400441,-0.9922823,0.6182581,-0.7383705,0.2690379,0.01358522
88,-0.9298295,1.404177,-0.986703,0.6216994,-0.7412887,0.2529117,0.004077039
89,-0.9436319,1.406579,-0.9828934,0.6258632,-0.7416606,0.2413183,-0.0005790303
90,-0.9647909,1.410509,-0.9770511,0.6346329,-0.7416939,0.2170315,-0.005351812
91,-0.9866895,1.41412,-0.9715868,0.6422775,-0.7427675,0.1889033,-0.00957513
92,-1.008365,1.416763,-0.9680046,0.6446236,-0.745289,0.1700747,-0.008903709
93,-1.022734,1.418226,-0.9664242,0.6439235,-0.7482365,0.1596043,-0.0055843
94,-1.043732,1.420545,-0.9647429,0.6412026,-0.7533274,0.1461269,0.001956936
95,-1.064786,1.421956,-0.9640746,0.6350668,-0.7600514,0.1375694,0.00930601
96,-1.084984,1.422109,-0.9641718,0.627708,-0.7672645,0.1311852,0.008852202
97,-1.098489,1.421993,-0.9641703,0.625164,-0.7707567,0.1227474,0.006088238
98,-1.133308,1.421922,-0.9611912,0.6295856,-0.7714893,0.09171793,0.003758993
99,-1.140493,1.4219,-0.9604774,0.6312726,-0.770859,0.08513356,0.004866764
100,-1.162113,1.42189,-0.9585033,0.6362895,-0.7686979,0.06409208,0.01146844
101,-1.183218,1.421695,-0.9574984,0.6389184,-0.7681275,0.03860275,0.01653332
102,-1.202618,1.420781,-0.9579023,0.638415,-0.769269,0.02002744,0.01582153
103,-1.220164,1.419115,-0.959259,0.6363505,-0.771219,0.01230097,0.01131342
104,-1.231028,1.417604,-0.9603968,0.6356102,-0.7719759,0.006848732,0.002429935
105,-1.246777,1.414866,-0.9617929,0.635922,-0.7716424,0.00105892,-0.01304311
106,-1.264025,1.412041,-0.9632525,0.6369776,-0.7706152,-0.008494638,-0.0184312
107,-1.282978,1.408501,-0.9649523,0.636866,-0.7703769,-0.02459088,-0.01778732
108,-1.296303,1.40575,-0.9664062,0.6366388,-0.7702481,-0.03524192,-0.01292173
109,-1.323894,1.399983,-0.9698459,0.6361151,-0.7688587,-0.06484534,0.002991968
110,-1.330657,1.39846,-0.9706941,0.6364028,-0.7678587,-0.07305498,0.006885891
111,-1.356401,1.392169,-0.9747847,0.6337014,-0.7666523,-0.1008205,0.02240722
112,-1.368001,1.388269,-0.9776451,0.6302713,-0.7682205,-0.1093655,0.02519266
113,-1.383812,1.381531,-0.9823292,0.6261183,-0.7705752,-0.11719,0.02135812
114,-1.398507,1.373883,-0.9865903,0.6253087,-0.7706739,-0.1218657,0.01412499
115,-1.414665,1.36571,-0.9905808,0.6263794,-0.7679962,-0.1326235,0.0155478
116,-1.42666,1.360096,-0.9931738,0.6261874,-0.7653255,-0.1473692,0.0211763
117,-1.445648,1.350662,-0.9975555,0.623659,-0.7611614,-0.1746999,0.03410031
118,-1.471196,1.336562,-1.004604,0.6146407,-0.7576965,-0.2111396,0.05943784
119,-1.483472,1.328742,-1.008497,0.6107166,-0.7552941,-0.2275071,0.06925704
120,-1.499905,1.317389,-1.013582,0.6060411,-0.7513063,-0.2478334,0.08265354
121,-1.510337,1.309723,-1.01697,0.6033312,-0.7486738,-0.2595928,0.08994733
122,-1.529239,1.294527,-1.024498,0.5996416,-0.7419073,-0.2850615,0.09350638
