Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.8647366,1.096256,-1.034621,0.7221365,-0.644927,0.2465257,0.04257989
1,-0.8647882,1.096299,-1.034647,0.7217329,-0.6454089,0.2466509,0.04137963
2,-0.8650967,1.09658,-1.034607,0.7217584,-0.6454179,0.2467938,0.03991816
3,-0.8650967,1.09658,-1.034607,0.7217584,-0.6454179,0.2467938,0.03991816
4,-0.8650967,1.09658,-1.034607,0.7217584,-0.6454179,0.2467938,0.03991816
5,-0.8650967,1.09658,-1.034607,0.7217584,-0.6454179,0.2467938,0.03991816
6,-0.8650967,1.09658,-1.034607,0.7217584,-0.6454179,0.2467938,0.03991816
7,-0.8650967,1.09658,-1.034607,0.7217584,-0.6454179,0.2467938,0.03991816
8,-0.8650967,1.09658,-1.034607,0.7217584,-0.6454179,0.2467938,0.03991816
9,-0.8650745,1.096575,-1.034604,0.721764,-0.6454073,0.246806,0.03991307
10,-0.8647406,1.096352,-1.034793,0.7214346,-0.6453878,0.2478196,0.03990141
11,-0.8635745,1.096135,-1.034949,0.7212253,-0.6452316,0.2490184,0.03873064
12,-0.861432,1.095812,-1.035305,0.7212136,-0.6448661,0.2504015,0.03602346
13,-0.8593199,1.095449,-1.035592,0.721485,-0.6442768,0.2514434,0.0338094
14,-0.8549467,1.094816,-1.036058,0.7222259,-0.642278,0.2548177,0.0306054
15,-0.8490366,1.094012,-1.036925,0.7219017,-0.6398487,0.2621465,0.02703437
16,-0.8413387,1.093143,-1.03819,0.7198556,-0.6368241,0.2752056,0.02290933
17,-0.8323283,1.09191,-1.04019,0.7153602,-0.6333731,0.2946783,0.01622135
18,-0.8285388,1.09149,-1.041253,0.7118886,-0.6319622,0.3061207,0.01134302
19,-0.8280804,1.092231,-1.042162,0.7068552,-0.6328252,0.316044,0.002041715
20,-0.8294237,1.092728,-1.041946,0.7059324,-0.6330557,0.3176304,-0.003297029
21,-0.8333484,1.093954,-1.040717,0.7063103,-0.6339018,0.3149842,-0.008899839
22,-0.8393065,1.096223,-1.038481,0.7097207,-0.6362893,0.3021358,-0.01209898
23,-0.8449036,1.098114,-1.036535,0.7132712,-0.6382958,0.2893275,-0.01059167
24,-0.8554575,1.10132,-1.033639,0.7181362,-0.642893,0.2663921,-0.002085938
25,-0.8677555,1.104473,-1.030678,0.7221119,-0.6475864,0.2430254,0.01117277
26,-0.8814103,1.107194,-1.028432,0.7234636,-0.6530854,0.2220691,0.02766095
27,-0.8960417,1.109446,-1.026896,0.7224254,-0.6595867,0.2023379,0.0458942
28,-0.9060982,1.110465,-1.025728,0.7217714,-0.6633446,0.18918,0.05684144
29,-0.9213667,1.111254,-1.024467,0.7217402,-0.6673327,0.1697868,0.07021828
30,-0.9369782,1.111596,-1.023458,0.7211222,-0.6718789,0.1486031,0.08049005
31,-0.9532917,1.111068,-1.022535,0.7217207,-0.6758618,0.1213407,0.08721479
32,-0.9696911,1.110175,-1.021633,0.7227992,-0.6783929,0.09189661,0.09433678
33,-0.9806058,1.109171,-1.021179,0.7232022,-0.67934,0.07309425,0.1006627
34,-1.002321,1.105939,-1.020804,0.7233511,-0.6795453,0.03786468,0.1163941
35,-1.012736,1.103988,-1.020799,0.7228665,-0.6792904,0.02103341,0.1248441
36,-1.027696,1.100552,-1.020912,0.721725,-0.6780388,-0.001231338,0.1391934
37,-1.037587,1.097876,-1.021079,0.7202642,-0.6771504,-0.01331819,0.1500316
38,-1.051561,1.093712,-1.02156,0.7173805,-0.6764142,-0.02720149,0.1645875
39,-1.064691,1.089096,-1.02242,0.7144108,-0.6762472,-0.03980339,0.1752788
40,-1.077238,1.084156,-1.02366,0.7126248,-0.6760656,-0.05636495,0.1786732
41,-1.08952,1.078843,-1.025021,0.7123685,-0.6745228,-0.0784152,0.1772037
42,-1.097511,1.075091,-1.025839,0.7127144,-0.6723853,-0.09573585,0.1754163
43,-1.113171,1.067207,-1.027626,0.7126501,-0.6668768,-0.1291182,0.1753103
44,-1.124223,1.061298,-1.028524,0.7125009,-0.6614074,-0.1491736,0.180638
45,-1.127743,1.05928,-1.028789,0.7123249,-0.6594378,-0.1550021,0.1836009
46,-1.140953,1.051888,-1.029897,0.7103819,-0.6528097,-0.1746506,0.1967085
47,-1.149186,1.047255,-1.030837,0.7076239,-0.6496958,-0.1861295,0.2062026
48,-1.153812,1.044617,-1.031702,0.705413,-0.6486032,-0.1924591,0.2113431
49,-1.159376,1.041676,-1.033147,0.7019685,-0.6483849,-0.199279,0.2170832
50,-1.163527,1.039584,-1.034543,0.6987715,-0.6482641,-0.2059979,0.2214426
51,-1.166201,1.038581,-1.035835,0.6962338,-0.6480525,-0.2122883,0.2240985
52,-1.16765,1.038561,-1.03677,0.6943595,-0.6479753,-0.215811,0.2267566
53,-1.167331,1.039929,-1.037353,0.6928492,-0.649266,-0.2140586,0.2293305
