Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.6918318,1.047413,-1.635966,0.3513193,-0.382568,0.7711636,0.3681347
1,-0.6911532,1.048012,-1.63237,0.3539086,-0.384899,0.7696185,0.3664544
2,-0.6905463,1.048342,-1.628957,0.3564573,-0.3860912,0.7691438,0.3637165
3,-0.6906811,1.048467,-1.628786,0.3567654,-0.386583,0.7684308,0.3643984
4,-0.6906811,1.048467,-1.628786,0.3567654,-0.386583,0.7684308,0.3643984
5,-0.6906811,1.048467,-1.628786,0.3567654,-0.386583,0.7684308,0.3643984
6,-0.6906811,1.048467,-1.628786,0.3567654,-0.386583,0.7684308,0.3643984
7,-0.6906811,1.048467,-1.628786,0.3567654,-0.386583,0.7684308,0.3643984
8,-0.6906811,1.048467,-1.628786,0.3567654,-0.386583,0.7684308,0.3643984
9,-0.6906822,1.048464,-1.628829,0.3567323,-0.3865757,0.7684504,0.3643971
10,-0.690527,1.048475,-1.629253,0.3559161,-0.3863444,0.7690926,0.3640855
11,-0.6908131,1.048258,-1.630526,0.3536832,-0.3869787,0.7705209,0.3625648
12,-0.6907108,1.047653,-1.632652,0.3507555,-0.38862,0.7726391,0.3591293
13,-0.690366,1.047133,-1.635417,0.3490672,-0.3915004,0.7743629,0.3538951
14,-0.6894891,1.046751,-1.638512,0.3500254,-0.3947463,0.7751085,0.3476556
15,-0.6884667,1.046629,-1.640694,0.3522862,-0.3951892,0.7752023,0.3446466
16,-0.686435,1.046858,-1.644262,0.3553896,-0.3937366,0.7751976,0.3431304
17,-0.6847323,1.047121,-1.648362,0.3532085,-0.3906525,0.7770787,0.3446491
18,-0.6838834,1.047222,-1.648915,0.3450073,-0.3889668,0.781437,0.3450087
19,-0.6833725,1.047783,-1.644546,0.3418539,-0.3900228,0.782475,0.3446028
20,-0.6827244,1.047941,-1.63744,0.3392368,-0.3947132,0.7842327,0.3377852
21,-0.6813707,1.047748,-1.629223,0.340247,-0.3993118,0.7860724,0.3269132
22,-0.6790922,1.048106,-1.619076,0.3523101,-0.4068335,0.7820108,0.3143616
23,-0.6757722,1.049537,-1.607062,0.3777991,-0.4173263,0.7687796,0.3034543
24,-0.6734669,1.051235,-1.598155,0.3978675,-0.4210481,0.7575831,0.3008118
25,-0.6712312,1.054373,-1.583077,0.4230009,-0.4184315,0.7425489,0.3075817
26,-0.6713876,1.057164,-1.568306,0.4344256,-0.4102134,0.7340858,0.3226723
27,-0.6734535,1.05982,-1.553548,0.4369229,-0.4027283,0.7280596,0.3418149
28,-0.6769235,1.062103,-1.539168,0.4343097,-0.3976392,0.7237451,0.3597933
29,-0.6794111,1.063407,-1.528958,0.4331312,-0.3951081,0.7205882,0.3701886
30,-0.6834729,1.064877,-1.513264,0.4369143,-0.4003732,0.7110226,0.3784893
31,-0.6872408,1.066351,-1.495183,0.4551377,-0.4128657,0.6905842,0.381425
32,-0.6906433,1.067281,-1.475336,0.4859732,-0.4227166,0.6618983,0.3834467
33,-0.6928906,1.067804,-1.460748,0.5090553,-0.4236548,0.6411755,0.3876511
34,-0.6992491,1.068,-1.430002,0.5501732,-0.4144727,0.5968248,0.4114875
35,-0.7039533,1.067262,-1.414228,0.5662719,-0.4059423,0.5728936,0.4316711
36,-0.7120147,1.065122,-1.390154,0.5822865,-0.3898381,0.5379742,0.4685642
37,-0.7204455,1.060843,-1.367443,0.5908031,-0.3696511,0.5071692,0.5070397
38,-0.7262639,1.056836,-1.352879,0.5943841,-0.3551063,0.4880576,0.5314197
39,-0.7342237,1.050388,-1.331957,0.6011069,-0.3370548,0.457963,0.5615464
40,-0.742075,1.042952,-1.312798,0.6123254,-0.3238659,0.4257058,0.5821882
41,-0.7496457,1.035134,-1.295524,0.6280147,-0.3147002,0.3935392,0.593033
42,-0.7563685,1.027961,-1.280586,0.6456399,-0.3089498,0.3654031,0.59513
43,-0.76209,1.021512,-1.26834,0.6612687,-0.304998,0.3445778,0.5924239
44,-0.765409,1.017747,-1.26132,0.6698143,-0.3025999,0.3345864,0.5897745
45,-0.769671,1.013419,-1.252756,0.679449,-0.3010786,0.3233734,0.5857733
46,-0.7735469,1.010211,-1.245488,0.6861827,-0.3010894,0.3130004,0.5835489
47,-0.7768602,1.007971,-1.240186,0.690869,-0.3017925,0.3038579,0.5824874
48,-0.7784865,1.007007,-1.23776,0.6921499,-0.3022023,0.3007142,0.5823859
49,-0.7798705,1.006748,-1.235308,0.6915759,-0.3033808,0.3014033,0.5820987
50,-0.7805891,1.00821,-1.234412,0.6921434,-0.3073452,0.3055233,0.5771759
51,-0.7803757,1.009713,-1.235235,0.692201,-0.3105598,0.3094339,0.5732897
52,-0.7798017,1.011783,-1.2363,0.6910098,-0.3147449,0.3148668,0.5694734
53,-0.7789606,1.015244,-1.239232,0.6894864,-0.3219104,0.3212616,0.5637138
54,-0.7775286,1.018981,-1.243437,0.6876836,-0.3278548,0.3276958,0.5587646
55,-0.7752303,1.023084,-1.248391,0.6849685,-0.3318311,0.3363509,0.554594
56,-0.7726068,1.0274,-1.254426,0.6822148,-0.3349481,0.3448294,0.5508952
57,-0.7693533,1.031823,-1.261493,0.6781765,-0.3366149,0.3551086,0.5483291
58,-0.7667782,1.035152,-1.266723,0.674034,-0.337419,0.3639081,0.5471723
59,-0.7629874,1.040068,-1.275791,0.668059,-0.3392507,0.3776682,0.5440339
60,-0.757911,1.046907,-1.289673,0.6569316,-0.3425606,0.3994075,0.5399692
61,-0.7555089,1.05022,-1.297318,0.651745,-0.3445099,0.4092859,0.5376117
62,-0.7519315,1.05495,-1.309468,0.6449414,-0.34618,0.4230357,0.5340888
63,-0.7495652,1.057801,-1.317756,0.6406657,-0.3459956,0.432115,0.532082
64,-0.7458251,1.061903,-1.331242,0.6336778,-0.3444649,0.4460253,0.5299603
65,-0.74183,1.066055,-1.345282,0.6236142,-0.3414506,0.4627429,0.5295148
66,-0.7382872,1.070015,-1.3613,0.6094878,-0.3425595,0.4829486,0.5271985
67,-0.7351067,1.073593,-1.378478,0.5904082,-0.3456861,0.5065671,0.5246989
68,-0.7332749,1.075771,-1.390493,0.57592,-0.3500998,0.5225203,0.5222249
69,-0.7313521,1.078259,-1.409301,0.5525531,-0.3616599,0.5460045,0.5155252
70,-0.7299399,1.07938,-1.428467,0.5293837,-0.3751121,0.5694799,0.5047141
71,-0.727658,1.079386,-1.446956,0.5090236,-0.3838693,0.5928283,0.4920304
72,-0.7246799,1.078097,-1.464643,0.4951973,-0.3909545,0.6128888,0.4757116
73,-0.7226381,1.076879,-1.47613,0.4895738,-0.3982744,0.6235672,0.4613664
74,-0.7196163,1.075087,-1.494193,0.482924,-0.4183809,0.6364815,0.4320107
75,-0.7174135,1.072133,-1.514427,0.4763342,-0.4549543,0.6439567,0.3891556
76,-0.714548,1.067165,-1.536924,0.4671614,-0.4995406,0.6495764,0.3320691
77,-0.711383,1.06199,-1.552621,0.4585516,-0.5264034,0.6557933,0.2873413
78,-0.7024997,1.048369,-1.580683,0.43598,-0.5435527,0.6843845,0.2146854
79,-0.6964428,1.037721,-1.598024,0.413981,-0.5288168,0.7165073,0.1886527
80,-0.6939771,1.031223,-1.608366,0.3986862,-0.5141772,0.7368745,0.1835403
81,-0.6925811,1.023735,-1.622317,0.3783831,-0.4962549,0.7585305,0.1875867
82,-0.6928608,1.019732,-1.630799,0.3658129,-0.4884642,0.7678967,0.1947266
83,-0.6946137,1.015091,-1.642403,0.3464385,-0.4806983,0.7772711,0.2115638
84,-0.6968255,1.011543,-1.652254,0.3285045,-0.4692869,0.7860574,0.2323109
85,-0.6987787,1.008404,-1.660552,0.3115427,-0.456353,0.7946754,0.2513448
86,-0.7005043,1.005181,-1.667827,0.2964449,-0.4470603,0.8024113,0.2615218
87,-0.7016971,1.001613,-1.674404,0.2843116,-0.4449656,0.8082697,0.2605236
88,-0.7021616,0.9990653,-1.678441,0.2778393,-0.4461147,0.8117163,0.2547621
89,-0.7021334,0.9957801,-1.683357,0.2725278,-0.4480254,0.8163679,0.2419614
90,-0.7009268,0.9931521,-1.686907,0.2732674,-0.4492913,0.8191348,0.2290858
91,-0.6994942,0.991878,-1.68865,0.2761306,-0.4504662,0.8199061,0.2204226
92,-0.698806,0.9919091,-1.689196,0.2790232,-0.4527301,0.8186321,0.2168479
93,-0.6978614,0.9928522,-1.689032,0.2845811,-0.4552128,0.8154232,0.2165176
94,-0.6975595,0.9947085,-1.68729,0.286667,-0.454403,0.8134281,0.2228782
95,-0.6980224,0.9973748,-1.684439,0.2844752,-0.4493825,0.813951,0.2336944
96,-0.6980282,1.0005,-1.680813,0.284443,-0.4473532,0.8121921,0.2435389
97,-0.6976171,1.003872,-1.676366,0.2873851,-0.4484812,0.8083676,0.2506317
98,-0.6970401,1.006474,-1.672814,0.2907761,-0.4484929,0.8055147,0.2558309
99,-0.6957501,1.01094,-1.666488,0.2985039,-0.4467573,0.8008575,0.2644439
100,-0.6945137,1.014144,-1.661847,0.3047491,-0.4459159,0.7973117,0.2694087
101,-0.6925083,1.019813,-1.651223,0.3153459,-0.4488433,0.7896546,0.2748496
102,-0.691432,1.023933,-1.642187,0.320328,-0.4487334,0.7860835,0.2794656
103,-0.6908214,1.026682,-1.635438,0.3239602,-0.4485333,0.7836242,0.2824903
104,-0.6897147,1.031271,-1.624808,0.3322556,-0.4479014,0.7785704,0.2877823
105,-0.6877736,1.038428,-1.608008,0.351132,-0.4434117,0.7679621,0.3005438
106,-0.6870568,1.042261,-1.598579,0.3613462,-0.4412131,0.7611684,0.3088408
107,-0.6865705,1.046192,-1.58833,0.3722272,-0.4394985,0.7530063,0.3182287
108,-0.6862934,1.051969,-1.572056,0.3910643,-0.4412354,0.7368227,0.330866
109,-0.6869901,1.057366,-1.554745,0.409628,-0.4443709,0.7185573,0.3441146
110,-0.689091,1.061895,-1.536465,0.4248517,-0.4450418,0.7013949,0.359839
111,-0.6918581,1.065428,-1.517574,0.4394343,-0.4439409,0.6849923,0.374966
112,-0.6937202,1.067427,-1.504559,0.450572,-0.4423681,0.6733178,0.3846276
113,-0.6967676,1.069679,-1.484484,0.4713701,-0.4389468,0.653447,0.3976719
114,-0.6995088,1.071129,-1.463579,0.4977752,-0.432897,0.6310714,0.4081285
115,-0.7027274,1.071281,-1.442584,0.5257205,-0.4286679,0.6067702,0.4143569
116,-0.7070177,1.069787,-1.421877,0.5500396,-0.4249626,0.5832123,0.4203887
117,-0.7103252,1.06827,-1.408649,0.5649456,-0.4231783,0.5680279,0.4232032
118,-0.7160003,1.065022,-1.388714,0.5862546,-0.4185404,0.5451369,0.4289
119,-0.7218639,1.060551,-1.369041,0.6075927,-0.4111042,0.5211682,0.4361287
120,-0.7284286,1.055012,-1.350262,0.6276394,-0.4036593,0.4982859,0.4414058
121,-0.7329355,1.050709,-1.338196,0.6391095,-0.3983289,0.4844235,0.4452044
122,-0.7423216,1.040683,-1.315615,0.6603594,-0.3850585,0.4566861,0.4550749
123,-0.7489884,1.03232,-1.298737,0.6783736,-0.3699105,0.4339668,0.4633016
124,-0.7535777,1.026546,-1.287567,0.6925127,-0.3587914,0.4148325,0.4686245
125,-0.7641279,1.014412,-1.265636,0.7223564,-0.342454,0.3613906,0.4799201
126,-0.7697095,1.008113,-1.255888,0.7335443,-0.3349614,0.3349461,0.487365
127,-0.7781832,0.9989558,-1.243214,0.743631,-0.3247608,0.3009531,0.5009696
128,-0.7851168,0.9905462,-1.233022,0.7489496,-0.3164701,0.2749248,0.5131642
129,-0.7884874,0.9859095,-1.227521,0.7514372,-0.3118369,0.2633243,0.5184208
130,-0.7923028,0.9804267,-1.221128,0.7557234,-0.3066121,0.2520116,0.5209235
131,-0.7947646,0.976335,-1.216645,0.7597957,-0.304146,0.2434102,0.5205355
132,-0.7958302,0.9745067,-1.214438,0.7625213,-0.3032284,0.2383389,0.5194308
133,-0.7965946,0.972944,-1.211779,0.7659597,-0.3020591,0.2325751,0.5176628
134,-0.7963649,0.9726124,-1.211024,0.7671832,-0.3010811,0.230892,0.5171741
135,-0.7943373,0.9739974,-1.211396,0.7663838,-0.3011372,0.2348109,0.5165617
136,-0.7928886,0.9754986,-1.212371,0.7661924,-0.3016206,0.2383602,0.5149356
137,-0.790032,0.9788239,-1.21503,0.7658981,-0.3040336,0.2438356,0.5113784
138,-0.7864194,0.9835418,-1.218902,0.7629243,-0.3096373,0.2519479,0.5085208
139,-0.7812325,0.9913064,-1.226894,0.7524112,-0.318688,0.2706533,0.5089813
140,-0.7779747,0.9956287,-1.23182,0.7463822,-0.3233791,0.2824139,0.5085095
141,-0.7728882,1.002525,-1.240114,0.7373767,-0.3308606,0.3011295,0.5060908
142,-0.7693963,1.007165,-1.246219,0.7329379,-0.3353189,0.3123939,0.5027657
143,-0.7643871,1.014032,-1.256315,0.7277853,-0.3430181,0.3255076,0.496701
144,-0.7591091,1.020663,-1.266716,0.7225119,-0.3483161,0.3374441,0.4927311
145,-0.7555133,1.025121,-1.27413,0.7179478,-0.3509001,0.3464661,0.4913057
