Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.259158,1.170605,-0.990779,0.6643658,-0.726345,-0.1667745,0.0568093
1,-1.259204,1.170473,-0.9907048,0.6643561,-0.7263589,-0.166726,0.05688777
2,-1.259226,1.170288,-0.9906019,0.6641894,-0.7265479,-0.1665035,0.05707109
3,-1.259258,1.170226,-0.9905999,0.6642482,-0.7264748,-0.1666173,0.05698468
4,-1.259326,1.170169,-0.9905718,0.6642703,-0.726402,-0.1668664,0.05692704
5,-1.259455,1.170159,-0.9905701,0.6644087,-0.7260032,-0.1681786,0.05653515
6,-1.259501,1.170186,-0.9904583,0.6645064,-0.7259478,-0.1680242,0.05655881
7,-1.259501,1.170186,-0.9904583,0.6645064,-0.7259478,-0.1680242,0.05655881
8,-1.259501,1.170186,-0.9904583,0.6645064,-0.7259478,-0.1680242,0.05655881
9,-1.259501,1.170186,-0.9904583,0.6645064,-0.7259478,-0.1680242,0.05655881
10,-1.259501,1.170186,-0.9904583,0.6645064,-0.7259478,-0.1680242,0.05655881
11,-1.259501,1.170186,-0.9904583,0.6645064,-0.7259478,-0.1680242,0.05655881
12,-1.259501,1.170186,-0.9904583,0.6645064,-0.7259478,-0.1680242,0.05655881
13,-1.259466,1.17015,-0.9905015,0.6643305,-0.7261323,-0.1679341,0.05652371
14,-1.259441,1.170112,-0.9905032,0.6643054,-0.7261475,-0.168037,0.05631768
15,-1.259432,1.170049,-0.9905095,0.6643168,-0.7261087,-0.1681612,0.05631238
16,-1.259642,1.169776,-0.9902466,0.6647009,-0.7254574,-0.1694699,0.0562518
17,-1.259852,1.169596,-0.9900634,0.6652089,-0.7247697,-0.1704167,0.05625015
18,-1.260387,1.169301,-0.9895837,0.6665037,-0.7232343,-0.1718363,0.05636677
19,-1.261178,1.168945,-0.9889452,0.6682195,-0.7212622,-0.173601,0.0559128
20,-1.261936,1.168416,-0.9886672,0.6691519,-0.7201092,-0.1754148,0.05392595
21,-1.262847,1.16783,-0.9885697,0.6690367,-0.7202157,-0.1760101,0.05195696
22,-1.263717,1.167609,-0.9886772,0.6685017,-0.7210798,-0.1747828,0.05099514
23,-1.264495,1.167349,-0.9887092,0.6684876,-0.721321,-0.1738921,0.05081077
24,-1.265948,1.166939,-0.988836,0.6686515,-0.7211375,-0.1739049,0.0512158
25,-1.267982,1.166385,-0.9891753,0.6684853,-0.7206057,-0.1762976,0.05266985
26,-1.27028,1.165776,-0.9899095,0.6677533,-0.7199537,-0.1814306,0.05343338
27,-1.272474,1.165313,-0.9908991,0.6669139,-0.7190879,-0.1879094,0.05318417
28,-1.273862,1.165086,-0.991547,0.6665264,-0.7185252,-0.1911064,0.05424325
29,-1.275895,1.164742,-0.9926364,0.6652574,-0.7187492,-0.1936045,0.05787441
30,-1.277313,1.164677,-0.9939597,0.6622904,-0.7206075,-0.1953757,0.06264755
31,-1.278155,1.164859,-0.9956226,0.658067,-0.7238533,-0.1960374,0.06748039
32,-1.27828,1.164989,-0.9966584,0.655597,-0.725798,-0.1961414,0.07027355
33,-1.277655,1.165565,-0.9978475,0.6525292,-0.7283963,-0.1953732,0.07398523
34,-1.276346,1.166741,-0.9984089,0.6512417,-0.7298585,-0.1932853,0.07636485
35,-1.273889,1.168316,-0.9986666,0.6507916,-0.7309483,-0.1911814,0.07506303
36,-1.270826,1.170622,-0.9985638,0.6516727,-0.7307369,-0.1902027,0.07189703
37,-1.266918,1.172937,-0.9979012,0.6531575,-0.7302731,-0.187893,0.06915697
38,-1.263769,1.174573,-0.9974524,0.6540288,-0.7304267,-0.1847639,0.0677155
39,-1.258348,1.177307,-0.9968666,0.6541336,-0.7321064,-0.1784175,0.06554933
40,-1.2521,1.180279,-0.9961765,0.6536088,-0.7347599,-0.1699803,0.06348296
41,-1.245238,1.183539,-0.9953676,0.6532649,-0.7371365,-0.1616169,0.06127481
42,-1.240458,1.185755,-0.994679,0.6533712,-0.7384343,-0.1555293,0.06026213
43,-1.232897,1.189088,-0.9935964,0.6536561,-0.7403753,-0.1452068,0.05910255
44,-1.224773,1.192306,-0.9926356,0.6541403,-0.7417775,-0.1361148,0.05778774
45,-1.216419,1.195419,-0.9917184,0.6553034,-0.7423171,-0.1278465,0.05655111
46,-1.20783,1.198481,-0.990547,0.6566582,-0.7427139,-0.118264,0.05647756
47,-1.201895,1.200472,-0.9899604,0.6575528,-0.7430522,-0.1114721,0.05542307
48,-1.189193,1.204346,-0.9889739,0.658779,-0.7444228,-0.09552764,0.05214846
49,-1.182583,1.205971,-0.9884872,0.6594391,-0.7449362,-0.08751696,0.05050564
50,-1.17237,1.208032,-0.9877094,0.6610198,-0.7451019,-0.07502279,0.04740782
51,-1.165571,1.209273,-0.9870737,0.6623261,-0.7448574,-0.06654562,0.04564393
52,-1.155324,1.211147,-0.9857697,0.6651182,-0.7435625,-0.05597922,0.0399852
53,-1.144958,1.212947,-0.9843487,0.6675438,-0.7423252,-0.0478903,0.032327
54,-1.134639,1.214387,-0.9828995,0.670198,-0.7406216,-0.04197843,0.02349766
55,-1.124359,1.215513,-0.9810169,0.673773,-0.7379001,-0.03485196,0.01785469
56,-1.114352,1.216266,-0.9791099,0.6775731,-0.7348385,-0.02438162,0.01767713
57,-1.10755,1.216669,-0.9779134,0.679588,-0.7332025,-0.01546648,0.01830515
58,-1.097038,1.217003,-0.9767045,0.6810246,-0.7320338,-0.0002553284,0.01821984
59,-1.086208,1.217006,-0.9759288,0.6815715,-0.7313892,0.01541159,0.01710226
60,-1.079085,1.216762,-0.9756336,0.6815445,-0.7311368,0.02546099,0.01696728
61,-1.068508,1.216194,-0.9750366,0.6817034,-0.7303051,0.04059301,0.01694295
62,-1.057996,1.215405,-0.9743993,0.6823787,-0.7287794,0.05491526,0.01497477
63,-1.047193,1.214373,-0.973568,0.6837485,-0.7265866,0.0669951,0.008454085
64,-1.036313,1.213099,-0.972654,0.6853514,-0.7241054,0.07723299,0
65,-1.029358,1.212069,-0.9718617,0.6869352,-0.7218447,0.08387126,-0.005089303
66,-1.019106,1.21031,-0.9705725,0.6892163,-0.7182957,0.09425042,-0.01220974
67,-1.009503,1.208329,-0.9693119,0.6908411,-0.7151101,0.1050537,-0.01788124
68,-1.000187,1.206117,-0.9680952,0.6924573,-0.711627,0.1164017,-0.02324929
69,-0.991389,1.203637,-0.9668853,0.6940815,-0.7080306,0.1273471,-0.02694772
70,-0.9833184,1.201024,-0.966066,0.6945676,-0.7056698,0.1370351,-0.02876402
71,-0.9782029,1.19936,-0.965449,0.6950039,-0.7039862,0.1431964,-0.02945788
72,-0.9709486,1.196925,-0.9644884,0.6963304,-0.7009701,0.1508973,-0.03154222
73,-0.9640542,1.194525,-0.9635048,0.6981198,-0.6973842,0.158492,-0.03412328
74,-0.9576058,1.191948,-0.9629222,0.6992175,-0.6946006,0.1653498,-0.03583823
75,-0.9515924,1.189462,-0.9627184,0.6998932,-0.6916869,0.1746467,-0.03488895
76,-0.9459963,1.187153,-0.9626243,0.7003751,-0.6890001,0.1835419,-0.0326494
77,-0.942494,1.185743,-0.9626844,0.7005219,-0.6876128,0.1882768,-0.03177202
78,-0.9375228,1.183805,-0.9630335,0.7003066,-0.6864623,0.1929964,-0.03305368
79,-0.9343576,1.182527,-0.9633549,0.7000312,-0.6859519,0.1955147,-0.03464492
80,-0.9298167,1.18062,-0.9638004,0.7000837,-0.684337,0.2008328,-0.03509743
81,-0.9255379,1.178807,-0.964106,0.7003493,-0.6820951,0.2074811,-0.03476712
82,-0.9215723,1.177145,-0.9643776,0.7006134,-0.6796846,0.2144544,-0.03433581
83,-0.9178302,1.175766,-0.9647722,0.699724,-0.6787319,0.2198469,-0.037103
84,-0.9144656,1.174459,-0.965423,0.6982415,-0.67874,0.2237303,-0.04141992
85,-0.9125559,1.173665,-0.9658914,0.6973576,-0.6788993,0.225559,-0.043719
