Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.072919,1.103627,-1.001642,0.7748321,-0.6313896,0.01080391,0.02942243
1,-1.072858,1.103615,-1.001632,0.7748303,-0.6313976,0.01088652,0.029268
2,-1.072816,1.103594,-1.00165,0.7748309,-0.631399,0.0110288,0.02916669
3,-1.072796,1.103633,-1.001598,0.7748682,-0.631368,0.01129084,0.02874561
4,-1.072802,1.103562,-1.001612,0.7748647,-0.6313792,0.01132724,0.02857736
5,-1.072812,1.103536,-1.001606,0.7748677,-0.6313768,0.01137761,0.02852915
6,-1.072812,1.103536,-1.001606,0.7748677,-0.6313768,0.01137761,0.02852915
7,-1.072812,1.103536,-1.001606,0.7748677,-0.6313768,0.01137761,0.02852915
8,-1.072812,1.103536,-1.001606,0.7748677,-0.6313768,0.01137761,0.02852915
9,-1.072897,1.103159,-1.001534,0.775109,-0.6310759,0.01139136,0.02862692
10,-1.073109,1.102991,-1.001469,0.7752122,-0.6309485,0.01108473,0.02876052
11,-1.07311,1.102991,-1.001471,0.7752073,-0.6309549,0.01107851,0.02875566
12,-1.073402,1.10285,-1.001321,0.775363,-0.6307716,0.01067191,0.02873168
13,-1.073402,1.10285,-1.001321,0.7753627,-0.6307715,0.0106754,0.02873816
14,-1.073743,1.102666,-1.001328,0.7755461,-0.6305383,0.01014873,0.0290963
15,-1.07388,1.102463,-1.001169,0.7757288,-0.6303203,0.009669402,0.02911716
16,-1.074127,1.102356,-1.001229,0.7757455,-0.6303,0.009165034,0.0292722
17,-1.074269,1.102328,-1.001024,0.7761322,-0.6298169,0.009141835,0.02942667
18,-1.074195,1.102172,-1.000807,0.7765238,-0.6293358,0.009310212,0.02933424
19,-1.074189,1.102174,-1.00108,0.7760735,-0.6298969,0.008899629,0.02933671
20,-1.074189,1.102174,-1.00108,0.7760735,-0.6298969,0.008899629,0.02933671
21,-1.074189,1.102174,-1.00108,0.7760735,-0.6298969,0.008899629,0.02933671
22,-1.074189,1.102174,-1.00108,0.7760735,-0.6298969,0.008899629,0.02933671
23,-1.074189,1.102174,-1.00108,0.7760735,-0.6298969,0.008899629,0.02933671
24,-1.074189,1.102174,-1.00108,0.7760735,-0.6298969,0.008899629,0.02933671
25,-1.074189,1.102173,-1.001081,0.7760706,-0.6299003,0.008903187,0.02933766
26,-1.07434,1.102049,-1.001101,0.776209,-0.6297277,0.008818894,0.02940774
27,-1.074311,1.101882,-1.001078,0.7762784,-0.6296474,0.008731655,0.02932064
28,-1.074448,1.101773,-1.001042,0.7763999,-0.6295012,0.008506689,0.02931105
29,-1.07457,1.101639,-1.00101,0.776462,-0.6294299,0.008294047,0.02925756
30,-1.074915,1.101405,-1.001004,0.7764325,-0.6295021,0.008364267,0.02845495
31,-1.075565,1.100984,-1.000959,0.7763163,-0.6296522,0.008916357,0.02813469
32,-1.07679,1.100441,-1.000746,0.7765811,-0.6293691,0.00838584,0.02731178
33,-1.078065,1.099958,-1.000573,0.7768659,-0.6290268,0.007995373,0.02721757
34,-1.080799,1.099129,-1.000282,0.776962,-0.6288234,0.00678342,0.0294116
35,-1.083813,1.098603,-1.000092,0.7770955,-0.6284788,0.004622582,0.03340045
36,-1.086987,1.098141,-0.9999486,0.7774416,-0.6279513,0.000448515,0.0355169
37,-1.090271,1.097867,-0.9999481,0.7778651,-0.6274443,-0.006859874,0.03453274
38,-1.093274,1.09779,-1.000082,0.7782502,-0.6269058,-0.01376394,0.0335599
39,-1.095082,1.097872,-1.000288,0.7783577,-0.6267198,-0.01733549,0.03287852
40,-1.097318,1.098274,-1.000655,0.7782059,-0.62686,-0.02033927,0.03206943
41,-1.09872,1.098997,-1.001257,0.7774595,-0.6277493,-0.0230342,0.03093507
42,-1.099836,1.100303,-1.002423,0.7751637,-0.630249,-0.02841473,0.03316821
43,-1.099842,1.101048,-1.003066,0.7735127,-0.6320015,-0.03032938,0.03650137
44,-1.099341,1.101929,-1.003696,0.7716993,-0.6338869,-0.03094079,0.04135473
45,-1.097345,1.103534,-1.004465,0.7685751,-0.637271,-0.02937428,0.04811541
46,-1.093503,1.105501,-1.005099,0.7663922,-0.639869,-0.02440323,0.05113908
47,-1.08757,1.107731,-1.005567,0.7652431,-0.6418775,-0.01833474,0.04538923
48,-1.079334,1.110172,-1.005813,0.7652183,-0.6429662,-0.01057724,0.03038987
49,-1.069845,1.112548,-1.005548,0.7659817,-0.6426725,0.0008674726,0.01560281
50,-1.066571,1.113246,-1.005394,0.7664131,-0.6422181,0.005366931,0.01175367
51,-1.056797,1.114978,-1.005133,0.7672773,-0.6410528,0.0179855,0.003653452
52,-1.044707,1.11674,-1.005563,0.7658917,-0.6420966,0.03260237,0.007676854
53,-1.039184,1.11741,-1.005952,0.7641893,-0.6435707,0.03963922,0.01613177
