Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.247651,1.104805,-1.072998,0.6838751,-0.6901157,-0.2309716,0.05203244
1,-1.247669,1.105037,-1.073062,0.6837935,-0.6900638,-0.2313096,0.05229048
2,-1.247676,1.105037,-1.073044,0.6837765,-0.6900836,-0.2313098,0.05225074
3,-1.247676,1.105037,-1.073044,0.6837765,-0.6900836,-0.2313098,0.05225074
4,-1.247676,1.105037,-1.073044,0.6837765,-0.6900836,-0.2313098,0.05225074
5,-1.247676,1.105037,-1.073044,0.6837765,-0.6900836,-0.2313098,0.05225074
6,-1.247676,1.105037,-1.073044,0.6837765,-0.6900836,-0.2313098,0.05225074
7,-1.247676,1.105037,-1.073044,0.6837765,-0.6900836,-0.2313098,0.05225074
8,-1.247688,1.105039,-1.073036,0.6837718,-0.6900883,-0.2313069,0.05226204
9,-1.247852,1.104983,-1.073088,0.6835772,-0.6903886,-0.23082,0.05299031
10,-1.247828,1.10515,-1.07228,0.6858784,-0.6888725,-0.2284705,0.05316653
11,-1.248531,1.104744,-1.073389,0.6821771,-0.6920441,-0.2297472,0.05408869
12,-1.249665,1.104208,-1.073564,0.681564,-0.6926029,-0.2295929,0.05530608
13,-1.25164,1.103263,-1.073516,0.6819279,-0.6916196,-0.2312245,0.0563202
14,-1.254704,1.101848,-1.073522,0.6828545,-0.6889374,-0.2364927,0.05609139
15,-1.257407,1.10065,-1.073549,0.6840351,-0.6856374,-0.2430118,0.0542458
16,-1.26253,1.098449,-1.073759,0.68608,-0.6791857,-0.2559133,0.05009441
17,-1.267466,1.096187,-1.074278,0.6875561,-0.6737061,-0.2669026,0.04636531
18,-1.270196,1.094819,-1.074954,0.687619,-0.6712927,-0.2728432,0.04585794
19,-1.272382,1.093554,-1.076323,0.6851864,-0.6717435,-0.2774003,0.04826308
20,-1.273574,1.092907,-1.077547,0.681617,-0.6743036,-0.279343,0.0517735
21,-1.27492,1.092194,-1.079478,0.6758972,-0.6792158,-0.2797599,0.05969252
22,-1.275649,1.092024,-1.080887,0.6709454,-0.6834403,-0.2795595,0.06773527
23,-1.275534,1.092804,-1.081351,0.6688827,-0.6851939,-0.2792787,0.07147477
24,-1.274148,1.094732,-1.081005,0.6695718,-0.6851318,-0.2784445,0.06882313
25,-1.272627,1.096717,-1.080441,0.6710175,-0.6841995,-0.2781609,0.06506197
26,-1.269081,1.100073,-1.078874,0.6742004,-0.6820589,-0.2771379,0.05868638
27,-1.264136,1.103975,-1.077101,0.6769239,-0.6816574,-0.2726754,0.05258693
28,-1.257533,1.108276,-1.075296,0.678256,-0.6826827,-0.2676165,0.04790189
29,-1.249449,1.113026,-1.072979,0.6792101,-0.6848311,-0.2600191,0.045499
30,-1.243272,1.116333,-1.071055,0.6802146,-0.686492,-0.252842,0.04591009
31,-1.232437,1.121701,-1.067738,0.6823468,-0.6889807,-0.2400458,0.04567738
32,-1.224259,1.125616,-1.065332,0.6842916,-0.6911771,-0.2282708,0.04372282
33,-1.205473,1.133808,-1.060397,0.6895239,-0.6950742,-0.200251,0.03644419
34,-1.19526,1.137833,-1.058013,0.6922522,-0.6964216,-0.1867503,0.0301342
35,-1.179028,1.143546,-1.054442,0.6967238,-0.6976395,-0.1656304,0.02101556
36,-1.161972,1.148687,-1.051398,0.6996788,-0.6993855,-0.1455629,0.01099504
37,-1.144563,1.153152,-1.048655,0.7016219,-0.7014157,-0.1254374,0.002858815
38,-1.127082,1.157075,-1.045925,0.7034367,-0.7028599,-0.1056421,-0.002114485
39,-1.109603,1.160301,-1.043442,0.7058892,-0.7030116,-0.08644418,-0.004750559
40,-1.097708,1.162064,-1.041843,0.7079957,-0.7023466,-0.07349814,-0.007028838
41,-1.079268,1.164328,-1.039924,0.7103175,-0.7015707,-0.05524667,-0.01397621
42,-1.066597,1.165602,-1.039145,0.7111369,-0.7014663,-0.04256862,-0.02042587
43,-1.040513,1.166991,-1.038461,0.7108085,-0.7025679,-0.01322643,-0.03121949
44,-1.027232,1.167221,-1.038513,0.7099191,-0.7033718,0.002821638,-0.0357067
45,-1.007397,1.166973,-1.038685,0.7096351,-0.7028931,0.02861864,-0.03924595
46,-0.9878243,1.165833,-1.039304,0.7093549,-0.7016559,0.05423736,-0.03940631
47,-0.9681005,1.164088,-1.040639,0.7084135,-0.7002659,0.0792906,-0.03861102
48,-0.9484189,1.161485,-1.042915,0.7058514,-0.6996495,0.1035015,-0.03939192
49,-0.9349763,1.159199,-1.044939,0.7029988,-0.6995712,0.1209096,-0.04211533
50,-0.9081994,1.1537,-1.049583,0.6971301,-0.6972588,0.1594736,-0.04907077
51,-0.8953207,1.150518,-1.052074,0.694892,-0.6945318,0.1789411,-0.05225615
52,-0.8771715,1.145669,-1.055818,0.6910402,-0.6904569,0.2061651,-0.05682101
53,-0.8608406,1.140969,-1.05987,0.6870191,-0.6868537,0.2299784,-0.05785104
54,-0.8513681,1.138111,-1.062459,0.6850833,-0.6841529,0.2439066,-0.05572468
55,-0.838827,1.1344,-1.066057,0.6823152,-0.6807817,0.2616976,-0.04996618
56,-0.8278266,1.131246,-1.069731,0.6787706,-0.6788739,0.2764785,-0.04427553
57,-0.8185241,1.128365,-1.073308,0.6746086,-0.6766264,0.2924059,-0.03973316
58,-0.8106784,1.125749,-1.076488,0.6698055,-0.6741537,0.3087828,-0.03912187
59,-0.8041991,1.123526,-1.0792,0.6645326,-0.6734562,0.3208387,-0.04376855
60,-0.8010259,1.122215,-1.08065,0.6619435,-0.6731377,0.325895,-0.05008966
61,-0.7980664,1.120841,-1.081776,0.6598309,-0.6728608,0.3289694,-0.06050304
62,-0.7973403,1.120516,-1.081682,0.6600159,-0.6726947,0.3276495,-0.06713103
63,-0.7993686,1.121032,-1.080851,0.6619077,-0.6721022,0.3251323,-0.06667734
64,-0.8035414,1.122683,-1.079009,0.6655506,-0.6717905,0.3193868,-0.06109002
