Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.137905,1.25825,-0.1743668,0.8088366,-0.555122,-0.1849703,0.05838503
1,-1.136764,1.258672,-0.1739701,0.8093874,-0.5544729,-0.1854529,0.05530883
2,-1.136272,1.258925,-0.1738628,0.8095813,-0.5542868,-0.1855626,0.05395045
3,-1.134638,1.259576,-0.1739504,0.810088,-0.5539353,-0.1853847,0.05045566
4,-1.13467,1.2597,-0.1737632,0.8099892,-0.5540499,-0.1854105,0.0506869
5,-1.13467,1.2597,-0.1737632,0.8099892,-0.5540499,-0.1854105,0.0506869
6,-1.13467,1.2597,-0.1737632,0.8099892,-0.5540499,-0.1854105,0.0506869
7,-1.13467,1.2597,-0.1737632,0.8099892,-0.5540499,-0.1854105,0.0506869
8,-1.13467,1.2597,-0.1737632,0.8099892,-0.5540499,-0.1854105,0.0506869
9,-1.13467,1.2597,-0.1737632,0.8099892,-0.5540499,-0.1854105,0.0506869
10,-1.13467,1.2597,-0.1737632,0.8099892,-0.5540499,-0.1854105,0.0506869
11,-1.134748,1.259662,-0.173781,0.8100021,-0.5540124,-0.1854638,0.05069432
12,-1.135719,1.259185,-0.1738555,0.8104264,-0.5529755,-0.1867072,0.05067138
13,-1.139534,1.257559,-0.1746122,0.8103123,-0.5512721,-0.1916047,0.05273318
14,-1.144933,1.255582,-0.1761098,0.8087668,-0.5499623,-0.2009181,0.0554048
15,-1.152817,1.253091,-0.1785973,0.8060748,-0.5478718,-0.2165055,0.0566149
16,-1.159106,1.251263,-0.1807506,0.8032786,-0.5467407,-0.2290842,0.05777976
17,-1.170694,1.248137,-0.1847292,0.7970479,-0.5461822,-0.249662,0.06378574
18,-1.184074,1.245539,-0.1891768,0.7891279,-0.5466062,-0.2712182,0.07028256
19,-1.196016,1.244323,-0.1927938,0.7818047,-0.5465934,-0.291947,0.06916635
20,-1.193036,1.248864,-0.1912489,0.7812096,-0.5494415,-0.2901315,0.06041022
21,-1.187438,1.254379,-0.1879193,0.7830383,-0.5514606,-0.282282,0.05531001
22,-1.178139,1.260547,-0.1831694,0.7866273,-0.5538063,-0.2686449,0.048436
23,-1.169648,1.265345,-0.1794404,0.7898758,-0.5552864,-0.2573611,0.03896797
24,-1.154205,1.27231,-0.1727498,0.7963798,-0.5579103,-0.2319099,0.02707472
25,-1.142109,1.276769,-0.1679196,0.8016979,-0.5595945,-0.2091378,0.01989671
26,-1.120954,1.28377,-0.1601403,0.8096953,-0.5609647,-0.1723323,0.003695526
27,-1.087264,1.291828,-0.1506617,0.8176209,-0.5611478,-0.1251159,-0.03090634
28,-1.068527,1.295006,-0.1462538,0.8215879,-0.5598634,-0.0970548,-0.04611528
29,-1.038751,1.298814,-0.1401924,0.8257589,-0.558323,-0.04864406,-0.06349346
30,-1.007439,1.301024,-0.136256,0.8256286,-0.5582623,0.0001930101,-0.08173439
31,-0.9858016,1.301818,-0.1350343,0.8242248,-0.5576033,0.03248332,-0.09315021
32,-0.954093,1.302122,-0.1343684,0.820186,-0.5570824,0.08198114,-0.1011591
33,-0.9242659,1.301301,-0.1361997,0.813526,-0.557745,0.1316321,-0.09883742
34,-0.8960862,1.300434,-0.1396755,0.803929,-0.5602317,0.1772978,-0.0916733
35,-0.8701313,1.299615,-0.1439773,0.793294,-0.5637385,0.2132916,-0.08596641
36,-0.8463881,1.29826,-0.1488189,0.7846152,-0.5654192,0.2405169,-0.0826546
37,-0.8248247,1.296807,-0.152519,0.7797919,-0.5621013,0.2656276,-0.07354425
38,-0.811592,1.296039,-0.1549757,0.7767463,-0.5597407,0.2810482,-0.06608623
39,-0.7934842,1.294619,-0.1589718,0.7718521,-0.5569108,0.3013819,-0.05712822
40,-0.77744,1.293444,-0.1628968,0.7669419,-0.5549267,0.3181625,-0.0512744
41,-0.7631768,1.292598,-0.1671319,0.7621233,-0.5540789,0.3317099,-0.04618635
42,-0.7548293,1.292342,-0.1697168,0.7595353,-0.5530756,0.3400248,-0.0399599
43,-0.744173,1.292535,-0.1731361,0.7564577,-0.5507452,0.3516793,-0.02780625
44,-0.731737,1.292803,-0.1777074,0.7522209,-0.5496801,0.3627148,-0.02129681
45,-0.7264252,1.292688,-0.1797717,0.750076,-0.5483383,0.3692028,-0.02000846
46,-0.72022,1.2925,-0.1823833,0.7469696,-0.5440152,0.3818699,-0.01610195
47,-0.7156992,1.292282,-0.1847388,0.7432458,-0.5410116,0.3932009,-0.01688789
48,-0.7135552,1.291879,-0.1861947,0.7408459,-0.5403664,0.3983369,-0.02189027
49,-0.7124941,1.291545,-0.1873715,0.7386329,-0.5393113,0.4031649,-0.03198207
50,-0.7134712,1.291622,-0.1876061,0.7379885,-0.5391324,0.4036589,-0.04205628
51,-0.7167088,1.291743,-0.1870112,0.7397944,-0.5389946,0.3998586,-0.04798101
52,-0.7203203,1.292568,-0.1855872,0.7428829,-0.5384124,0.3948559,-0.04822697
53,-0.7269394,1.294415,-0.1825831,0.7497497,-0.5384815,0.3818434,-0.04592002
54,-0.7355365,1.296344,-0.1791878,0.7564656,-0.5396421,0.367024,-0.04289022
55,-0.7458473,1.298253,-0.1757121,0.7617493,-0.5409229,0.3546048,-0.03736044
56,-0.7530547,1.299554,-0.1734974,0.7646085,-0.5421671,0.3469256,-0.03273095
57,-0.7699448,1.301616,-0.1690232,0.7691025,-0.5461003,0.3309323,-0.0271956
58,-0.7792128,1.302586,-0.1664879,0.7721522,-0.5479813,0.3206753,-0.02578315
59,-0.7942895,1.304152,-0.1623621,0.7782664,-0.5501671,0.3019525,-0.02102889
60,-0.8054088,1.304857,-0.1597536,0.7828022,-0.5510107,0.2886024,-0.01779256
61,-0.8302249,1.305676,-0.1543992,0.792994,-0.551752,0.2579795,-0.01329558
62,-0.8433701,1.305706,-0.1517162,0.7993088,-0.55085,0.2398039,-0.01280139
63,-0.8637438,1.304957,-0.1478161,0.8096539,-0.5485991,0.2078967,-0.01668728
64,-0.8861309,1.30419,-0.1452857,0.8177858,-0.547822,0.1759937,-0.01198591
65,-0.9102976,1.303361,-0.1445525,0.8216621,-0.5520636,0.1417533,0.001752039
66,-0.9356955,1.301954,-0.1457433,0.8222294,-0.559038,0.1050062,0.01972182
67,-0.9532909,1.300616,-0.1470191,0.821689,-0.563719,0.07741414,0.03248538
68,-0.9796836,1.297505,-0.1497313,0.8204427,-0.5689197,0.03045648,0.04771341
69,-1.005133,1.293644,-0.1535878,0.817107,-0.5728206,-0.01625186,0.06283729
70,-1.028906,1.288744,-0.1583807,0.8110734,-0.5770788,-0.05713315,0.07665389
71,-1.05055,1.282956,-0.1639767,0.8058983,-0.5789356,-0.09144533,0.0836611
72,-1.063662,1.279228,-0.167367,0.8048847,-0.5768315,-0.1117305,0.08332088
73,-1.081707,1.27304,-0.172101,0.8055412,-0.5701823,-0.1416159,0.07707351
74,-1.099156,1.266418,-0.1763761,0.8073074,-0.5602925,-0.1705367,0.07241687
75,-1.116156,1.259864,-0.1810237,0.8072656,-0.5506706,-0.2000045,0.07129063
76,-1.132343,1.253018,-0.1863439,0.8041589,-0.5438501,-0.2272611,0.07686268
77,-1.142645,1.248723,-0.1900606,0.7998331,-0.5417796,-0.2446678,0.08294357
78,-1.157087,1.242615,-0.1966174,0.7911645,-0.5414141,-0.2687015,0.09342962
79,-1.170189,1.236784,-0.2034116,0.7817566,-0.5423129,-0.28999,0.103243
80,-1.178237,1.233263,-0.2078243,0.7754087,-0.5427094,-0.3038784,0.1089304
81,-1.189587,1.228291,-0.2139273,0.7666392,-0.5407023,-0.3264744,0.1154116
82,-1.20222,1.222855,-0.2210768,0.7585902,-0.5355315,-0.351757,0.1183807
83,-1.207276,1.221036,-0.2239192,0.755936,-0.5342442,-0.3588292,0.1199397
84,-1.213464,1.219754,-0.2274956,0.7531128,-0.5340415,-0.3654741,0.1185309
85,-1.217602,1.219853,-0.2302186,0.7517623,-0.5338771,-0.3708662,0.1108461
86,-1.219726,1.22043,-0.2313359,0.751181,-0.5337644,-0.3735132,0.1063511
87,-1.221666,1.222452,-0.2325933,0.7503599,-0.5340986,-0.3757551,0.1025025
88,-1.221771,1.223639,-0.2324736,0.7500085,-0.5351211,-0.3748616,0.1030119
89,-1.22098,1.225815,-0.2313974,0.749018,-0.5373924,-0.3728806,0.1055538
90,-1.219774,1.227505,-0.2304558,0.7488658,-0.5385915,-0.3712756,0.1061771
91,-1.216688,1.230597,-0.2279339,0.7509205,-0.5399588,-0.3649634,0.1066052
92,-1.21235,1.234289,-0.2243021,0.7545918,-0.5409198,-0.3563135,0.10506
93,-1.208902,1.237364,-0.2215436,0.7576013,-0.5414109,-0.3501593,0.1015036
94,-1.201961,1.242724,-0.21665,0.7641383,-0.5409688,-0.3391219,0.09187911
95,-1.193531,1.248376,-0.2109338,0.7716273,-0.5395187,-0.3267547,0.08211141
96,-1.18347,1.254166,-0.2053442,0.7782599,-0.5392799,-0.3122949,0.07720528
97,-1.171745,1.259962,-0.1995893,0.7841598,-0.5399687,-0.2964478,0.07513986
98,-1.158771,1.265907,-0.1940109,0.788368,-0.543754,-0.2773086,0.07685976
