Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.56377,1.401917,-1.299943,0.5550086,-0.7913338,-0.2447724,0.07643747
1,-1.564424,1.403535,-1.300293,0.5539058,-0.7917253,-0.2462147,0.07574785
2,-1.564624,1.404029,-1.300092,0.5536771,-0.7914927,-0.2474083,0.0759609
3,-1.564969,1.404236,-1.300131,0.5536694,-0.7913105,-0.2478489,0.07647761
4,-1.564955,1.404238,-1.300107,0.5537589,-0.7912713,-0.2477774,0.07646621
5,-1.564955,1.404238,-1.300107,0.5537589,-0.7912713,-0.2477774,0.07646621
6,-1.564955,1.404238,-1.300107,0.5537589,-0.7912713,-0.2477774,0.07646621
7,-1.564955,1.404238,-1.300107,0.5537589,-0.7912713,-0.2477774,0.07646621
8,-1.564955,1.404238,-1.300107,0.5537589,-0.7912713,-0.2477774,0.07646621
9,-1.564955,1.404238,-1.300107,0.5537589,-0.7912713,-0.2477774,0.07646621
10,-1.564955,1.404238,-1.300107,0.5537589,-0.7912713,-0.2477774,0.07646621
11,-1.565172,1.404451,-1.300413,0.5529845,-0.7915986,-0.2483699,0.07676107
12,-1.566125,1.405091,-1.301023,0.5506073,-0.7928979,-0.2486435,0.0795041
13,-1.567344,1.406298,-1.301949,0.5472696,-0.7952789,-0.2472063,0.08316577
14,-1.568164,1.407608,-1.302753,0.5452207,-0.7972141,-0.2449028,0.0848922
15,-1.568954,1.410444,-1.304023,0.5430226,-0.7997056,-0.2417599,0.08455597
16,-1.569878,1.414567,-1.305514,0.5422813,-0.8010655,-0.240344,0.08037224
17,-1.571109,1.41922,-1.30681,0.5413733,-0.8029998,-0.2363469,0.07903447
18,-1.572694,1.422811,-1.307833,0.5401222,-0.8038056,-0.2366837,0.07839214
19,-1.574762,1.427231,-1.308886,0.5358542,-0.8061116,-0.2370817,0.08268405
20,-1.573292,1.426641,-1.306932,0.5388815,-0.8021553,-0.2447815,0.07896557
21,-1.569902,1.425394,-1.303758,0.5469308,-0.7979974,-0.2435724,0.06884316
22,-1.566949,1.424136,-1.300882,0.5549244,-0.7943621,-0.2400192,0.05863836
23,-1.5627,1.421211,-1.296046,0.5696428,-0.7862577,-0.2354739,0.04310292
24,-1.560013,1.415862,-1.29079,0.583998,-0.7780986,-0.227829,0.04003455
25,-1.55853,1.407488,-1.286011,0.5933414,-0.7700109,-0.2300695,0.04579711
26,-1.557938,1.400349,-1.283832,0.5980163,-0.764115,-0.2366921,0.04981621
27,-1.556274,1.388209,-1.280955,0.6052805,-0.7535444,-0.251258,0.05172664
28,-1.552652,1.374612,-1.278965,0.6115662,-0.7433624,-0.266867,0.04670256
29,-1.547432,1.355882,-1.277502,0.6154649,-0.7343305,-0.2829732,0.04344908
30,-1.544866,1.346158,-1.277404,0.6156757,-0.7312933,-0.2903239,0.04319222
31,-1.542194,1.336743,-1.277287,0.614531,-0.7287256,-0.2987406,0.04543923
32,-1.537222,1.319696,-1.276832,0.6114024,-0.7221507,-0.319807,0.04908042
33,-1.533327,1.3094,-1.276064,0.6120756,-0.7191649,-0.3249497,0.0507242
34,-1.529195,1.301811,-1.274274,0.6144978,-0.7186198,-0.3211799,0.05311743
35,-1.526362,1.29823,-1.272941,0.6167921,-0.7180101,-0.3183815,0.05159601
36,-1.522844,1.294521,-1.271153,0.6175206,-0.7186124,-0.3155465,0.05191265
37,-1.521335,1.293178,-1.270234,0.616749,-0.719096,-0.3157093,0.05337872
38,-1.520309,1.292519,-1.269083,0.6145364,-0.7205712,-0.3151688,0.06157013
39,-1.51914,1.294985,-1.267441,0.6119481,-0.721508,-0.3157779,0.07231851
40,-1.518543,1.29811,-1.266478,0.6123229,-0.7210183,-0.3159155,0.07342158
41,-1.517574,1.305385,-1.264999,0.6135038,-0.720434,-0.3154052,0.07146681
42,-1.516731,1.314927,-1.263119,0.6163726,-0.7199709,-0.3114966,0.06853149
43,-1.516227,1.322557,-1.261563,0.6191111,-0.7210255,-0.3037643,0.06746141
44,-1.515585,1.335262,-1.259354,0.6221345,-0.7241677,-0.2898145,0.06735939
45,-1.51524,1.344404,-1.258138,0.6232715,-0.7256101,-0.2839964,0.06609622
46,-1.514585,1.359043,-1.256355,0.6244927,-0.7273411,-0.2775014,0.06306187
47,-1.513695,1.379509,-1.254366,0.6253776,-0.730642,-0.2678167,0.05778651
48,-1.512585,1.395037,-1.253121,0.6246512,-0.7323584,-0.265868,0.05269022
49,-1.511609,1.405322,-1.252127,0.6248447,-0.7332547,-0.2635374,0.0495444
50,-1.510269,1.415481,-1.251029,0.6258042,-0.7344702,-0.2582483,0.04722656
51,-1.506189,1.435282,-1.24867,0.6296234,-0.7357882,-0.2463684,0.03863511
52,-1.503418,1.444666,-1.247545,0.6320299,-0.7355608,-0.2420268,0.0301918
