Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.7475973,1.184203,-1.137681,0.7055097,-0.6818461,0.145172,0.1275418
1,-0.7475314,1.184228,-1.137877,0.7052301,-0.6822764,0.1452916,0.1266483
2,-0.7471478,1.183837,-1.138018,0.7051267,-0.6825743,0.1454049,0.1254833
3,-0.7468963,1.183169,-1.138451,0.7050923,-0.6830467,0.1454701,0.1230063
4,-0.7467831,1.183188,-1.138377,0.7052901,-0.6828372,0.1456059,0.1228741
5,-0.7467831,1.183188,-1.138377,0.7052901,-0.6828372,0.1456059,0.1228741
6,-0.7467831,1.183188,-1.138377,0.7052901,-0.6828372,0.1456059,0.1228741
7,-0.7467831,1.183188,-1.138377,0.7052901,-0.6828372,0.1456059,0.1228741
8,-0.7467831,1.183188,-1.138377,0.7052901,-0.6828372,0.1456059,0.1228741
9,-0.7467831,1.183188,-1.138377,0.7052901,-0.6828372,0.1456059,0.1228741
10,-0.7467831,1.183188,-1.138377,0.7052901,-0.6828372,0.1456059,0.1228741
11,-0.7467867,1.183207,-1.138372,0.7052966,-0.6828299,0.1456185,0.1228632
12,-0.7468352,1.183564,-1.138409,0.7049959,-0.6831405,0.1457123,0.1227511
13,-0.7467593,1.184218,-1.13844,0.7045366,-0.6837313,0.1458001,0.1219919
14,-0.7466906,1.185145,-1.13861,0.7040392,-0.6850995,0.1438985,0.1194183
15,-0.7464083,1.18608,-1.138988,0.7034495,-0.6868492,0.1413424,0.1158412
16,-0.7462533,1.186555,-1.139184,0.7035978,-0.687183,0.1400318,0.1145462
17,-0.7457926,1.186827,-1.139492,0.7051246,-0.6859192,0.1394734,0.1134079
18,-0.7452216,1.186051,-1.139988,0.7066097,-0.684068,0.1408148,0.1136881
19,-0.7446775,1.184731,-1.140696,0.707419,-0.6828839,0.1422449,0.1139924
20,-0.7439237,1.178324,-1.142557,0.7083278,-0.6802455,0.1483186,0.1163588
21,-0.7435786,1.174382,-1.14357,0.7083801,-0.6789942,0.1525352,0.1178877
22,-0.7431955,1.170492,-1.144464,0.7085096,-0.6779242,0.1557539,0.1190531
23,-0.7428923,1.163179,-1.145417,0.7102458,-0.6753924,0.157502,0.1207852
24,-0.7426752,1.15872,-1.145336,0.7119192,-0.6734897,0.1568679,0.1223727
25,-0.742534,1.155346,-1.144478,0.7134675,-0.6710774,0.1563964,0.1271195
26,-0.7423952,1.153651,-1.143626,0.7145609,-0.6690558,0.1568222,0.1310491
27,-0.741868,1.152184,-1.141763,0.7166796,-0.6657305,0.1580775,0.1348508
28,-0.7414373,1.151883,-1.140245,0.718359,-0.6634069,0.1589347,0.1363502
29,-0.7405187,1.152458,-1.137764,0.7212661,-0.660416,0.1596914,0.1346276
30,-0.739754,1.154214,-1.135327,0.7229751,-0.6587977,0.1619867,0.1305867
31,-0.7392349,1.156993,-1.13363,0.7236702,-0.6588694,0.1636156,0.1241872
32,-0.7394247,1.160545,-1.132267,0.7243973,-0.6599056,0.1616475,0.116804
33,-0.7400824,1.163433,-1.131506,0.7247345,-0.6608678,0.1592662,0.1124632
34,-0.7411116,1.166461,-1.130955,0.7243852,-0.6622934,0.1571287,0.1092891
35,-0.7432861,1.17123,-1.130338,0.7229548,-0.6647109,0.1544493,0.1078943
36,-0.7459453,1.176066,-1.130555,0.7197896,-0.6684972,0.1529557,0.1077918
37,-0.7488394,1.180555,-1.131314,0.7150173,-0.6735854,0.1527244,0.1082052
38,-0.7507572,1.183235,-1.132025,0.7117262,-0.677168,0.1527914,0.1074436
39,-0.7545604,1.187728,-1.133395,0.7057719,-0.6838852,0.1524109,0.1046802
40,-0.7566559,1.18943,-1.133695,0.7035783,-0.6861973,0.1522171,0.1045986
41,-0.7607464,1.191584,-1.13394,0.701038,-0.6891285,0.1517285,0.1030831
42,-0.7639109,1.191774,-1.133937,0.6998183,-0.6910669,0.1490793,0.1022559
43,-0.7671,1.190696,-1.133777,0.6998391,-0.6914551,0.1462388,0.1035827
44,-0.7702432,1.188311,-1.133041,0.7017633,-0.6892902,0.1442368,0.1077169
45,-0.7723057,1.186231,-1.132231,0.7035723,-0.6869525,0.1436374,0.1115821
46,-0.7749773,1.182224,-1.131162,0.7066308,-0.683622,0.141541,0.1153261
47,-0.7772793,1.177731,-1.130342,0.708679,-0.6809164,0.1417252,0.1184938
48,-0.7790494,1.173009,-1.128902,0.7117587,-0.6771155,0.1434372,0.1197492
49,-0.7798941,1.170164,-1.127697,0.7150965,-0.6738589,0.1436672,0.1179442
50,-0.7809508,1.166346,-1.125315,0.7217004,-0.6682072,0.1413353,0.1125696
51,-0.782095,1.163547,-1.122645,0.7282293,-0.6626993,0.1379588,0.1071402
52,-0.7833481,1.161748,-1.120351,0.7330819,-0.6588688,0.1342509,0.1022715
53,-0.7845941,1.161073,-1.118639,0.7361541,-0.6569001,0.1304724,0.09765428
54,-0.7857651,1.161551,-1.117237,0.7371973,-0.6563651,0.1293026,0.09489884
55,-0.7864945,1.162555,-1.116677,0.7366596,-0.6566634,0.130777,0.09499013
56,-0.7879003,1.164793,-1.116335,0.7342948,-0.6587485,0.1333702,0.09525718
57,-0.7889327,1.166927,-1.116392,0.7321978,-0.6608479,0.1346897,0.09500051
58,-0.7908878,1.170618,-1.116611,0.7282786,-0.665034,0.1356292,0.09457714
59,-0.7933313,1.174758,-1.116786,0.7249703,-0.6685547,0.1357518,0.0949949
60,-0.7963477,1.179079,-1.116868,0.722092,-0.6716504,0.1347326,0.09652031
61,-0.7999417,1.183372,-1.11679,0.7202214,-0.6745334,0.1301566,0.09667003
62,-0.802301,1.186271,-1.116718,0.7195194,-0.6761117,0.1265324,0.09567856
