Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.6850172,1.278553,-1.246278,0.6055642,-0.4952708,0.4015929,0.4761533
1,-0.6848884,1.278468,-1.245911,0.6065973,-0.4958241,0.4013122,0.4744962
2,-0.684834,1.278238,-1.24588,0.6070276,-0.496146,0.401031,0.4738468
3,-0.6847907,1.277878,-1.245807,0.6075225,-0.4964856,0.4004318,0.4733634
4,-0.6848629,1.277839,-1.245805,0.607428,-0.4965045,0.4002851,0.4735888
5,-0.6848629,1.277839,-1.245805,0.607428,-0.4965045,0.4002851,0.4735888
6,-0.6848629,1.277839,-1.245805,0.607428,-0.4965045,0.4002851,0.4735888
7,-0.6848629,1.277839,-1.245805,0.607428,-0.4965045,0.4002851,0.4735888
8,-0.6848629,1.277839,-1.245805,0.607428,-0.4965045,0.4002851,0.4735888
9,-0.6848629,1.277839,-1.245805,0.607428,-0.4965045,0.4002851,0.4735888
10,-0.6847961,1.277852,-1.245777,0.6075135,-0.496424,0.4004298,0.4734412
11,-0.6847221,1.278125,-1.245599,0.6072927,-0.4965483,0.4005319,0.4735078
12,-0.6847363,1.278707,-1.245193,0.6071336,-0.4972194,0.4001331,0.4733446
13,-0.6846738,1.279396,-1.244822,0.6070151,-0.497758,0.3998089,0.4732046
14,-0.6846108,1.280594,-1.243951,0.6066048,-0.4980646,0.3989707,0.4741146
15,-0.6846462,1.281882,-1.242831,0.6055834,-0.4978945,0.3976333,0.4767153
16,-0.6845813,1.282902,-1.241619,0.6041161,-0.4971838,0.3968197,0.4799855
17,-0.6844059,1.283324,-1.240924,0.6030105,-0.4963175,0.3966313,0.4824219
18,-0.6841896,1.282782,-1.240682,0.6030644,-0.4949367,0.3975003,0.4830576
19,-0.6840876,1.281402,-1.241048,0.6046016,-0.4943596,0.3989257,0.4805453
20,-0.6839994,1.275126,-1.243977,0.6112672,-0.4949332,0.4014309,0.4693045
21,-0.6841009,1.27159,-1.245569,0.6151975,-0.4961615,0.4020877,0.4622567
22,-0.6843568,1.26776,-1.246987,0.6194482,-0.4975097,0.4022341,0.4549459
23,-0.6850235,1.26179,-1.24849,0.6241879,-0.4984482,0.402357,0.447267
24,-0.6861769,1.256037,-1.24924,0.6278727,-0.4985151,0.4000567,0.4440868
25,-0.6875385,1.250506,-1.248848,0.6289852,-0.4954292,0.3970702,0.4486232
26,-0.6887122,1.245789,-1.247286,0.6290872,-0.4890703,0.3933782,0.4585992
27,-0.6892549,1.242343,-1.245289,0.6309562,-0.4825151,0.3879764,0.467491
28,-0.6891704,1.240619,-1.243537,0.63348,-0.4770817,0.3841269,0.472803
29,-0.6884919,1.240657,-1.243026,0.6354173,-0.4744357,0.383503,0.4733719
30,-0.6877209,1.241656,-1.243367,0.637457,-0.4749655,0.3837057,0.4699215
31,-0.6862519,1.244859,-1.244819,0.6409802,-0.4780709,0.3847596,0.4610343
32,-0.6849381,1.247759,-1.246267,0.6431409,-0.480371,0.3868884,0.4537961
33,-0.6822098,1.255078,-1.249923,0.6450566,-0.4842592,0.3923903,0.4420688
34,-0.6812115,1.259272,-1.252236,0.644607,-0.4868219,0.394381,0.4381208
35,-0.6803962,1.266059,-1.256168,0.640802,-0.4917248,0.397378,0.4355114
36,-0.6802562,1.272747,-1.260759,0.6333405,-0.4972968,0.4003981,0.4373294
37,-0.6805173,1.279045,-1.266017,0.6232114,-0.5016322,0.4053766,0.4423148
