Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.329391,1.19353,-1.200405,0.661793,-0.7105044,-0.2363771,-0.03659701
1,-1.329838,1.194878,-1.200567,0.661521,-0.7107633,-0.2361446,-0.03796407
2,-1.330126,1.195831,-1.200767,0.6613886,-0.7108504,-0.2360847,-0.03899737
3,-1.330428,1.196724,-1.200932,0.6613542,-0.7108128,-0.2361403,-0.03991895
4,-1.330984,1.198298,-1.201317,0.6610842,-0.7106586,-0.2370991,-0.04142564
5,-1.330963,1.198306,-1.20131,0.6611089,-0.7106622,-0.2370158,-0.041447
6,-1.331796,1.200359,-1.201902,0.6602207,-0.7105144,-0.2397014,-0.04267441
7,-1.33226,1.201149,-1.201849,0.6609548,-0.7100337,-0.2392797,-0.04166777
8,-1.332436,1.20141,-1.202047,0.6604104,-0.710449,-0.2396318,-0.04119324
9,-1.332436,1.20141,-1.202047,0.6604104,-0.710449,-0.2396318,-0.04119324
10,-1.332436,1.20141,-1.202047,0.6604104,-0.710449,-0.2396318,-0.04119324
11,-1.332436,1.20141,-1.202047,0.6604104,-0.710449,-0.2396318,-0.04119324
12,-1.332436,1.20141,-1.202047,0.6604104,-0.710449,-0.2396318,-0.04119324
13,-1.332436,1.20141,-1.202047,0.6604104,-0.710449,-0.2396318,-0.04119324
14,-1.332436,1.20141,-1.202047,0.6604104,-0.710449,-0.2396318,-0.04119324
15,-1.332437,1.201411,-1.202049,0.6604056,-0.7104577,-0.2396211,-0.04118161
16,-1.332381,1.201473,-1.202138,0.6603546,-0.7105048,-0.2396103,-0.04125106
17,-1.332475,1.201618,-1.202205,0.6603997,-0.7107133,-0.2390213,-0.04034419
18,-1.332637,1.201756,-1.202255,0.6603896,-0.7109008,-0.2386396,-0.03945636
19,-1.332931,1.202168,-1.202341,0.6602236,-0.7110387,-0.2388075,-0.03872717
20,-1.333278,1.202747,-1.202637,0.6596975,-0.7117265,-0.2382487,-0.03849679
21,-1.333716,1.203481,-1.203007,0.6588118,-0.7125596,-0.2382244,-0.03840516
22,-1.334236,1.204419,-1.203349,0.6575727,-0.7130111,-0.2401587,-0.03920502
23,-1.335025,1.205736,-1.20364,0.6565208,-0.7135038,-0.2414973,-0.03964576
24,-1.335499,1.206786,-1.203929,0.6556219,-0.7143273,-0.2414405,-0.04003742
