Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.205714,1.171669,-1.131562,0.7199737,-0.6851302,-0.09659571,0.0538856
1,-1.20549,1.171268,-1.131345,0.7200643,-0.6849896,-0.09692562,0.05386921
2,-1.205352,1.171034,-1.131275,0.7201228,-0.6848925,-0.09707408,0.05405549
3,-1.204762,1.170188,-1.13069,0.721723,-0.6832153,-0.09668698,0.0546288
4,-1.204826,1.170121,-1.13092,0.7211157,-0.6837792,-0.09723372,0.05462347
5,-1.204826,1.170121,-1.13092,0.7211157,-0.6837792,-0.09723372,0.05462347
6,-1.204826,1.170121,-1.13092,0.7211157,-0.6837792,-0.09723372,0.05462347
7,-1.204826,1.170121,-1.13092,0.7211157,-0.6837792,-0.09723372,0.05462347
8,-1.204826,1.170121,-1.13092,0.7211157,-0.6837792,-0.09723372,0.05462347
9,-1.204826,1.170121,-1.13092,0.7211157,-0.6837792,-0.09723372,0.05462347
10,-1.204826,1.170121,-1.13092,0.7211157,-0.6837792,-0.09723372,0.05462347
11,-1.204795,1.170057,-1.130898,0.7210727,-0.6838166,-0.09730003,0.05460577
12,-1.204962,1.170175,-1.131008,0.7208588,-0.6840035,-0.09745343,0.05481482
13,-1.205085,1.170461,-1.131082,0.7203338,-0.6844807,-0.09765008,0.05540632
14,-1.205202,1.170673,-1.131263,0.7194956,-0.6852578,-0.09769233,0.05660443
15,-1.205128,1.170531,-1.131567,0.7186721,-0.6860874,-0.0971834,0.05787868
16,-1.204988,1.170188,-1.131771,0.7184852,-0.6863119,-0.09661562,0.05848417
17,-1.204608,1.169114,-1.132083,0.7189903,-0.6858584,-0.09648116,0.05781462
18,-1.204093,1.167278,-1.132396,0.7203021,-0.6844705,-0.09768192,0.05588628
19,-1.203647,1.164511,-1.132659,0.7225166,-0.6819806,-0.09982198,0.0539245
20,-1.203141,1.162087,-1.132617,0.7247359,-0.6796121,-0.1006622,0.0524626
21,-1.202538,1.157625,-1.132207,0.7291682,-0.6748641,-0.1010286,0.05162741
22,-1.202522,1.155863,-1.13189,0.73108,-0.6726649,-0.1019435,0.05149302
23,-1.202818,1.153873,-1.131268,0.7332519,-0.6699601,-0.1047452,0.05023447
24,-1.203145,1.152864,-1.13055,0.7348886,-0.6679131,-0.1070897,0.04860599
25,-1.203466,1.1527,-1.129958,0.735562,-0.6671199,-0.1075211,0.04836065
26,-1.203837,1.153227,-1.129048,0.7359422,-0.6668049,-0.1066894,0.04876019
27,-1.204058,1.154497,-1.128091,0.7358119,-0.6671304,-0.105314,0.04926272
28,-1.204227,1.156354,-1.127054,0.7357623,-0.6672913,-0.1039506,0.05069902
29,-1.204336,1.157974,-1.126467,0.7357266,-0.667425,-0.1030009,0.05139178
30,-1.204176,1.161817,-1.125689,0.7346879,-0.6688675,-0.1006789,0.05209414
31,-1.203952,1.163868,-1.125594,0.7335663,-0.6702206,-0.1001301,0.05156282
32,-1.203224,1.167019,-1.125507,0.7317273,-0.6726235,-0.09789826,0.05068285
33,-1.202307,1.170164,-1.125713,0.7294577,-0.6754541,-0.09584138,0.0496757
34,-1.201581,1.172085,-1.125996,0.7278383,-0.6774514,-0.09454799,0.0486986
35,-1.200489,1.174652,-1.126723,0.7249604,-0.6808961,-0.09181644,0.04881208
36,-1.199196,1.176543,-1.127705,0.7216858,-0.6845943,-0.08968452,0.04956692
37,-1.197959,1.177588,-1.12887,0.7181133,-0.6883761,-0.08847253,0.05122807
38,-1.196433,1.177714,-1.129954,0.7156433,-0.6909458,-0.08672578,0.05410347
39,-1.19467,1.176787,-1.130714,0.714574,-0.692096,-0.08481076,0.05651724
40,-1.1935,1.175645,-1.131024,0.7145761,-0.6921072,-0.08314214,0.058787
41,-1.191454,1.173368,-1.131254,0.7161363,-0.6905825,-0.08166022,0.05980048
42,-1.188864,1.169765,-1.130725,0.7209617,-0.685683,-0.08178124,0.05800671
43,-1.187767,1.167865,-1.130171,0.7241348,-0.6823199,-0.08304658,0.05631716
44,-1.186894,1.16595,-1.129541,0.7272115,-0.6788905,-0.08522345,0.05484556
45,-1.186014,1.163277,-1.128455,0.7314439,-0.6739051,-0.08917834,0.05374897
46,-1.185185,1.160656,-1.126759,0.7359612,-0.6683151,-0.09309315,0.05522385
47,-1.184731,1.159888,-1.125846,0.7374396,-0.6664675,-0.09418456,0.05597471
48,-1.183722,1.159378,-1.124599,0.7386203,-0.6650635,-0.09366585,0.05794141
