Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-1.267878,1.189732,-1.132562,0.6830755,-0.6874266,-0.2412511,0.05148121
1,-1.267678,1.189807,-1.132833,0.6827659,-0.6878348,-0.2409791,0.05141101
2,-1.26755,1.189977,-1.13306,0.6824414,-0.6882395,-0.2407665,0.05130038
3,-1.26738,1.189882,-1.133099,0.6822253,-0.6884455,-0.2408733,0.05090675
4,-1.266797,1.189355,-1.133493,0.6820696,-0.6885298,-0.2411815,0.05039042
5,-1.266433,1.188742,-1.13364,0.6817532,-0.6887101,-0.2416254,0.05008197
6,-1.266433,1.188742,-1.13364,0.6817532,-0.6887101,-0.2416254,0.05008197
7,-1.266433,1.188742,-1.13364,0.6817532,-0.6887101,-0.2416254,0.05008197
8,-1.266433,1.188742,-1.13364,0.6817532,-0.6887101,-0.2416254,0.05008197
9,-1.266433,1.188742,-1.13364,0.6817532,-0.6887101,-0.2416254,0.05008197
10,-1.266433,1.188742,-1.13364,0.6817532,-0.6887101,-0.2416254,0.05008197
11,-1.266433,1.188742,-1.13364,0.6817532,-0.6887101,-0.2416254,0.05008197
12,-1.266433,1.188742,-1.13364,0.6817532,-0.6887101,-0.2416254,0.05008197
13,-1.266476,1.188911,-1.133459,0.6816663,-0.6887958,-0.2416231,0.05009683
14,-1.266561,1.189148,-1.133488,0.6813828,-0.6890137,-0.241787,0.05016759
15,-1.26667,1.189866,-1.133517,0.6806678,-0.6898254,-0.2413203,0.05095866
16,-1.266731,1.190382,-1.1335,0.6803222,-0.6902544,-0.2408813,0.05183339
17,-1.266598,1.191127,-1.133583,0.6800635,-0.6905648,-0.2406032,0.05238314
18,-1.266078,1.191596,-1.133715,0.680475,-0.6904985,-0.2397812,0.0516766
19,-1.26479,1.191431,-1.134036,0.6814942,-0.6901841,-0.2383717,0.04889366
20,-1.262681,1.189516,-1.134753,0.6842353,-0.688686,-0.2358135,0.04388281
21,-1.261291,1.186118,-1.135233,0.6874506,-0.6856571,-0.2361571,0.03893299
22,-1.260702,1.182961,-1.135544,0.6894166,-0.6832473,-0.2378992,0.03580083
23,-1.260286,1.177955,-1.135893,0.6919594,-0.6795369,-0.2416069,0.03237091
24,-1.260836,1.172978,-1.136162,0.6939676,-0.6759964,-0.2458332,0.03168404
25,-1.262268,1.168407,-1.136091,0.6950462,-0.672869,-0.251092,0.03332981
