Recording for Right controller
Frame,PosX, PosY, PosZ, RotW, RotX, RotY, RotZ
0,-0.1061437,1.631816,-0.1912764,0.7260677,-0.6586702,-0.1974062,-0.003175002
1,-0.1066459,1.632449,-0.1913335,0.7256501,-0.6591167,-0.197453,-0.003066371
2,-0.1071728,1.633258,-0.1915751,0.7248757,-0.6599639,-0.1974683,-0.003026322
3,-0.1072384,1.633556,-0.1915569,0.7249625,-0.6599253,-0.1972862,-0.002485263
4,-0.1072725,1.633598,-0.191781,0.7249205,-0.6599914,-0.1972238,-0.002081916
5,-0.1072725,1.633598,-0.191781,0.7249205,-0.6599914,-0.1972238,-0.002081916
6,-0.1072725,1.633598,-0.191781,0.7249205,-0.6599914,-0.1972238,-0.002081916
7,-0.1072725,1.633598,-0.191781,0.7249205,-0.6599914,-0.1972238,-0.002081916
8,-0.1072725,1.633598,-0.191781,0.7249205,-0.6599914,-0.1972238,-0.002081916
9,-0.1072725,1.633598,-0.191781,0.7249205,-0.6599914,-0.1972238,-0.002081916
10,-0.1072725,1.633598,-0.191781,0.7249205,-0.6599914,-0.1972238,-0.002081916
11,-0.1071854,1.633552,-0.1917394,0.7248607,-0.6600399,-0.1972802,-0.002186644
12,-0.1072903,1.63372,-0.1916845,0.724838,-0.6601155,-0.1971111,-0.002147969
13,-0.1079577,1.634517,-0.191676,0.7243378,-0.6606892,-0.1970332,-0.001553701
14,-0.1084507,1.635147,-0.1915689,0.7238912,-0.6611815,-0.1970276,-0.000831289
15,-0.1098861,1.636771,-0.1914696,0.7224143,-0.6626321,-0.1975758,0.0001220703
16,-0.1106486,1.63766,-0.1914465,0.7214115,-0.663465,-0.1984434,0.000105716
17,-0.1117183,1.63897,-0.1912601,0.7202173,-0.6643183,-0.1999183,-0.0009592428
18,-0.1125389,1.639745,-0.1909981,0.7190945,-0.6653397,-0.200562,-0.001081546
19,-0.1128759,1.639864,-0.1907419,0.7189834,-0.6657662,-0.199545,-0.0002283726
20,-0.1117873,1.637367,-0.1908115,0.7202573,-0.6650786,-0.1972254,0.001420297
21,-0.1103445,1.635025,-0.191064,0.7216443,-0.6637829,-0.1965204,0.001217648
22,-0.1077753,1.630682,-0.1917934,0.7239828,-0.6611699,-0.1967314,0.0001556097
23,-0.1060212,1.627379,-0.1923659,0.7255625,-0.6595743,-0.1962668,0.0004608053
24,-0.1024196,1.620705,-0.1936132,0.7290902,-0.6557998,-0.1958418,-0.0003610889
25,-0.1006725,1.617514,-0.1942228,0.7310811,-0.6533914,-0.1964616,-0.001687597
26,-0.09841728,1.61317,-0.1950953,0.7339551,-0.649861,-0.1974279,-0.003594085
27,-0.09657776,1.609665,-0.1959057,0.7364509,-0.6467326,-0.1983878,-0.004392623
28,-0.09584284,1.607747,-0.196431,0.7377835,-0.6447027,-0.200049,-0.003795238
29,-0.09557605,1.60562,-0.1968359,0.7399567,-0.6413024,-0.2029657,-0.0005390479
30,-0.09571588,1.604614,-0.1972884,0.7414233,-0.6385277,-0.2063169,0.002689705
31,-0.09594858,1.605025,-0.1977644,0.7419624,-0.6366226,-0.2102203,0.003306619
32,-0.09583402,1.606717,-0.1981936,0.7421927,-0.6354725,-0.2128927,0.001187444
33,-0.09559262,1.60856,-0.1983085,0.742213,-0.6352194,-0.2135775,-0.0009660151
34,-0.09457028,1.613376,-0.1982687,0.7421427,-0.6354957,-0.2129147,-0.00605895
35,-0.09384513,1.616109,-0.1980631,0.742136,-0.6359957,-0.2114024,-0.007253945
36,-0.09272981,1.620528,-0.1978518,0.7415524,-0.6378745,-0.2077912,-0.006244705
37,-0.09130299,1.624827,-0.1979593,0.7393966,-0.6418993,-0.2030832,-0.003890004
38,-0.08999848,1.627653,-0.1984549,0.7367269,-0.6461841,-0.1991827,-0.002413398
39,-0.08766353,1.631715,-0.1993977,0.7324492,-0.6533158,-0.1915632,0.0003141977
40,-0.08528519,1.635106,-0.2002873,0.7282958,-0.6605225,-0.1824531,0.002475877
41,-0.08287549,1.637899,-0.2010816,0.7243477,-0.667036,-0.1742751,0.003421781
42,-0.08078754,1.639678,-0.2017931,0.7211991,-0.6718181,-0.1688569,0.004435875
43,-0.0795927,1.640117,-0.2020341,0.7200006,-0.6734548,-0.1674207,0.005298295
44,-0.07826889,1.639797,-0.2022393,0.7189223,-0.6745229,-0.1676173,0.008604117
45,-0.07708907,1.638373,-0.2017713,0.7193685,-0.6739285,-0.1678403,0.01260867
46,-0.07606411,1.636782,-0.2012763,0.7208701,-0.6724249,-0.1672957,0.01425579
47,-0.07431316,1.633588,-0.2002915,0.7244211,-0.6688569,-0.1661167,0.0158054
48,-0.07205284,1.628509,-0.1987902,0.7290568,-0.6633428,-0.1679813,0.01532651
49,-0.0704807,1.624112,-0.197522,0.7325917,-0.6588002,-0.1704652,0.01527447
50,-0.06933439,1.621099,-0.1966488,0.7354824,-0.6554186,-0.1709774,0.01609078
51,-0.06733823,1.616685,-0.19541,0.739768,-0.6504946,-0.1712072,0.0169754
52,-0.0658766,1.613923,-0.1946151,0.7424976,-0.6472851,-0.1715536,0.01699141
53,-0.06290877,1.609212,-0.193357,0.7467871,-0.6421907,-0.1721289,0.01648447
54,-0.06149244,1.607323,-0.1928601,0.7483004,-0.6403846,-0.1722846,0.01649328
